#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Tree in Tree: from Decision Trees to Decision Graphs
#Text=
#Text=This repository is the implementation of [Tree in Tree: from Decision Trees to Decision Graphs](https://arxiv.org/abs/2110.00392).
1-1	0-1	#	_	_	
1-2	2-6	Tree	*[1]	PUBLICATION[1]	
1-3	7-9	in	*[1]	PUBLICATION[1]	
1-4	10-14	Tree	*[1]	PUBLICATION[1]	
1-5	14-15	:	*[1]	PUBLICATION[1]	
1-6	16-20	from	*[1]	PUBLICATION[1]	
1-7	21-29	Decision	*[1]	PUBLICATION[1]	
1-8	30-35	Trees	*[1]	PUBLICATION[1]	
1-9	36-38	to	*[1]	PUBLICATION[1]	
1-10	39-47	Decision	*[1]	PUBLICATION[1]	
1-11	48-54	Graphs	*[1]	PUBLICATION[1]	
1-12	56-60	This	_	_	
1-13	61-71	repository	_	_	
1-14	72-74	is	_	_	
1-15	75-78	the	_	_	
1-16	79-93	implementation	_	_	
1-17	94-96	of	_	_	
1-18	97-98	[	_	_	
1-19	98-102	Tree	*[2]	PUBLICATION[2]	
1-20	103-105	in	*[2]	PUBLICATION[2]	
1-21	106-110	Tree	*[2]	PUBLICATION[2]	
1-22	110-111	:	*[2]	PUBLICATION[2]	
1-23	112-116	from	*[2]	PUBLICATION[2]	
1-24	117-125	Decision	*[2]	PUBLICATION[2]	
1-25	126-131	Trees	*[2]	PUBLICATION[2]	
1-26	132-134	to	*[2]	PUBLICATION[2]	
1-27	135-143	Decision	*[2]	PUBLICATION[2]	
1-28	144-150	Graphs	*[2]	PUBLICATION[2]	
1-29	150-151	]	_	_	
1-30	151-152	(	_	_	
1-31	152-157	https	_	_	
1-32	157-158	:	_	_	
1-33	158-159	/	_	_	
1-34	159-160	/	_	_	
1-35	160-169	arxiv.org	_	_	
1-36	169-170	/	_	_	
1-37	170-173	abs	_	_	
1-38	173-174	/	_	_	
1-39	174-184	2110.00392	_	_	
1-40	184-185	)	_	_	
1-41	185-186	.	_	_	

#Text=<img src='images/f1.png' width="600px"/>
#Text=
#Text=## Visualization
#Text=
#Text=Visualization examples of the fitted TnT graph structures:
#Text=
#Text=<img src='images/f3.png' width="1000px"/>
#Text=
#Text=- (Optional) install sknetwork to enable visualization:
#Text=```bash
#Text=pip install scikit-network
#Text=```
#Text=
#Text=
#Text=## Results
#Text=\\# S indicates the number of split nodes, which is an estimate of model complexity
2-1	189-190	<	_	_	
2-2	190-193	img	_	_	
2-3	194-197	src	_	_	
2-4	197-198	=	_	_	
2-5	198-199	'	_	_	
2-6	199-205	images	_	_	
2-7	205-206	/	_	_	
2-8	206-208	f1	_	_	
2-9	208-209	.	_	_	
2-10	209-212	png	_	_	
2-11	212-213	'	_	_	
2-12	214-219	width	_	_	
2-13	219-220	=	_	_	
2-14	220-221	"	_	_	
2-15	221-226	600px	_	_	
2-16	226-227	"	_	_	
2-17	227-228	/	_	_	
2-18	228-229	>	_	_	
2-19	231-232	#	_	_	
2-20	232-233	#	_	_	
2-21	234-247	Visualization	_	_	
2-22	249-262	Visualization	_	_	
2-23	263-271	examples	_	_	
2-24	272-274	of	_	_	
2-25	275-278	the	_	_	
2-26	279-285	fitted	_	_	
2-27	286-289	TnT	_	_	
2-28	290-295	graph	_	_	
2-29	296-306	structures	_	_	
2-30	306-307	:	_	_	
2-31	309-310	<	_	_	
2-32	310-313	img	_	_	
2-33	314-317	src	_	_	
2-34	317-318	=	_	_	
2-35	318-319	'	_	_	
2-36	319-325	images	_	_	
2-37	325-326	/	_	_	
2-38	326-328	f3	_	_	
2-39	328-329	.	_	_	
2-40	329-332	png	_	_	
2-41	332-333	'	_	_	
2-42	334-339	width	_	_	
2-43	339-340	=	_	_	
2-44	340-341	"	_	_	
2-45	341-347	1000px	_	_	
2-46	347-348	"	_	_	
2-47	348-349	/	_	_	
2-48	349-350	>	_	_	
2-49	352-353	-	_	_	
2-50	354-355	(	_	_	
2-51	355-363	Optional	_	_	
2-52	363-364	)	_	_	
2-53	365-372	install	_	_	
2-54	373-382	sknetwork	*	SOFTWARE	
2-55	383-385	to	_	_	
2-56	386-392	enable	_	_	
2-57	393-406	visualization	_	_	
2-58	406-407	:	_	_	
2-59	408-409	`	_	_	
2-60	409-410	`	_	_	
2-61	410-411	`	_	_	
2-62	411-415	bash	*	PROGLANG	
2-63	416-419	pip	*	SOFTWARE	
2-64	420-427	install	_	_	
2-65	428-442	scikit-network	*	SOFTWARE	
2-66	443-444	`	_	_	
2-67	444-445	`	_	_	
2-68	445-446	`	_	_	
2-69	449-450	#	_	_	
2-70	450-451	#	_	_	
2-71	452-459	Results	_	_	
2-72	460-461	\	_	_	
2-73	461-462	#	_	_	
2-74	463-464	S	_	_	
2-75	465-474	indicates	_	_	
2-76	475-478	the	_	_	
2-77	479-485	number	_	_	
2-78	486-488	of	_	_	
2-79	489-494	split	_	_	
2-80	495-500	nodes	_	_	
2-81	500-501	,	_	_	
2-82	502-507	which	_	_	
2-83	508-510	is	_	_	
2-84	511-513	an	_	_	
2-85	514-522	estimate	_	_	
2-86	523-525	of	_	_	
2-87	526-531	model	_	_	
2-88	532-542	complexity	_	_	

#Text=.
3-1	542-543	.	_	_	

#Text=|  Model | Dataset  | # S  | Accuracy |
#Text=| ------------------ |---------------- | -------------- | -------------- |
#Text=| TnT  |    MNIST        |      600      |     90.87±0.31       |
#Text=| CART  |     MNIST         |      1.1k       |    88.59±0.14      |
#Text=| TnT  |    Connect-4        |      864      |     78.85±0.46       |
#Text=| CART  |     Connect-4         |      931       |    77.23±0.01      |
#Text=| TnT  |    Letter      |      1.2k     |     86.62±0.02       |
#Text=| CART  |     Letter         |      1.3k       |    86.26±0.15      |
#Text=| TnT  |    Optical recognition     |      174     |     86.32±0.24       |
#Text=| CART  |     Optical recognition         |      193       |    85.56±0.46      |
#Text=| TnT  |    Pendigits       |      125     |     92.61±0.53       |
#Text=| CART  |     Pendigits         |    166       |    91.74±0.13      |
#Text=| TnT  |    Protein       |      69      |     57.26       |
#Text=| CART  |     Protein         |     76       |    55.30      |
#Text=| TnT  |    SenseIT     |      198    |     80.48±0.42       |
#Text=| CART  |     SenseIT         |      345       |    79.40      |
#Text=| TnT  |    USPS       |      31      |     88.76±1.36       |
#Text=| CART  |     USPS         |      109       |    87.35±0.15      |
#Text=
#Text=## Citation
#Text=If you use this code for research, please consider citing our paper:
#Text=```
#Text=@misc{zhu2021tree,
#Text=      title={Tree in Tree: from Decision Trees to Decision Graphs}, 
#Text=      author={Bingzhao Zhu and Mahsa Shoaran},
#Text=      year={2021},
#Text=      eprint={2110.00392},
#Text=      archivePrefix={arXiv},
#Text=      primaryClass={cs.LG}
#Text=}
4-1	545-546	|	_	_	
4-2	548-553	Model	_	_	
4-3	554-555	|	_	_	
4-4	556-563	Dataset	_	_	
4-5	565-566	|	_	_	
4-6	567-568	#	_	_	
4-7	569-570	S	_	_	
4-8	572-573	|	_	_	
4-9	574-582	Accuracy	*	EVALMETRIC	
4-10	583-584	|	_	_	
4-11	585-586	|	_	_	
4-12	587-588	-	_	_	
4-13	588-589	-	_	_	
4-14	589-590	-	_	_	
4-15	590-591	-	_	_	
4-16	591-592	-	_	_	
4-17	592-593	-	_	_	
4-18	593-594	-	_	_	
4-19	594-595	-	_	_	
4-20	595-596	-	_	_	
4-21	596-597	-	_	_	
4-22	597-598	-	_	_	
4-23	598-599	-	_	_	
4-24	599-600	-	_	_	
4-25	600-601	-	_	_	
4-26	601-602	-	_	_	
4-27	602-603	-	_	_	
4-28	603-604	-	_	_	
4-29	604-605	-	_	_	
4-30	606-607	|	_	_	
4-31	607-608	-	_	_	
4-32	608-609	-	_	_	
4-33	609-610	-	_	_	
4-34	610-611	-	_	_	
4-35	611-612	-	_	_	
4-36	612-613	-	_	_	
4-37	613-614	-	_	_	
4-38	614-615	-	_	_	
4-39	615-616	-	_	_	
4-40	616-617	-	_	_	
4-41	617-618	-	_	_	
4-42	618-619	-	_	_	
4-43	619-620	-	_	_	
4-44	620-621	-	_	_	
4-45	621-622	-	_	_	
4-46	622-623	-	_	_	
4-47	624-625	|	_	_	
4-48	626-627	-	_	_	
4-49	627-628	-	_	_	
4-50	628-629	-	_	_	
4-51	629-630	-	_	_	
4-52	630-631	-	_	_	
4-53	631-632	-	_	_	
4-54	632-633	-	_	_	
4-55	633-634	-	_	_	
4-56	634-635	-	_	_	
4-57	635-636	-	_	_	
4-58	636-637	-	_	_	
4-59	637-638	-	_	_	
4-60	638-639	-	_	_	
4-61	639-640	-	_	_	
4-62	641-642	|	_	_	
4-63	643-644	-	_	_	
4-64	644-645	-	_	_	
4-65	645-646	-	_	_	
4-66	646-647	-	_	_	
4-67	647-648	-	_	_	
4-68	648-649	-	_	_	
4-69	649-650	-	_	_	
4-70	650-651	-	_	_	
4-71	651-652	-	_	_	
4-72	652-653	-	_	_	
4-73	653-654	-	_	_	
4-74	654-655	-	_	_	
4-75	655-656	-	_	_	
4-76	656-657	-	_	_	
4-77	658-659	|	_	_	
4-78	660-661	|	_	_	
4-79	662-665	TnT	_	_	
4-80	667-668	|	_	_	
4-81	672-677	MNIST	*	DATASET	
4-82	685-686	|	_	_	
4-83	692-695	600	_	_	
4-84	701-702	|	_	_	
4-85	707-712	90.87	_	_	
4-86	712-713	±	_	_	
4-87	713-717	0.31	_	_	
4-88	724-725	|	_	_	
4-89	726-727	|	_	_	
4-90	728-732	CART	_	_	
4-91	734-735	|	_	_	
4-92	740-745	MNIST	*	DATASET	
4-93	754-755	|	_	_	
4-94	761-765	1.1k	_	_	
4-95	772-773	|	_	_	
4-96	777-782	88.59	_	_	
4-97	782-783	±	_	_	
4-98	783-787	0.14	_	_	
4-99	793-794	|	_	_	
4-100	795-796	|	_	_	
4-101	797-800	TnT	_	_	
4-102	802-803	|	_	_	
4-103	807-814	Connect	*[3]	DATASET[3]	
4-104	814-815	-	*[3]	DATASET[3]	
4-105	815-816	4	*[3]	DATASET[3]	
4-106	824-825	|	_	_	
4-107	831-834	864	_	_	
4-108	840-841	|	_	_	
4-109	846-851	78.85	_	_	
4-110	851-852	±	_	_	
4-111	852-856	0.46	_	_	
4-112	863-864	|	_	_	
4-113	865-866	|	_	_	
4-114	867-871	CART	_	_	
4-115	873-874	|	_	_	
4-116	879-886	Connect	*[4]	DATASET[4]	
4-117	886-887	-	*[4]	DATASET[4]	
4-118	887-888	4	*[4]	DATASET[4]	
4-119	897-898	|	_	_	
4-120	904-907	931	_	_	
4-121	914-915	|	_	_	
4-122	919-924	77.23	_	_	
4-123	924-925	±	_	_	
4-124	925-929	0.01	_	_	
4-125	935-936	|	_	_	
4-126	937-938	|	_	_	
4-127	939-942	TnT	_	_	
4-128	944-945	|	_	_	
4-129	949-955	Letter	*	DATASET	
4-130	961-962	|	_	_	
4-131	968-972	1.2k	_	_	
4-132	977-978	|	_	_	
4-133	983-988	86.62	_	_	
4-134	988-989	±	_	_	
4-135	989-993	0.02	_	_	
4-136	1000-1001	|	_	_	
4-137	1002-1003	|	_	_	
4-138	1004-1008	CART	_	_	
4-139	1010-1011	|	_	_	
4-140	1016-1022	Letter	*	DATASET	
4-141	1031-1032	|	_	_	
4-142	1038-1042	1.3k	_	_	
4-143	1049-1050	|	_	_	
4-144	1054-1059	86.26	_	_	
4-145	1059-1060	±	_	_	
4-146	1060-1064	0.15	_	_	
4-147	1070-1071	|	_	_	
4-148	1072-1073	|	_	_	
4-149	1074-1077	TnT	_	_	
4-150	1079-1080	|	_	_	
4-151	1084-1091	Optical	*[5]	DATASET[5]	
4-152	1092-1103	recognition	*[5]	DATASET[5]	
4-153	1108-1109	|	_	_	
4-154	1115-1118	174	_	_	
4-155	1123-1124	|	_	_	
4-156	1129-1134	86.32	_	_	
4-157	1134-1135	±	_	_	
4-158	1135-1139	0.24	_	_	
4-159	1146-1147	|	_	_	
4-160	1148-1149	|	_	_	
4-161	1150-1154	CART	_	_	
4-162	1156-1157	|	_	_	
4-163	1162-1169	Optical	*[6]	DATASET[6]	
4-164	1170-1181	recognition	*[6]	DATASET[6]	
4-165	1190-1191	|	_	_	
4-166	1197-1200	193	_	_	
4-167	1207-1208	|	_	_	
4-168	1212-1217	85.56	_	_	
4-169	1217-1218	±	_	_	
4-170	1218-1222	0.46	_	_	
4-171	1228-1229	|	_	_	
4-172	1230-1231	|	_	_	
4-173	1232-1235	TnT	_	_	
4-174	1237-1238	|	_	_	
4-175	1242-1251	Pendigits	*	DATASET	
