#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=OntoMathPro: A Hub for Math Linking Open Data (LOD)
#Text================================
#Text=
#Text=The OntoMathPro ontology has been developed by a [research group](https://github.com/CLLKazan) from Kazan Federal University (Russia).
1-1	0-11	OntoMathPro	*	ONTOLOGY	
1-2	11-12	:	_	_	
1-3	13-14	A	_	_	
1-4	15-18	Hub	_	_	
1-5	19-22	for	_	_	
1-6	23-27	Math	_	_	
1-7	28-35	Linking	_	_	
1-8	36-40	Open	_	_	
1-9	41-45	Data	_	_	
1-10	46-47	(	_	_	
1-11	47-50	LOD	_	_	
1-12	50-51	)	_	_	
1-13	52-53	=	_	_	
1-14	53-54	=	_	_	
1-15	54-55	=	_	_	
1-16	55-56	=	_	_	
1-17	56-57	=	_	_	
1-18	57-58	=	_	_	
1-19	58-59	=	_	_	
1-20	59-60	=	_	_	
1-21	60-61	=	_	_	
1-22	61-62	=	_	_	
1-23	62-63	=	_	_	
1-24	63-64	=	_	_	
1-25	64-65	=	_	_	
1-26	65-66	=	_	_	
1-27	66-67	=	_	_	
1-28	67-68	=	_	_	
1-29	68-69	=	_	_	
1-30	69-70	=	_	_	
1-31	70-71	=	_	_	
1-32	71-72	=	_	_	
1-33	72-73	=	_	_	
1-34	73-74	=	_	_	
1-35	74-75	=	_	_	
1-36	75-76	=	_	_	
1-37	76-77	=	_	_	
1-38	77-78	=	_	_	
1-39	78-79	=	_	_	
1-40	79-80	=	_	_	
1-41	80-81	=	_	_	
1-42	81-82	=	_	_	
1-43	82-83	=	_	_	
1-44	85-88	The	_	_	
1-45	89-100	OntoMathPro	*	ONTOLOGY	
1-46	101-109	ontology	_	_	
1-47	110-113	has	_	_	
1-48	114-118	been	_	_	
1-49	119-128	developed	_	_	
1-50	129-131	by	_	_	
1-51	132-133	a	_	_	
1-52	134-135	[	_	_	
1-53	135-143	research	_	_	
1-54	144-149	group	_	_	
1-55	149-150	]	_	_	
1-56	150-151	(	_	_	
1-57	151-156	https	_	_	
1-58	156-157	:	_	_	
1-59	157-158	/	_	_	
