#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# 3D CMR-Domain-Adaptation
#Text=
#Text=This repo contains code to train a deep learning model for **Unsupervised Domain Adaptation (UDA)** of 3D cardiac magnetic resonance (CMR) cine images to **transform from axial to short-axis orientation**.
1-1	0-1	#	_	_	
1-2	2-4	3D	*[1]	PROJECT[1]	
1-3	5-26	CMR-Domain-Adaptation	*[1]	PROJECT[1]	
1-4	28-32	This	_	_	
1-5	33-37	repo	_	_	
1-6	38-46	contains	_	_	
1-7	47-51	code	_	_	
1-8	52-54	to	_	_	
1-9	55-60	train	_	_	
1-10	61-62	a	_	_	
1-11	63-67	deep	_	_	
1-12	68-76	learning	_	_	
1-13	77-82	model	_	_	
1-14	83-86	for	_	_	
1-15	87-88	*	_	_	
1-16	88-89	*	_	_	
1-17	89-101	Unsupervised	_	_	
1-18	102-108	Domain	_	_	
1-19	109-119	Adaptation	_	_	
1-20	120-121	(	_	_	
1-21	121-124	UDA	_	_	
1-22	124-125	)	_	_	
1-23	125-126	*	_	_	
1-24	126-127	*	_	_	
1-25	128-130	of	_	_	
1-26	131-133	3D	_	_	
1-27	134-141	cardiac	_	_	
1-28	142-150	magnetic	_	_	
1-29	151-160	resonance	_	_	
1-30	161-162	(	_	_	
1-31	162-165	CMR	_	_	
1-32	165-166	)	_	_	
1-33	167-171	cine	_	_	
1-34	172-178	images	_	_	
1-35	179-181	to	_	_	
1-36	182-183	*	_	_	
1-37	183-184	*	_	_	
1-38	184-193	transform	_	_	
1-39	194-198	from	_	_	
1-40	199-204	axial	_	_	
1-41	205-207	to	_	_	
1-42	208-218	short-axis	_	_	
1-43	219-230	orientation	_	_	
1-44	230-231	*	_	_	
1-45	231-232	*	_	_	
1-46	232-233	.	_	_	

#Text=The task associated to the domain adaptation is to perform a **segmentation task via a pre-trained fixed network**, and the results are leveraged to guide the transformation process (rigid transform via spatial transformer networks).
2-1	234-237	The	_	_	
2-2	238-242	task	_	_	
2-3	243-253	associated	_	_	
2-4	254-256	to	_	_	
2-5	257-260	the	_	_	
2-6	261-267	domain	_	_	
2-7	268-278	adaptation	_	_	
2-8	279-281	is	_	_	
2-9	282-284	to	_	_	
2-10	285-292	perform	_	_	
2-11	293-294	a	_	_	
2-12	295-296	*	_	_	
2-13	296-297	*	_	_	
2-14	297-309	segmentation	_	_	
2-15	310-314	task	_	_	
2-16	315-318	via	_	_	
2-17	319-320	a	_	_	
2-18	321-332	pre-trained	_	_	
2-19	333-338	fixed	_	_	
2-20	339-346	network	_	_	
2-21	346-347	*	_	_	
2-22	347-348	*	_	_	
2-23	348-349	,	_	_	
2-24	350-353	and	_	_	
2-25	354-357	the	_	_	
2-26	358-365	results	_	_	
2-27	366-369	are	_	_	
2-28	370-379	leveraged	_	_	
2-29	380-382	to	_	_	
2-30	383-388	guide	_	_	
2-31	389-392	the	_	_	
2-32	393-407	transformation	_	_	
2-33	408-415	process	_	_	
2-34	416-417	(	_	_	
2-35	417-422	rigid	_	_	
2-36	423-432	transform	_	_	
2-37	433-436	via	_	_	
2-38	437-444	spatial	_	_	
2-39	445-456	transformer	_	_	
2-40	457-465	networks	_	_	
2-41	465-466	)	_	_	
2-42	466-467	.	_	_	

#Text=The trained model is able to transform an axial (AX) CMR into the patient specific short-axis (SAX) direction.
3-1	469-472	The	_	_	
3-2	473-480	trained	_	_	
3-3	481-486	model	_	_	
3-4	487-489	is	_	_	
3-5	490-494	able	_	_	
3-6	495-497	to	_	_	
3-7	498-507	transform	_	_	
3-8	508-510	an	_	_	
3-9	511-516	axial	_	_	
3-10	517-518	(	_	_	
3-11	518-520	AX	_	_	
3-12	520-521	)	_	_	
3-13	522-525	CMR	_	_	
3-14	526-530	into	_	_	
3-15	531-534	the	_	_	
3-16	535-542	patient	_	_	
3-17	543-551	specific	_	_	
3-18	552-562	short-axis	_	_	
3-19	563-564	(	_	_	
3-20	564-567	SAX	_	_	
3-21	567-568	)	_	_	
3-22	569-578	direction	_	_	
3-23	578-579	.	_	_	

#Text=The model learns from paired AX/SAX CMR image pairs and a pre-trained SAX segmentation model.
4-1	580-583	The	_	_	
4-2	584-589	model	_	_	
4-3	590-596	learns	_	_	
4-4	597-601	from	_	_	
4-5	602-608	paired	_	_	
4-6	609-611	AX	_	_	
4-7	611-612	/	_	_	
4-8	612-615	SAX	_	_	
4-9	616-619	CMR	_	_	
4-10	620-625	image	_	_	
4-11	626-631	pairs	_	_	
4-12	632-635	and	_	_	
4-13	636-637	a	_	_	
4-14	638-649	pre-trained	_	_	
4-15	650-653	SAX	_	_	
4-16	654-666	segmentation	_	_	
4-17	667-672	model	_	_	
4-18	672-673	.	_	_	

#Text=The following gif exemplary visualizes the learning progress of this model.
5-1	675-678	The	_	_	
5-2	679-688	following	_	_	
5-3	689-692	gif	_	_	
5-4	693-702	exemplary	_	_	
5-5	703-713	visualizes	_	_	
5-6	714-717	the	_	_	
5-7	718-726	learning	_	_	
5-8	727-735	progress	_	_	
5-9	736-738	of	_	_	
5-10	739-743	this	_	_	
5-11	744-749	model	_	_	
5-12	749-750	.	_	_	

#Text=Slices along z-direction are shown horizontally. 
#Text=
#Text=!
6-1	751-757	Slices	_	_	
6-2	758-763	along	_	_	
6-3	764-775	z-direction	_	_	
6-4	776-779	are	_	_	
6-5	780-785	shown	_	_	
6-6	786-798	horizontally	_	_	
6-7	798-799	.	_	_	
6-8	802-803	!	_	_	

#Text=[Unsupervised Domain adaptation learning](https://github.com/Cardio-AI/3d-mri-domain-adaption/blob/master/reports/ax_sax_learning_example.gif "learning progress") 
#Text=
#Text=Each temporal frame shows the AX2SAX prediction of the model after successive epochs.
7-1	803-804	[	_	_	
7-2	804-816	Unsupervised	_	_	
7-3	817-823	Domain	_	_	
7-4	824-834	adaptation	_	_	
7-5	835-843	learning	_	_	
7-6	843-844	]	_	_	
7-7	844-845	(	_	_	
7-8	845-850	https	_	_	
7-9	850-851	:	_	_	
7-10	851-852	/	_	_	
7-11	852-853	/	_	_	
7-12	853-863	github.com	_	_	
7-13	863-864	/	_	_	
7-14	864-873	Cardio-AI	_	_	
7-15	873-874	/	_	_	
7-16	874-896	3d-mri-domain-adaption	_	_	
7-17	896-897	/	_	_	
7-18	897-901	blob	_	_	
7-19	901-902	/	_	_	
