#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Fine-Grained Representation Learning and Recognition by Exploiting Hierarchical Semantic Embedding
#Text=
#Text=# Introduction
#Text=This repository contains the pytorch codes, trained models, and datasets described in the paper "[Fine-Grained Representation Learning and Recognition by Exploiting Hierarchical Semantic Embedding](https://arxiv.org/abs/1808.04505)".
1-1	0-1	#	_	_	
1-2	2-14	Fine-Grained	*[1]	PUBLICATION[1]	
1-3	15-29	Representation	*[1]	PUBLICATION[1]	
1-4	30-38	Learning	*[1]	PUBLICATION[1]	
1-5	39-42	and	*[1]	PUBLICATION[1]	
1-6	43-54	Recognition	*[1]	PUBLICATION[1]	
1-7	55-57	by	*[1]	PUBLICATION[1]	
1-8	58-68	Exploiting	*[1]	PUBLICATION[1]	
1-9	69-81	Hierarchical	*[1]	PUBLICATION[1]	
1-10	82-90	Semantic	*[1]	PUBLICATION[1]	
1-11	91-100	Embedding	*[1]	PUBLICATION[1]	
1-12	102-103	#	_	_	
1-13	104-116	Introduction	_	_	
1-14	117-121	This	_	_	
1-15	122-132	repository	_	_	
1-16	133-141	contains	_	_	
1-17	142-145	the	_	_	
1-18	146-153	pytorch	*	SOFTWARE	
1-19	154-159	codes	_	_	
1-20	159-160	,	_	_	
1-21	161-168	trained	_	_	
1-22	169-175	models	_	_	
1-23	175-176	,	_	_	
1-24	177-180	and	_	_	
1-25	181-189	datasets	_	_	
1-26	190-199	described	_	_	
1-27	200-202	in	_	_	
1-28	203-206	the	_	_	
1-29	207-212	paper	_	_	
1-30	213-214	"	_	_	
1-31	214-215	[	_	_	
1-32	215-227	Fine-Grained	*[2]	PUBLICATION[2]	
1-33	228-242	Representation	*[2]	PUBLICATION[2]	
1-34	243-251	Learning	*[2]	PUBLICATION[2]	
1-35	252-255	and	*[2]	PUBLICATION[2]	
1-36	256-267	Recognition	*[2]	PUBLICATION[2]	
1-37	268-270	by	*[2]	PUBLICATION[2]	
1-38	271-281	Exploiting	*[2]	PUBLICATION[2]	
1-39	282-294	Hierarchical	*[2]	PUBLICATION[2]	
1-40	295-303	Semantic	*[2]	PUBLICATION[2]	
1-41	304-313	Embedding	*[2]	PUBLICATION[2]	
1-42	313-314	]	_	_	
1-43	314-315	(	_	_	
1-44	315-320	https	_	_	
1-45	320-321	:	_	_	
1-46	321-322	/	_	_	
1-47	322-323	/	_	_	
1-48	323-332	arxiv.org	_	_	
1-49	332-333	/	_	_	
1-50	333-336	abs	_	_	
1-51	336-337	/	_	_	
1-52	337-347	1808.04505	_	_	
1-53	347-348	)	_	_	
1-54	348-349	"	_	_	
1-55	349-350	.	_	_	

#Text=For more details, please visit our [project page](http://www.sysu-hcp.net/hierarchical-semantic-embedding/).
2-1	352-355	For	_	_	
2-2	356-360	more	_	_	
2-3	361-368	details	_	_	
2-4	368-369	,	_	_	
2-5	370-376	please	_	_	
2-6	377-382	visit	_	_	
2-7	383-386	our	_	_	
2-8	387-388	[	_	_	
2-9	388-395	project	_	_	
2-10	396-400	page	_	_	
2-11	400-401	]	_	_	
2-12	401-402	(	_	_	
2-13	402-406	http	_	_	
2-14	406-407	:	_	_	
2-15	407-408	/	_	_	
2-16	408-409	/	_	_	
2-17	409-425	www.sysu-hcp.net	_	_	
2-18	425-426	/	_	_	
2-19	426-457	hierarchical-semantic-embedding	*	PROJECT	
2-20	457-458	/	_	_	
2-21	458-459	)	_	_	
2-22	459-460	.	_	_	

#Text=**Results**
#Text=
#Text=- Accuracy on Caltech UCSD Birds
#Text=
#Text=|        | order | family | genus | class |
#Text=| :----: | :---: | :----: | :---: | :---: |
#Text=|baseline| 98.8  |  95.0  |  91.5 |  85.2 |
#Text=|HSE(ours)| 98.8 |  95.7  |  92.7 |  88.1 |
#Text=
#Text=
#Text=
#Text=- Accuracy on Butterfly200
#Text=
#Text=|        | family | subfamily | genus | species |
#Text=| :----: | :----: | :-------: | :---: | :-----: |
#Text=|baseline|  98.9  |   97.6    |  94.8 |  85.1   |
#Text=|HSE(ours)| 98.9  |   97.7    |  95.4 |  86.1   |
#Text=
#Text=- Accuracy on Vegfru
#Text=
#Text=|           |  sup  |  sub  |
#Text=| :-------: | :---: | :---: |
#Text=|  baseline | 90.0  |  87.1 |
#Text=| HSE(ours) | 90.0  |  89.4 |
#Text=
#Text=
#Text=# Installation
#Text=
#Text=**Requirement**
#Text=
#Text=- pytorch, tested on [v0.4.0](http://download.pytorch.org/whl/cu80/torch-0.4.0-cp27-cp27mu-linux_x86_64.whl)
#Text=- CUDA, tested on v8.0
#Text=- Language: Python 2.7
#Text=
#Text=
#Text=## 1.
3-1	462-463	*	_	_	
3-2	463-464	*	_	_	
3-3	464-471	Results	_	_	
3-4	471-472	*	_	_	
3-5	472-473	*	_	_	
3-6	475-476	-	_	_	
3-7	477-485	Accuracy	*	EVALMETRIC	
3-8	486-488	on	_	_	
3-9	489-496	Caltech	*[3]	DATASET[3]	
3-10	497-501	UCSD	*[3]	DATASET[3]	
3-11	502-507	Birds	*[3]	DATASET[3]	
3-12	509-510	|	_	_	
3-13	518-519	|	_	_	
3-14	520-525	order	_	_	
3-15	526-527	|	_	_	
3-16	528-534	family	_	_	
3-17	535-536	|	_	_	
3-18	537-542	genus	_	_	
3-19	543-544	|	_	_	
3-20	545-550	class	_	_	
3-21	551-552	|	_	_	
3-22	553-554	|	_	_	
3-23	555-556	:	_	_	
3-24	556-557	-	_	_	
3-25	557-558	-	_	_	
3-26	558-559	-	_	_	
3-27	559-560	-	_	_	
3-28	560-561	:	_	_	
3-29	562-563	|	_	_	
3-30	564-565	:	_	_	
3-31	565-566	-	_	_	
3-32	566-567	-	_	_	
3-33	567-568	-	_	_	
3-34	568-569	:	_	_	
3-35	570-571	|	_	_	
3-36	572-573	:	_	_	
3-37	573-574	-	_	_	
3-38	574-575	-	_	_	
3-39	575-576	-	_	_	
3-40	576-577	-	_	_	
3-41	577-578	:	_	_	
3-42	579-580	|	_	_	
3-43	581-582	:	_	_	
3-44	582-583	-	_	_	
3-45	583-584	-	_	_	
3-46	584-585	-	_	_	
3-47	585-586	:	_	_	
3-48	587-588	|	_	_	
3-49	589-590	:	_	_	
3-50	590-591	-	_	_	
3-51	591-592	-	_	_	
3-52	592-593	-	_	_	
3-53	593-594	:	_	_	
3-54	595-596	|	_	_	
3-55	597-598	|	_	_	
3-56	598-606	baseline	_	_	
3-57	606-607	|	_	_	
3-58	608-612	98.8	_	_	
3-59	614-615	|	_	_	
3-60	617-621	95.0	_	_	
3-61	623-624	|	_	_	
3-62	626-630	91.5	_	_	
3-63	631-632	|	_	_	
3-64	634-638	85.2	_	_	
3-65	639-640	|	_	_	
3-66	641-642	|	_	_	
3-67	642-645	HSE	*	PROJECT	
3-68	645-646	(	_	_	
3-69	646-650	ours	_	_	
3-70	650-651	)	_	_	
3-71	651-652	|	_	_	
3-72	653-657	98.8	_	_	
3-73	658-659	|	_	_	
3-74	661-665	95.7	_	_	
3-75	667-668	|	_	_	
3-76	670-674	92.7	_	_	
3-77	675-676	|	_	_	
3-78	678-682	88.1	_	_	
3-79	683-684	|	_	_	
3-80	688-689	-	_	_	
3-81	690-698	Accuracy	*	EVALMETRIC	
3-82	699-701	on	_	_	
3-83	702-714	Butterfly200	*	DATASET	
3-84	716-717	|	_	_	
3-85	725-726	|	_	_	
3-86	727-733	family	_	_	
3-87	734-735	|	_	_	
3-88	736-745	subfamily	_	_	
3-89	746-747	|	_	_	
3-90	748-753	genus	_	_	
3-91	754-755	|	_	_	
3-92	756-763	species	_	_	
3-93	764-765	|	_	_	
3-94	766-767	|	_	_	
3-95	768-769	:	_	_	
3-96	769-770	-	_	_	
3-97	770-771	-	_	_	
3-98	771-772	-	_	_	
3-99	772-773	-	_	_	
3-100	773-774	:	_	_	
3-101	775-776	|	_	_	
3-102	777-778	:	_	_	
3-103	778-779	-	_	_	
3-104	779-780	-	_	_	
3-105	780-781	-	_	_	
3-106	781-782	-	_	_	
