#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Science-Driven Optimization of the LSST Observing Strategy
#Text=
#Text=Welcome to the online community thinking about LSST survey strategy ("cadence"), with quantifications via the Metric Analysis Framework.
1-1	0-1	#	_	_	
1-2	2-16	Science-Driven	*[1]	PUBLICATION[1]	
1-3	17-29	Optimization	*[1]	PUBLICATION[1]	
1-4	30-32	of	*[1]	PUBLICATION[1]	
1-5	33-36	the	*[1]	PUBLICATION[1]	
1-6	37-41	LSST	*[1]	PUBLICATION[1]	
1-7	42-51	Observing	*[1]	PUBLICATION[1]	
1-8	52-60	Strategy	*[1]	PUBLICATION[1]	
1-9	62-69	Welcome	_	_	
1-10	70-72	to	_	_	
1-11	73-76	the	_	_	
1-12	77-83	online	_	_	
1-13	84-93	community	_	_	
1-14	94-102	thinking	_	_	
1-15	103-108	about	_	_	
1-16	109-113	LSST	_	_	
1-17	114-120	survey	_	_	
1-18	121-129	strategy	_	_	
1-19	130-131	(	_	_	
1-20	131-132	"	_	_	
1-21	132-139	cadence	_	_	
1-22	139-140	"	_	_	
1-23	140-141	)	_	_	
1-24	141-142	,	_	_	
1-25	143-147	with	_	_	
1-26	148-163	quantifications	_	_	
1-27	164-167	via	_	_	
1-28	168-171	the	_	_	
1-29	172-178	Metric	*[2]	SOFTWARE[2]	
1-30	179-187	Analysis	*[2]	SOFTWARE[2]	
1-31	188-197	Framework	*[2]	SOFTWARE[2]	
1-32	197-198	.	_	_	

#Text=We are writing a white paper on this topic, primarily composed of a set of individual science cases that are either very important, and somehow stress the observing strategy, and describing how we expect them to be sensitive to LSST observing strategy.
2-1	200-202	We	_	_	
2-2	203-206	are	_	_	
2-3	207-214	writing	_	_	
2-4	215-216	a	_	_	
2-5	217-222	white	_	_	
2-6	223-228	paper	_	_	
2-7	229-231	on	_	_	
2-8	232-236	this	_	_	
2-9	237-242	topic	_	_	
2-10	242-243	,	_	_	
2-11	244-253	primarily	_	_	
2-12	254-262	composed	_	_	
2-13	263-265	of	_	_	
2-14	266-267	a	_	_	
2-15	268-271	set	_	_	
2-16	272-274	of	_	_	
2-17	275-285	individual	_	_	
2-18	286-293	science	_	_	
2-19	294-299	cases	_	_	
2-20	300-304	that	_	_	
2-21	305-308	are	_	_	
2-22	309-315	either	_	_	
2-23	316-320	very	_	_	
2-24	321-330	important	_	_	
2-25	330-331	,	_	_	
2-26	332-335	and	_	_	
