#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# NELA-GT-2019
#Text=
#Text=This repository contain examples of how to use the NELA-GT-2019 data set with Python 3.
1-1	0-1	#	_	_	
1-2	2-9	NELA-GT	*[1]	DATASET[1]	
1-3	9-10	-	*[1]	DATASET[1]	
1-4	10-14	2019	*[1]	DATASET[1]	
1-5	16-20	This	_	_	
1-6	21-31	repository	_	_	
1-7	32-39	contain	_	_	
1-8	40-48	examples	_	_	
1-9	49-51	of	_	_	
1-10	52-55	how	_	_	
1-11	56-58	to	_	_	
1-12	59-62	use	_	_	
1-13	63-66	the	_	_	
1-14	67-74	NELA-GT	*[2]	DATASET[2]	
1-15	74-75	-	*[2]	DATASET[2]	
1-16	75-79	2019	*[2]	DATASET[2]	
1-17	80-84	data	_	_	
1-18	85-88	set	_	_	
1-19	89-93	with	_	_	
1-20	94-100	Python	*[3]	SOFTWARE[3]	
1-21	101-102	3	*[3]	SOFTWARE[3]	
1-22	102-103	.	_	_	

#Text=__Download the dataset from here__: https://dataverse.harvard.edu/dataset.xhtml?
2-1	105-106	_	_	_	
2-2	106-107	_	_	_	
2-3	107-115	Download	_	_	
2-4	116-119	the	_	_	
2-5	120-127	dataset	_	_	
2-6	128-132	from	_	_	
2-7	133-137	here	_	_	
2-8	137-138	_	_	_	
2-9	138-139	_	_	_	
2-10	139-140	:	_	_	
2-11	141-146	https	_	_	
2-12	146-147	:	_	_	
2-13	147-148	/	_	_	
2-14	148-149	/	_	_	
2-15	149-170	dataverse.harvard.edu	_	_	
2-16	170-171	/	_	_	
2-17	171-184	dataset.xhtml	_	_	
2-18	184-185	?	_	_	

#Text=persistentId=doi:10.7910/DVN/O7FWPO
#Text=
#Text=__For more details about this dataset, check the paper__:
#Text=https://arxiv.org/abs/2003.08444
#Text=
#Text=If you use this dataset in your work, please cite us as follows: <br>
#Text=```
#Text=@misc{
#Text=    gruppi2020nelagt2019,
#Text=    title={NELA-GT-2019: A Large Multi-Labelled News Dataset for The Study of Misinformation in News Articles},
#Text=    author={Maurício Gruppi and Benjamin D.
3-1	185-197	persistentId	_	_	
3-2	197-198	=	_	_	
3-3	198-201	doi	_	_	
3-4	201-202	:	_	_	
3-5	202-209	10.7910	_	_	
3-6	209-210	/	_	_	
3-7	210-213	DVN	_	_	
3-8	213-214	/	_	_	
3-9	214-220	O7FWPO	_	_	
3-10	222-223	_	_	_	
3-11	223-224	_	_	_	
3-12	224-227	For	_	_	
3-13	228-232	more	_	_	
3-14	233-240	details	_	_	
3-15	241-246	about	_	_	
3-16	247-251	this	_	_	
3-17	252-259	dataset	_	_	
3-18	259-260	,	_	_	
3-19	261-266	check	_	_	
3-20	267-270	the	_	_	
3-21	271-276	paper	_	_	
3-22	276-277	_	_	_	
3-23	277-278	_	_	_	
3-24	278-279	:	_	_	
3-25	280-285	https	_	_	
3-26	285-286	:	_	_	
3-27	286-287	/	_	_	
3-28	287-288	/	_	_	
3-29	288-297	arxiv.org	_	_	
3-30	297-298	/	_	_	
3-31	298-301	abs	_	_	
3-32	301-302	/	_	_	
3-33	302-312	2003.08444	_	_	
3-34	314-316	If	_	_	
3-35	317-320	you	_	_	
3-36	321-324	use	_	_	
3-37	325-329	this	_	_	
3-38	330-337	dataset	_	_	
3-39	338-340	in	_	_	
3-40	341-345	your	_	_	
3-41	346-350	work	_	_	
3-42	350-351	,	_	_	
3-43	352-358	please	_	_	
3-44	359-363	cite	_	_	
3-45	364-366	us	_	_	
3-46	367-369	as	_	_	
3-47	370-377	follows	_	_	
3-48	377-378	:	_	_	
3-49	379-380	<	_	_	
3-50	380-382	br	_	_	
3-51	382-383	>	_	_	
3-52	384-385	`	_	_	
3-53	385-386	`	_	_	
3-54	386-387	`	_	_	
3-55	388-389	@	_	_	
3-56	389-393	misc	_	_	
3-57	393-394	{	_	_	
3-58	399-419	gruppi2020nelagt2019	_	_	
3-59	419-420	,	_	_	
3-60	425-430	title	_	_	
3-61	430-431	=	_	_	
3-62	431-432	{	_	_	
3-63	432-439	NELA-GT	*[4]|*[5]	PUBLICATION[4]|DATASET[5]	
3-64	439-440	-	*[4]|*[5]	PUBLICATION[4]|DATASET[5]	
3-65	440-444	2019	*[4]|*[5]	PUBLICATION[4]|DATASET[5]	
3-66	444-445	:	*[4]	PUBLICATION[4]	
3-67	446-447	A	*[4]	PUBLICATION[4]	
3-68	448-453	Large	*[4]	PUBLICATION[4]	
3-69	454-468	Multi-Labelled	*[4]	PUBLICATION[4]	
3-70	469-473	News	*[4]	PUBLICATION[4]	
3-71	474-481	Dataset	*[4]	PUBLICATION[4]	
3-72	482-485	for	*[4]	PUBLICATION[4]	
3-73	486-489	The	*[4]	PUBLICATION[4]	
3-74	490-495	Study	*[4]	PUBLICATION[4]	
3-75	496-498	of	*[4]	PUBLICATION[4]	
3-76	499-513	Misinformation	*[4]	PUBLICATION[4]	
3-77	514-516	in	*[4]	PUBLICATION[4]	
3-78	517-521	News	*[4]	PUBLICATION[4]	
3-79	522-530	Articles	*[4]	PUBLICATION[4]	
3-80	530-531	}	_	_	
3-81	531-532	,	_	_	
3-82	537-543	author	_	_	
3-83	543-544	=	_	_	
3-84	544-545	{	_	_	
3-85	545-553	Maurício	_	_	
3-86	554-560	Gruppi	_	_	
3-87	561-564	and	_	_	
3-88	565-573	Benjamin	_	_	
3-89	574-575	D	_	_	
3-90	575-576	.	_	_	

#Text=Horne and Sibel Adalı},
#Text=    year={2020},
#Text=    eprint={2003.08444},
#Text=    archivePrefix={arXiv},
#Text=    primaryClass={cs.CY}
#Text=}
#Text=```
#Text=## Data
#Text=
#Text=Metadata||
#Text=---|---
#Text=Dataset name|`NELA-GT-2019`
#Text=Formats|`Sqlite3`,`JSON`
#Text=No. of articles|`1118821`
#Text=No. of sources|`261`
#Text=Collection period|`2019-01-01` to `2019-12-31`
#Text=
#Text=### Fields
#Text=
#Text=Each data point collected corresponds to an article and contains the fields described below.
4-1	577-582	Horne	_	_	
4-2	583-586	and	_	_	
4-3	587-592	Sibel	_	_	
4-4	593-598	Adalı	_	_	
4-5	598-599	}	_	_	
4-6	599-600	,	_	_	
4-7	605-609	year	_	_	
4-8	609-610	=	_	_	
4-9	610-611	{	_	_	
4-10	611-615	2020	_	_	
4-11	615-616	}	_	_	
4-12	616-617	,	_	_	
4-13	622-628	eprint	_	_	
4-14	628-629	=	_	_	
4-15	629-630	{	_	_	
4-16	630-640	2003.08444	_	_	
4-17	640-641	}	_	_	
4-18	641-642	,	_	_	
4-19	647-660	archivePrefix	_	_	
4-20	660-661	=	_	_	
4-21	661-662	{	_	_	
4-22	662-667	arXiv	_	_	
4-23	667-668	}	_	_	
4-24	668-669	,	_	_	
4-25	674-686	primaryClass	_	_	
4-26	686-687	=	_	_	
4-27	687-688	{	_	_	
4-28	688-693	cs.CY	_	_	
4-29	693-694	}	_	_	
4-30	695-696	}	_	_	
4-31	697-698	`	_	_	
4-32	698-699	`	_	_	
4-33	699-700	`	_	_	
4-34	701-702	#	_	_	
4-35	702-703	#	_	_	
4-36	704-708	Data	_	_	
4-37	710-718	Metadata	_	_	
4-38	718-719	|	_	_	
4-39	719-720	|	_	_	
4-40	721-722	-	_	_	
4-41	722-723	-	_	_	
4-42	723-724	-	_	_	
4-43	724-725	|	_	_	
4-44	725-726	-	_	_	
4-45	726-727	-	_	_	
4-46	727-728	-	_	_	
4-47	729-736	Dataset	_	_	
4-48	737-741	name	_	_	
4-49	741-742	|	_	_	
4-50	742-743	`	_	_	
4-51	743-750	NELA-GT	*[6]	DATASET[6]	
4-52	750-751	-	*[6]	DATASET[6]	
4-53	751-755	2019	*[6]	DATASET[6]	
4-54	755-756	`	_	_	
4-55	757-764	Formats	_	_	
4-56	764-765	|	_	_	
4-57	765-766	`	_	_	
4-58	766-773	Sqlite3	*	SOFTWARE	
4-59	773-774	`	_	_	
4-60	774-775	,	_	_	
4-61	775-776	`	_	_	
4-62	776-780	JSON	_	_	
4-63	780-781	`	_	_	
4-64	782-784	No	_	_	
4-65	784-785	.	_	_	
4-66	786-788	of	_	_	
4-67	789-797	articles	_	_	
4-68	797-798	|	_	_	
4-69	798-799	`	_	_	
4-70	799-806	1118821	_	_	
4-71	806-807	`	_	_	
4-72	808-810	No	_	_	
4-73	810-811	.	_	_	
4-74	812-814	of	_	_	
4-75	815-822	sources	_	_	
4-76	822-823	|	_	_	
4-77	823-824	`	_	_	
4-78	824-827	261	_	_	
4-79	827-828	`	_	_	
4-80	829-839	Collection	_	_	
4-81	840-846	period	_	_	
4-82	846-847	|	_	_	
