#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# An Empirical Framework for Domain Generalization In Clinical Settings
#Text=
#Text=## Paper
#Text=If you use this code in your research, please cite the following publication:
#Text=```
#Text=@inproceedings{zhang2021empirical,
#Text=  title={An empirical framework for domain generalization in clinical settings},
#Text=  author={Zhang, Haoran and Dullerud, Natalie and Seyyed-Kalantari, Laleh and Morris, Quaid and Joshi, Shalmali and Ghassemi, Marzyeh},
#Text=  booktitle={Proceedings of the Conference on Health, Inference, and Learning},
#Text=  pages={279--290},
#Text=  year={2021}
#Text=}
#Text=```
#Text=
#Text=This paper can also be found on arxiv: https://arxiv.org/abs/2103.11163 
#Text=
#Text=
#Text=## Acknowledgements
#Text=
#Text=Our implementation is a modified version of the excellent [DomainBed](https://github.com/facebookresearch/DomainBed) framework (from commit [a10458a](https://github.com/facebookresearch/DomainBed/tree/a10458a2adfd8aec0fda2d617f710e5044e5dc60)).
1-1	0-1	#	*[1]	*[1]	
1-2	2-4	An	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-3	5-14	Empirical	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-4	15-24	Framework	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-5	25-28	for	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-6	29-35	Domain	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-7	36-50	Generalization	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-8	51-53	In	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-9	54-62	Clinical	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-10	63-71	Settings	*[1]|*[2]	*[1]|PUBLICATION[2]	
1-11	73-74	#	*[1]	*[1]	
1-12	74-75	#	*[1]	*[1]	
1-13	76-81	Paper	*[1]	*[1]	
1-14	82-84	If	*[1]	*[1]	
1-15	85-88	you	*[1]	*[1]	
1-16	89-92	use	*[1]	*[1]	
1-17	93-97	this	*[1]	*[1]	
1-18	98-102	code	*[1]	*[1]	
1-19	103-105	in	*[1]	*[1]	
1-20	106-110	your	*[1]	*[1]	
1-21	111-119	research	*[1]	*[1]	
1-22	119-120	,	*[1]	*[1]	
1-23	121-127	please	*[1]	*[1]	
1-24	128-132	cite	*[1]	*[1]	
1-25	133-136	the	*[1]	*[1]	
1-26	137-146	following	*[1]	*[1]	
1-27	147-158	publication	*[1]	*[1]	
1-28	158-159	:	*[1]	*[1]	
1-29	160-161	`	*[1]	*[1]	
1-30	161-162	`	*[1]	*[1]	
1-31	162-163	`	*[1]	*[1]	
1-32	164-165	@	*[1]	*[1]	
1-33	165-178	inproceedings	*[1]	*[1]	
1-34	178-179	{	*[1]	*[1]	
1-35	179-197	zhang2021empirical	*[1]	*[1]	
1-36	197-198	,	*[1]	*[1]	
1-37	201-206	title	*[1]	*[1]	
1-38	206-207	=	*[1]	*[1]	
1-39	207-208	{	*[1]	*[1]	
1-40	208-210	An	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-41	211-220	empirical	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-42	221-230	framework	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-43	231-234	for	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-44	235-241	domain	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-45	242-256	generalization	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-46	257-259	in	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-47	260-268	clinical	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-48	269-277	settings	*[1]|*[3]	*[1]|PUBLICATION[3]	
1-49	277-278	}	*[1]	*[1]	
1-50	278-279	,	*[1]	*[1]	
1-51	282-288	author	*[1]	*[1]	
1-52	288-289	=	*[1]	*[1]	
1-53	289-290	{	*[1]	*[1]	
1-54	290-295	Zhang	*[1]	*[1]	
1-55	295-296	,	*[1]	*[1]	
1-56	297-303	Haoran	*[1]	*[1]	
1-57	304-307	and	*[1]	*[1]	
1-58	308-316	Dullerud	*[1]	*[1]	
1-59	316-317	,	*[1]	*[1]	
1-60	318-325	Natalie	*[1]	*[1]	
1-61	326-329	and	*[1]	*[1]	
1-62	330-346	Seyyed-Kalantari	*[1]	*[1]	
1-63	346-347	,	*[1]	*[1]	
1-64	348-353	Laleh	*[1]	*[1]	
1-65	354-357	and	*[1]	*[1]	
1-66	358-364	Morris	*[1]	*[1]	
1-67	364-365	,	*[1]	*[1]	
1-68	366-371	Quaid	*[1]	*[1]	
1-69	372-375	and	*[1]	*[1]	
1-70	376-381	Joshi	*[1]	*[1]	
1-71	381-382	,	*[1]	*[1]	
1-72	383-391	Shalmali	*[1]	*[1]	
1-73	392-395	and	*[1]	*[1]	
1-74	396-404	Ghassemi	*[1]	*[1]	
1-75	404-405	,	*[1]	*[1]	
1-76	406-413	Marzyeh	*[1]	*[1]	
1-77	413-414	}	*[1]	*[1]	
1-78	414-415	,	*[1]	*[1]	
1-79	418-427	booktitle	*[1]	*[1]	
1-80	427-428	=	*[1]	*[1]	
1-81	428-429	{	*[1]	*[1]	
1-82	429-440	Proceedings	*[1]|*[4]	*[1]|PUBLICATION[4]	
1-83	441-443	of	*[1]|*[4]	*[1]|PUBLICATION[4]	
1-84	444-447	the	*[1]|*[4]	*[1]|PUBLICATION[4]	
1-85	448-458	Conference	*[1]|*[4]|*[5]	*[1]|PUBLICATION[4]|CONFERENCE[5]	
1-86	459-461	on	*[1]|*[4]|*[5]	*[1]|PUBLICATION[4]|CONFERENCE[5]	
1-87	462-468	Health	*[1]|*[4]|*[5]	*[1]|PUBLICATION[4]|CONFERENCE[5]	
1-88	468-469	,	*[1]|*[4]|*[5]	*[1]|PUBLICATION[4]|CONFERENCE[5]	
1-89	470-479	Inference	*[1]|*[4]|*[5]	*[1]|PUBLICATION[4]|CONFERENCE[5]	
1-90	479-480	,	*[1]|*[4]|*[5]	*[1]|PUBLICATION[4]|CONFERENCE[5]	
1-91	481-484	and	*[1]|*[4]|*[5]	*[1]|PUBLICATION[4]|CONFERENCE[5]	
1-92	485-493	Learning	*[1]|*[4]|*[5]	*[1]|PUBLICATION[4]|CONFERENCE[5]	
1-93	493-494	}	*[1]	*[1]	
1-94	494-495	,	*[1]	*[1]	
1-95	498-503	pages	*[1]	*[1]	
1-96	503-504	=	*[1]	*[1]	
1-97	504-505	{	*[1]	*[1]	
1-98	505-508	279	*[1]	*[1]	
1-99	508-509	-	*[1]	*[1]	
1-100	509-510	-	*[1]	*[1]	
1-101	510-513	290	*[1]	*[1]	
1-102	513-514	}	*[1]	*[1]	
1-103	514-515	,	*[1]	*[1]	
1-104	518-522	year	*[1]	*[1]	
1-105	522-523	=	*[1]	*[1]	
1-106	523-524	{	*[1]	*[1]	
1-107	524-528	2021	*[1]	*[1]	
1-108	528-529	}	*[1]	*[1]	
1-109	530-531	}	*[1]	*[1]	
1-110	532-533	`	*[1]	*[1]	
1-111	533-534	`	*[1]	*[1]	
1-112	534-535	`	*[1]	*[1]	
1-113	537-541	This	*[1]	*[1]	
1-114	542-547	paper	*[1]	*[1]	
1-115	548-551	can	*[1]	*[1]	
1-116	552-556	also	*[1]	*[1]	
1-117	557-559	be	*[1]	*[1]	
1-118	560-565	found	*[1]	*[1]	
1-119	566-568	on	*[1]	*[1]	
1-120	569-574	arxiv	*[1]	*[1]	
1-121	574-575	:	*[1]	*[1]	
1-122	576-581	https	*[1]	*[1]	
1-123	581-582	:	*[1]	*[1]	
1-124	582-583	/	*[1]	*[1]	
1-125	583-584	/	*[1]	*[1]	
1-126	584-593	arxiv.org	*[1]	*[1]	
1-127	593-594	/	*[1]	*[1]	
1-128	594-597	abs	*[1]	*[1]	
1-129	597-598	/	*[1]	*[1]	
1-130	598-608	2103.11163	*[1]	*[1]	
1-131	612-613	#	*[1]	*[1]	
1-132	613-614	#	*[1]	*[1]	
1-133	615-631	Acknowledgements	*[1]	*[1]	
1-134	633-636	Our	*[1]	*[1]	
1-135	637-651	implementation	*[1]	*[1]	
1-136	652-654	is	*[1]	*[1]	
1-137	655-656	a	*[1]	*[1]	
1-138	657-665	modified	*[1]	*[1]	
1-139	666-673	version	*[1]	*[1]	
1-140	674-676	of	*[1]	*[1]	
1-141	677-680	the	*[1]	*[1]	
1-142	681-690	excellent	*[1]	*[1]	
1-143	691-692	[	*[1]	*[1]	
1-144	692-701	DomainBed	*[1]|*[6]	*[1]|PROJECT[6]	
1-145	701-702	]	*[1]	*[1]	
1-146	702-703	(	*[1]	*[1]	
1-147	703-708	https	*[1]	*[1]	
1-148	708-709	:	*[1]	*[1]	
1-149	709-710	/	*[1]	*[1]	
1-150	710-711	/	*[1]	*[1]	
1-151	711-721	github.com	*[1]	*[1]	
1-152	721-722	/	*[1]	*[1]	
1-153	722-738	facebookresearch	*[1]	*[1]	
1-154	738-739	/	*[1]	*[1]	
1-155	739-748	DomainBed	*[1]	*[1]	
1-156	748-749	)	*[1]	*[1]	
1-157	750-759	framework	*[1]	*[1]	
1-158	760-761	(	*[1]	*[1]	
1-159	761-765	from	*[1]	*[1]	
1-160	766-772	commit	*[1]	*[1]	
1-161	773-774	[	*[1]	*[1]	
1-162	774-781	a10458a	*[1]	*[1]	
1-163	781-782	]	*[1]	*[1]	
1-164	782-783	(	*[1]	*[1]	
1-165	783-788	https	*[1]	*[1]	
1-166	788-789	:	*[1]	*[1]	
1-167	789-790	/	*[1]	*[1]	
1-168	790-791	/	*[1]	*[1]	
1-169	791-801	github.com	*[1]	*[1]	
1-170	801-802	/	*[1]	*[1]	
1-171	802-818	facebookresearch	*[1]	*[1]	
1-172	818-819	/	*[1]	*[1]	
1-173	819-828	DomainBed	*[1]	*[1]	
1-174	828-829	/	*[1]	*[1]	
1-175	829-833	tree	*[1]	*[1]	
1-176	833-834	/	*[1]	*[1]	
1-177	834-874	a10458a2adfd8aec0fda2d617f710e5044e5dc60	*[1]	*[1]	
1-178	874-875	)	*[1]	*[1]	
1-179	875-876	)	*[1]	*[1]	
1-180	876-877	.	*[1]	*[1]	

#Text=We also make use of some code from [eICU Benchmarks](https://github.com/mostafaalishahi/eICU_Benchmark).
#Text=
#Text=
#Text=## To replicate the experiments in the paper:
#Text=
#Text=### Step 0: Environment and Prerequisites
#Text=Run the following commands to clone this repo and create the Conda environment:
#Text=
#Text=```
#Text=git clone https://github.com/MLforHealth/ClinicalDG.git
#Text=cd ClinicalDG/
#Text=conda env create -f environment.yml
#Text=conda activate clinicaldg
#Text=```
#Text=
#Text=### Step 1: Obtaining the Data
#Text=See [DataSources.md](DataSources.md) for detailed instructions.
#Text=
#Text=### Step 2: Running Experiments
#Text=
#Text=Experiments can be ran using the same procedure as for the [DomainBed framework](https://github.com/facebookresearch/DomainBed), with a few additional adjustable data hyperparameters which should be passed in as a JSON formatted dictionary.
2-1	878-880	We	*[1]	*[1]	
2-2	881-885	also	*[1]	*[1]	
2-3	886-890	make	*[1]	*[1]	
2-4	891-894	use	*[1]	*[1]	
2-5	895-897	of	*[1]	*[1]	
2-6	898-902	some	*[1]	*[1]	
2-7	903-907	code	*[1]	*[1]	
2-8	908-912	from	_	_	
2-8.1	908-909	f	*[1]	*[1]	
2-9	913-914	[	_	_	
2-10	914-918	eICU	*[7]	SOFTWARE[7]	
2-11	919-929	Benchmarks	*[7]	SOFTWARE[7]	
2-12	929-930	]	_	_	
2-13	930-931	(	_	_	
2-14	931-936	https	_	_	
2-15	936-937	:	_	_	
2-16	937-938	/	_	_	
2-17	938-939	/	_	_	
2-18	939-949	github.com	_	_	
2-19	949-950	/	_	_	
2-20	950-965	mostafaalishahi	_	_	
2-21	965-966	/	_	_	
2-22	966-980	eICU_Benchmark	*	SOFTWARE	
2-23	980-981	)	_	_	
2-24	981-982	.	_	_	
2-25	985-986	#	_	_	
2-26	986-987	#	_	_	
2-27	988-990	To	_	_	
2-28	991-1000	replicate	_	_	
2-29	1001-1004	the	_	_	
2-30	1005-1016	experiments	_	_	
2-31	1017-1019	in	_	_	
2-32	1020-1023	the	_	_	
2-33	1024-1029	paper	_	_	
2-34	1029-1030	:	_	_	
2-35	1032-1033	#	_	_	
2-36	1033-1034	#	_	_	
2-37	1034-1035	#	_	_	
2-38	1036-1040	Step	_	_	
2-39	1041-1042	0	_	_	
2-40	1042-1043	:	_	_	
2-41	1044-1055	Environment	_	_	
2-42	1056-1059	and	_	_	
2-43	1060-1073	Prerequisites	_	_	
2-44	1074-1077	Run	_	_	
2-45	1078-1081	the	_	_	
2-46	1082-1091	following	_	_	
2-47	1092-1100	commands	_	_	
2-48	1101-1103	to	_	_	
2-49	1104-1109	clone	_	_	
2-50	1110-1114	this	_	_	
2-51	1115-1119	repo	_	_	
2-52	1120-1123	and	_	_	
