#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Introduction
#Text=This is PointSQL, the source codes of [Natural Language to Structured Query Generation via Meta-Learning](https://arxiv.org/abs/1803.02400) 
#Text=and [Pointing Out SQL Queries From Text](https://www.microsoft.com/en-us/research/publication/pointing-sql-queries-text) from Microsoft Research.
1-1	0-1	#	_	_	
1-2	2-14	Introduction	_	_	
1-3	15-19	This	_	_	
1-4	20-22	is	_	_	
1-5	23-31	PointSQL	*	PROJECT	
1-6	31-32	,	_	_	
1-7	33-36	the	_	_	
1-8	37-43	source	_	_	
1-9	44-49	codes	_	_	
1-10	50-52	of	_	_	
1-11	53-54	[	_	_	
1-12	54-61	Natural	*[1]	PUBLICATION[1]	
1-13	62-70	Language	*[1]	PUBLICATION[1]	
1-14	71-73	to	*[1]	PUBLICATION[1]	
1-15	74-84	Structured	*[1]	PUBLICATION[1]	
1-16	85-90	Query	*[1]	PUBLICATION[1]	
1-17	91-101	Generation	*[1]	PUBLICATION[1]	
1-18	102-105	via	*[1]	PUBLICATION[1]	
1-19	106-119	Meta-Learning	*[1]	PUBLICATION[1]	
1-20	119-120	]	_	_	
1-21	120-121	(	_	_	
1-22	121-126	https	_	_	
1-23	126-127	:	_	_	
1-24	127-128	/	_	_	
1-25	128-129	/	_	_	
1-26	129-138	arxiv.org	_	_	
1-27	138-139	/	_	_	
1-28	139-142	abs	_	_	
1-29	142-143	/	_	_	
1-30	143-153	1803.02400	_	_	
1-31	153-154	)	_	_	
1-32	156-159	and	_	_	
1-33	160-161	[	_	_	
1-34	161-169	Pointing	*[2]	PUBLICATION[2]	
1-35	170-173	Out	*[2]	PUBLICATION[2]	
1-36	174-177	SQL	*[2]|*[3]	PUBLICATION[2]|PROGLANG[3]	
1-37	178-185	Queries	*[2]	PUBLICATION[2]	
1-38	186-190	From	*[2]	PUBLICATION[2]	
1-39	191-195	Text	*[2]	PUBLICATION[2]	
1-40	195-196	]	_	_	
1-41	196-197	(	_	_	
1-42	197-202	https	_	_	
1-43	202-203	:	_	_	
1-44	203-204	/	_	_	
1-45	204-205	/	_	_	
1-46	205-222	www.microsoft.com	_	_	
1-47	222-223	/	_	_	
1-48	223-228	en-us	_	_	
1-49	228-229	/	_	_	
1-50	229-237	research	_	_	
1-51	237-238	/	_	_	
1-52	238-249	publication	_	_	
1-53	249-250	/	_	_	
1-54	250-275	pointing-sql-queries-text	_	_	
1-54.1	259-262	sql	*	PROGLANG	
1-55	275-276	)	_	_	
1-56	277-281	from	_	_	
1-57	282-291	Microsoft	_	_	
1-58	292-300	Research	_	_	
1-59	300-301	.	_	_	

#Text=We present the setup for the WikiSQL experiments
2-1	302-304	We	_	_	
2-2	305-312	present	_	_	
2-3	313-316	the	_	_	
2-4	317-322	setup	_	_	
2-5	323-326	for	_	_	
2-6	327-330	the	_	_	
2-7	331-338	WikiSQL	*	DATASET	
2-8	339-350	experiments	_	_	

#Text=.
3-1	350-351	.	_	_	

#Text=# Training a New Model
#Text=
#Text=## Data Pre-processing
#Text=
#Text=- Download a preprocessed dataset [link](https://1drv.ms/u/s!
4-1	354-355	#	_	_	
4-2	356-364	Training	_	_	
4-3	365-366	a	_	_	
4-4	367-370	New	_	_	
4-5	371-376	Model	_	_	
4-6	378-379	#	_	_	
4-7	379-380	#	_	_	
4-8	381-385	Data	_	_	
