#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# [PAV-SOD: A New Task Towards Panoramic Audiovisual Saliency Detection (TOMM 2022)](https://drive.google.com/file/d/1-1RcARcbz4pACFzkjXcp6MP8R9CGScqI/view?
1-1	0-1	#	_	_	
1-2	2-3	[	_	_	
1-3	3-10	PAV-SOD	*[1]|*[2]	PUBLICATION[1]|PROJECT[2]	
1-4	10-11	:	*[1]	PUBLICATION[1]	
1-5	12-13	A	*[1]	PUBLICATION[1]	
1-6	14-17	New	*[1]	PUBLICATION[1]	
1-7	18-22	Task	*[1]	PUBLICATION[1]	
1-8	23-30	Towards	*[1]	PUBLICATION[1]	
1-9	31-40	Panoramic	*[1]	PUBLICATION[1]	
1-10	41-52	Audiovisual	*[1]	PUBLICATION[1]	
1-11	53-61	Saliency	*[1]	PUBLICATION[1]	
1-12	62-71	Detection	*[1]	PUBLICATION[1]	
1-13	72-73	(	_	_	
1-14	73-77	TOMM	*[3]	PUBLICATION[3]	
1-15	78-82	2022	*[3]	PUBLICATION[3]	
1-16	82-83	)	_	_	
1-17	83-84	]	_	_	
1-18	84-85	(	_	_	
1-19	85-90	https	_	_	
1-20	90-91	:	_	_	
1-21	91-92	/	_	_	
1-22	92-93	/	_	_	
1-23	93-109	drive.google.com	_	_	
1-24	109-110	/	_	_	
1-25	110-114	file	_	_	
1-26	114-115	/	_	_	
1-27	115-116	d	_	_	
1-28	116-117	/	_	_	
1-29	117-118	1	_	_	
1-30	118-119	-	_	_	
1-31	119-150	1RcARcbz4pACFzkjXcp6MP8R9CGScqI	_	_	
1-32	150-151	/	_	_	
1-33	151-155	view	_	_	
1-34	155-156	?	_	_	

#Text=usp=sharing)
#Text=
#Text=Object-level audiovisual saliency detection in 360° panoramic real-life dynamic scenes is important for exploring and modeling human perception in immersive environments, also for aiding the development of virtual, augmented and mixed reality applications in the fields of such as education, social network, entertainment and training.
2-1	156-159	usp	_	_	
2-2	159-160	=	_	_	
2-3	160-167	sharing	_	_	
2-4	167-168	)	_	_	
2-5	170-182	Object-level	_	_	
2-6	183-194	audiovisual	_	_	
2-7	195-203	saliency	_	_	
2-8	204-213	detection	_	_	
2-9	214-216	in	_	_	
2-10	217-220	360	_	_	
2-11	220-221	°	_	_	
2-12	222-231	panoramic	_	_	
2-13	232-241	real-life	_	_	
2-14	242-249	dynamic	_	_	
2-15	250-256	scenes	_	_	
2-16	257-259	is	_	_	
2-17	260-269	important	_	_	
2-18	270-273	for	_	_	
2-19	274-283	exploring	_	_	
2-20	284-287	and	_	_	
2-21	288-296	modeling	_	_	
2-22	297-302	human	_	_	
2-23	303-313	perception	_	_	
2-24	314-316	in	_	_	
2-25	317-326	immersive	_	_	
2-26	327-339	environments	_	_	
2-27	339-340	,	_	_	
2-28	341-345	also	_	_	
2-29	346-349	for	_	_	
2-30	350-356	aiding	_	_	
2-31	357-360	the	_	_	
2-32	361-372	development	_	_	
2-33	373-375	of	_	_	
2-34	376-383	virtual	_	_	
2-35	383-384	,	_	_	
2-36	385-394	augmented	_	_	
2-37	395-398	and	_	_	
2-38	399-404	mixed	_	_	
2-39	405-412	reality	_	_	
2-40	413-425	applications	_	_	
2-41	426-428	in	_	_	
2-42	429-432	the	_	_	
2-43	433-439	fields	_	_	
2-44	440-442	of	_	_	
2-45	443-447	such	_	_	
2-46	448-450	as	_	_	
2-47	451-460	education	_	_	
2-48	460-461	,	_	_	
2-49	462-468	social	_	_	
2-50	469-476	network	_	_	
2-51	476-477	,	_	_	
2-52	478-491	entertainment	_	_	
2-53	492-495	and	_	_	
2-54	496-504	training	_	_	
2-55	504-505	.	_	_	

#Text=To this end, we propose a new task, panoramic audiovisual salient object detection (PAV-SOD), which aims to segment the objects grasping most of the human attention in 360° panoramic videos reflecting real-life daily scenes.
3-1	506-508	To	_	_	
3-2	509-513	this	_	_	
3-3	514-517	end	_	_	
3-4	517-518	,	_	_	
3-5	519-521	we	_	_	
3-6	522-529	propose	_	_	
3-7	530-531	a	_	_	
3-8	532-535	new	_	_	
3-9	536-540	task	_	_	
3-10	540-541	,	_	_	
3-11	542-551	panoramic	*[4]	PROJECT[4]	
3-12	552-563	audiovisual	*[4]	PROJECT[4]	
3-13	564-571	salient	*[4]	PROJECT[4]	
3-14	572-578	object	*[4]	PROJECT[4]	
3-15	579-588	detection	*[4]	PROJECT[4]	
3-16	589-590	(	_	_	
3-17	590-597	PAV-SOD	*	PROJECT	
3-18	597-598	)	_	_	
3-19	598-599	,	_	_	
3-20	600-605	which	_	_	
3-21	606-610	aims	_	_	
3-22	611-613	to	_	_	
3-23	614-621	segment	_	_	
3-24	622-625	the	_	_	
3-25	626-633	objects	_	_	
3-26	634-642	grasping	_	_	
3-27	643-647	most	_	_	
3-28	648-650	of	_	_	
3-29	651-654	the	_	_	
3-30	655-660	human	_	_	
3-31	661-670	attention	_	_	
3-32	671-673	in	_	_	
3-33	674-677	360	_	_	
3-34	677-678	°	_	_	
3-35	679-688	panoramic	_	_	
3-36	689-695	videos	_	_	
3-37	696-706	reflecting	_	_	
3-38	707-716	real-life	_	_	
3-39	717-722	daily	_	_	
3-40	723-729	scenes	_	_	
3-41	729-730	.	_	_	

#Text=To support the task, we collect PAVS10K, the first panoramic video dataset for audiovisual salient object detection, which consists of 67 4K-resolution equirectangular videos with per-video labels including hierarchical scene categories and associated attributes depicting specific challenges for conducting PAV-SOD, and 10,465 uniformly sampled video frames with manually annotated object-level and instance-level pixel-wise masks.
4-1	731-733	To	_	_	
4-2	734-741	support	_	_	
4-3	742-745	the	_	_	
4-4	746-750	task	_	_	
4-5	750-751	,	_	_	
4-6	752-754	we	_	_	
4-7	755-762	collect	_	_	
4-8	763-770	PAVS10K	*	DATASET	
4-9	770-771	,	_	_	
4-10	772-775	the	_	_	
4-11	776-781	first	_	_	
4-12	782-791	panoramic	_	_	
4-13	792-797	video	_	_	
4-14	798-805	dataset	_	_	
4-15	806-809	for	_	_	
4-16	810-821	audiovisual	_	_	
4-17	822-829	salient	_	_	
4-18	830-836	object	_	_	
4-19	837-846	detection	_	_	
4-20	846-847	,	_	_	
4-21	848-853	which	_	_	
4-22	854-862	consists	_	_	
4-23	863-865	of	_	_	
4-24	866-868	67	_	_	
4-25	869-882	4K-resolution	_	_	
4-26	883-898	equirectangular	_	_	
4-27	899-905	videos	_	_	
4-28	906-910	with	_	_	
4-29	911-920	per-video	_	_	
4-30	921-927	labels	_	_	
4-31	928-937	including	_	_	
4-32	938-950	hierarchical	_	_	
4-33	951-956	scene	_	_	
4-34	957-967	categories	_	_	
4-35	968-971	and	_	_	
4-36	972-982	associated	_	_	
4-37	983-993	attributes	_	_	
4-38	994-1003	depicting	_	_	
4-39	1004-1012	specific	_	_	
4-40	1013-1023	challenges	_	_	
4-41	1024-1027	for	_	_	
4-42	1028-1038	conducting	_	_	
4-43	1039-1046	PAV-SOD	*	PROJECT	
4-44	1046-1047	,	_	_	
4-45	1048-1051	and	_	_	
4-46	1052-1058	10,465	_	_	
4-47	1059-1068	uniformly	_	_	
4-48	1069-1076	sampled	_	_	
4-49	1077-1082	video	_	_	
4-50	1083-1089	frames	_	_	
4-51	1090-1094	with	_	_	
4-52	1095-1103	manually	_	_	
4-53	1104-1113	annotated	_	_	
4-54	1114-1126	object-level	_	_	
4-55	1127-1130	and	_	_	
4-56	1131-1145	instance-level	_	_	
4-57	1146-1156	pixel-wise	_	_	
4-58	1157-1162	masks	_	_	
4-59	1162-1163	.	_	_	

#Text=The coarse-to-fine annotations enable multi-perspective analysis regarding PAV-SOD modeling.
5-1	1164-1167	The	_	_	
5-2	1168-1182	coarse-to-fine	_	_	
5-3	1183-1194	annotations	_	_	
5-4	1195-1201	enable	_	_	
5-5	1202-1219	multi-perspective	_	_	
5-6	1220-1228	analysis	_	_	
5-7	1229-1238	regarding	_	_	
5-8	1239-1246	PAV-SOD	*	SOFTWARE	
5-9	1247-1255	modeling	_	_	
5-10	1255-1256	.	_	_	

#Text=We further systematically benchmark 13 state-of-the-art salient object detection (SOD)/video object segmentation (VOS) methods based on our PAVS10K.
6-1	1257-1259	We	_	_	
6-2	1260-1267	further	_	_	
6-3	1268-1282	systematically	_	_	
6-4	1283-1292	benchmark	_	_	
6-5	1293-1295	13	_	_	
6-6	1296-1312	state-of-the-art	_	_	
6-7	1313-1320	salient	_	_	
6-8	1321-1327	object	_	_	
6-9	1328-1337	detection	_	_	
6-10	1338-1339	(	_	_	
6-11	1339-1342	SOD	_	_	
6-12	1342-1343	)	_	_	
6-13	1343-1344	/	_	_	
6-14	1344-1349	video	_	_	
6-15	1350-1356	object	_	_	
6-16	1357-1369	segmentation	_	_	
6-17	1370-1371	(	_	_	
6-18	1371-1374	VOS	_	_	
6-19	1374-1375	)	_	_	
6-20	1376-1383	methods	_	_	
6-21	1384-1389	based	_	_	
6-22	1390-1392	on	_	_	
6-23	1393-1396	our	_	_	
6-24	1397-1404	PAVS10K	*	DATASET	
6-25	1404-1405	.	_	_	

#Text=Besides, we propose a new baseline network, which takes advantage of both visual and audio cues of 360° video frames by using a new conditional variational auto-encoder (CVAE).
7-1	1406-1413	Besides	_	_	
7-2	1413-1414	,	_	_	
7-3	1415-1417	we	_	_	
7-4	1418-1425	propose	_	_	
7-5	1426-1427	a	_	_	
7-6	1428-1431	new	_	_	
7-7	1432-1440	baseline	_	_	
7-8	1441-1448	network	_	_	
7-9	1448-1449	,	_	_	
7-10	1450-1455	which	_	_	
7-11	1456-1461	takes	_	_	
7-12	1462-1471	advantage	_	_	
7-13	1472-1474	of	_	_	
7-14	1475-1479	both	_	_	
7-15	1480-1486	visual	_	_	
7-16	1487-1490	and	_	_	
7-17	1491-1496	audio	_	_	
7-18	1497-1501	cues	_	_	
7-19	1502-1504	of	_	_	
7-20	1505-1508	360	_	_	
7-21	1508-1509	°	_	_	
7-22	1510-1515	video	_	_	
7-23	1516-1522	frames	_	_	
7-24	1523-1525	by	_	_	
7-25	1526-1531	using	_	_	
7-26	1532-1533	a	_	_	
7-27	1534-1537	new	_	_	
7-28	1538-1549	conditional	_	_	
7-29	1550-1561	variational	_	_	
7-30	1562-1574	auto-encoder	_	_	
7-31	1575-1576	(	_	_	
7-32	1576-1580	CVAE	_	_	
7-33	1580-1581	)	_	_	
7-34	1581-1582	.	_	_	

#Text=Our CVAE-based audiovisual network, namely CAV-Net, consists of a spatial-temporal visual segmentation network, a convolutional audio-encoding network and audiovisual distribution estimation modules.
8-1	1583-1586	Our	_	_	
8-2	1587-1597	CVAE-based	_	_	
8-3	1598-1609	audiovisual	_	_	
8-4	1610-1617	network	_	_	
8-5	1617-1618	,	_	_	
8-6	1619-1625	namely	_	_	
8-7	1626-1633	CAV-Net	_	_	
8-8	1633-1634	,	_	_	
8-9	1635-1643	consists	_	_	
8-10	1644-1646	of	_	_	
8-11	1647-1648	a	_	_	
8-12	1649-1665	spatial-temporal	_	_	
8-13	1666-1672	visual	_	_	
8-14	1673-1685	segmentation	_	_	
8-15	1686-1693	network	_	_	
8-16	1693-1694	,	_	_	
8-17	1695-1696	a	_	_	
8-18	1697-1710	convolutional	_	_	
8-19	1711-1725	audio-encoding	_	_	
8-20	1726-1733	network	_	_	
8-21	1734-1737	and	_	_	
8-22	1738-1749	audiovisual	_	_	
8-23	1750-1762	distribution	_	_	
8-24	1763-1773	estimation	_	_	
8-25	1774-1781	modules	_	_	
8-26	1781-1782	.	_	_	

#Text=As a result, our CAV-Net outperforms all competing models and is able to estimate the aleatoric uncertainties within PAVS10K.
9-1	1783-1785	As	_	_	
9-2	1786-1787	a	_	_	
9-3	1788-1794	result	_	_	
9-4	1794-1795	,	_	_	
9-5	1796-1799	our	_	_	
9-6	1800-1807	CAV-Net	_	_	
9-7	1808-1819	outperforms	_	_	
9-8	1820-1823	all	_	_	
9-9	1824-1833	competing	_	_	
9-10	1834-1840	models	_	_	
9-11	1841-1844	and	_	_	
9-12	1845-1847	is	_	_	
9-13	1848-1852	able	_	_	
9-14	1853-1855	to	_	_	
9-15	1856-1864	estimate	_	_	
9-16	1865-1868	the	_	_	
9-17	1869-1878	aleatoric	_	_	
9-18	1879-1892	uncertainties	_	_	
9-19	1893-1899	within	_	_	
9-20	1900-1907	PAVS10K	*	DATASET	
9-21	1907-1908	.	_	_	

#Text=With extensive experimental results, we gain several findings about PAV-SOD challenges and insights towards PAV-SOD model interpretability.
10-1	1909-1913	With	_	_	
10-2	1914-1923	extensive	_	_	
10-3	1924-1936	experimental	_	_	
10-4	1937-1944	results	_	_	
10-5	1944-1945	,	_	_	
10-6	1946-1948	we	_	_	
10-7	1949-1953	gain	_	_	
10-8	1954-1961	several	_	_	
10-9	1962-1970	findings	_	_	
