#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# SciTweets
#Text=
#Text=<!
1-1	0-1	#	_	_	
1-2	2-11	SciTweets	*	DATASET	
1-3	13-14	<	_	_	
1-4	14-15	!	_	_	

#Text=-- Short Introduction what this repo is about -->
#Text=This repository contains a dataset, annotation framework and code for the work *"SciTweets - A Dataset and Annotation Framework for Detecting Scientific Online Discourse"* published at **CIKM2022**.
2-1	15-16	-	_	_	
2-2	16-17	-	_	_	
2-3	18-23	Short	_	_	
2-4	24-36	Introduction	_	_	
2-5	37-41	what	_	_	
2-6	42-46	this	_	_	
2-7	47-51	repo	_	_	
2-8	52-54	is	_	_	
2-9	55-60	about	_	_	
2-10	61-62	-	_	_	
2-11	62-63	-	_	_	
2-12	63-64	>	_	_	
2-13	65-69	This	_	_	
2-14	70-80	repository	_	_	
2-15	81-89	contains	_	_	
2-16	90-91	a	_	_	
2-17	92-99	dataset	_	_	
2-18	99-100	,	_	_	
2-19	101-111	annotation	_	_	
2-20	112-121	framework	_	_	
2-21	122-125	and	_	_	
2-22	126-130	code	_	_	
2-23	131-134	for	_	_	
2-24	135-138	the	_	_	
2-25	139-143	work	_	_	
2-26	144-145	*	_	_	
2-27	145-146	"	_	_	
2-28	146-155	SciTweets	*[1]|*[2]	PUBLICATION[1]|DATASET[2]	
2-29	156-157	-	*[1]	PUBLICATION[1]	
2-30	158-159	A	*[1]	PUBLICATION[1]	
2-31	160-167	Dataset	*[1]	PUBLICATION[1]	
2-32	168-171	and	*[1]	PUBLICATION[1]	
2-33	172-182	Annotation	*[1]	PUBLICATION[1]	
2-34	183-192	Framework	*[1]	PUBLICATION[1]	
2-35	193-196	for	*[1]	PUBLICATION[1]	
2-36	197-206	Detecting	*[1]	PUBLICATION[1]	
2-37	207-217	Scientific	*[1]	PUBLICATION[1]	
2-38	218-224	Online	*[1]	PUBLICATION[1]	
2-39	225-234	Discourse	*[1]	PUBLICATION[1]	
2-40	234-235	"	_	_	
2-41	235-236	*	_	_	
2-42	237-246	published	_	_	
2-43	247-249	at	_	_	
2-44	250-251	*	_	_	
2-45	251-252	*	_	_	
2-46	252-260	CIKM2022	*	CONFERENCE	
2-47	260-261	*	_	_	
2-48	261-262	*	_	_	
2-49	262-263	.	_	_	

#Text=You can also download the dataset and annotation framework from https://doi.org/10.7802/2434
3-1	264-267	You	_	_	
3-2	268-271	can	_	_	
3-3	272-276	also	_	_	
3-4	277-285	download	_	_	
3-5	286-289	the	_	_	
3-6	290-297	dataset	_	_	
3-7	298-301	and	_	_	
3-8	302-312	annotation	_	_	
3-9	313-322	framework	_	_	
3-10	323-327	from	_	_	
3-11	328-333	https	_	_	
3-12	333-334	:	_	_	
3-13	334-335	/	_	_	
3-14	335-336	/	_	_	
3-15	336-343	doi.org	_	_	
3-16	343-344	/	_	_	
3-17	344-351	10.7802	_	_	
3-18	351-352	/	_	_	
3-19	352-356	2434	_	_	

#Text=.
4-1	356-357	.	_	_	

#Text=<!
5-1	360-361	<	_	_	
5-2	361-362	!	_	_	

#Text=-- *TODO*: refer to our work before being published (e.g arxiv preprint)
#Text=
#Text=*TODO 2*: give examples of scientific online discourse here, e.g "The **SciTweets** dataset consists of ..." -->
#Text=
#Text=__Table of contents:__
#Text=- [Contents of the Repository](#contents-of-the-repository)
#Text=  - [Directory Structure](#directory-structure)
#Text=  - [Statistics](#statistics)
#Text=- [Pretrained Model](#pretrained-model)
#Text=- [Publication](#publication)
#Text=- [Licensing](#licensing)
#Text=- [Contact](#credits)
#Text=- [Acknowledgment](#acknowledgment)
