#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Approaching an unknown communication system by latent space exploration and causal inference
#Text=
#Text=[This repository](https://github.com/andleb/Approaching-an-unknown-communication-system) serves as the supplement of [the paper (preprint)](https://arxiv.org/abs/2303.10931), which uses generative models to help determine the meaningful building blocks of sperm whale communication.
1-1	0-1	#	_	_	
1-2	2-13	Approaching	*[1]	PUBLICATION[1]	
1-3	14-16	an	*[1]	PUBLICATION[1]	
1-4	17-24	unknown	*[1]	PUBLICATION[1]	
1-5	25-38	communication	*[1]	PUBLICATION[1]	
1-6	39-45	system	*[1]	PUBLICATION[1]	
1-7	46-48	by	*[1]	PUBLICATION[1]	
1-8	49-55	latent	*[1]	PUBLICATION[1]	
1-9	56-61	space	*[1]	PUBLICATION[1]	
1-10	62-73	exploration	*[1]	PUBLICATION[1]	
1-11	74-77	and	*[1]	PUBLICATION[1]	
1-12	78-84	causal	*[1]	PUBLICATION[1]	
1-13	85-94	inference	*[1]	PUBLICATION[1]	
1-14	96-97	[	_	_	
1-15	97-101	This	_	_	
1-16	102-112	repository	_	_	
1-17	112-113	]	_	_	
1-18	113-114	(	_	_	
1-19	114-119	https	_	_	
1-20	119-120	:	_	_	
1-21	120-121	/	_	_	
1-22	121-122	/	_	_	
1-23	122-132	github.com	_	_	
1-24	132-133	/	_	_	
1-25	133-139	andleb	_	_	
1-26	139-140	/	_	_	
1-27	140-183	Approaching-an-unknown-communication-system	_	_	
1-28	183-184	)	_	_	
1-29	185-191	serves	_	_	
1-30	192-194	as	_	_	
1-31	195-198	the	_	_	
1-32	199-209	supplement	_	_	
1-33	210-212	of	_	_	
1-34	213-214	[	_	_	
1-35	214-217	the	_	_	
1-36	218-223	paper	_	_	
1-37	224-225	(	_	_	
1-38	225-233	preprint	_	_	
1-39	233-234	)	_	_	
1-40	234-235	]	_	_	
1-41	235-236	(	_	_	
1-42	236-241	https	_	_	
1-43	241-242	:	_	_	
1-44	242-243	/	_	_	
1-45	243-244	/	_	_	
1-46	244-253	arxiv.org	_	_	
1-47	253-254	/	_	_	
1-48	254-257	abs	_	_	
1-49	257-258	/	_	_	
1-50	258-268	2303.10931	_	_	
1-51	268-269	)	_	_	
1-52	269-270	,	_	_	
1-53	271-276	which	_	_	
1-54	277-281	uses	_	_	
1-55	282-292	generative	_	_	
1-56	293-299	models	_	_	
1-57	300-302	to	_	_	
1-58	303-307	help	_	_	
1-59	308-317	determine	_	_	
1-60	318-321	the	_	_	
1-61	322-332	meaningful	_	_	
1-62	333-341	building	_	_	
1-63	342-348	blocks	_	_	
1-64	349-351	of	_	_	
1-65	352-357	sperm	_	_	
1-66	358-363	whale	_	_	
1-67	364-377	communication	_	_	
1-68	377-378	.	_	_	

#Text=<img src="figs/SchematicCDEV.png" width=50% height=50%>
#Text=
#Text=**Abstract:**
#Text=> <p align="justify"> <i> This paper proposes a methodology for discovering meaningful properties in data by exploring the latent space of unsupervised deep generative models.
2-1	380-381	<	_	_	
2-2	381-384	img	_	_	
2-3	385-388	src	_	_	
2-4	388-389	=	_	_	
2-5	389-390	"	_	_	
2-6	390-394	figs	_	_	
2-7	394-395	/	_	_	
2-8	395-412	SchematicCDEV.png	_	_	
2-9	412-413	"	_	_	
2-10	414-419	width	_	_	
2-11	419-420	=	_	_	
2-12	420-423	50%	_	_	
2-13	424-430	height	_	_	
2-14	430-431	=	_	_	
2-15	431-434	50%	_	_	
2-16	434-435	>	_	_	
2-17	437-438	*	_	_	
2-18	438-439	*	_	_	
2-19	439-447	Abstract	_	_	
2-20	447-448	:	_	_	
2-21	448-449	*	_	_	
2-22	449-450	*	_	_	
2-23	451-452	>	_	_	
2-24	453-454	<	_	_	
2-25	454-455	p	_	_	
2-26	456-461	align	_	_	
2-27	461-462	=	_	_	
2-28	462-463	"	_	_	
2-29	463-470	justify	_	_	
2-30	470-471	"	_	_	
2-31	471-472	>	_	_	
2-32	473-474	<	_	_	
2-33	474-475	i	_	_	
2-34	475-476	>	_	_	
2-35	477-481	This	_	_	
2-36	482-487	paper	_	_	
2-37	488-496	proposes	_	_	
2-38	497-498	a	_	_	
2-39	499-510	methodology	_	_	
2-40	511-514	for	_	_	
2-41	515-526	discovering	_	_	
2-42	527-537	meaningful	_	_	
2-43	538-548	properties	_	_	
2-44	549-551	in	_	_	
2-45	552-556	data	_	_	
2-46	557-559	by	_	_	
2-47	560-569	exploring	_	_	
2-48	570-573	the	_	_	
2-49	574-580	latent	_	_	
2-50	581-586	space	_	_	
2-51	587-589	of	_	_	
2-52	590-602	unsupervised	_	_	
2-53	603-607	deep	_	_	
2-54	608-618	generative	_	_	
2-55	619-625	models	_	_	
2-56	625-626	.	_	_	

#Text=We combine manipulation of individual latent variables to extreme values with methods inspired by causal inference into an approach we call causal disentanglement with extreme values (CDEV) and show that this method yields insights for model interpretability.
3-1	627-629	We	_	_	
3-2	630-637	combine	_	_	
3-3	638-650	manipulation	_	_	
3-4	651-653	of	_	_	
3-5	654-664	individual	_	_	
3-6	665-671	latent	_	_	
3-7	672-681	variables	_	_	
3-8	682-684	to	_	_	
3-9	685-692	extreme	_	_	
3-10	693-699	values	_	_	
3-11	700-704	with	_	_	
3-12	705-712	methods	_	_	
3-13	713-721	inspired	_	_	
3-14	722-724	by	_	_	
