#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# When Mitigating Bias is Unfair: A Comprehensive Study on the Impact of Bias Mitigation Algorithms
#Text=
#Text=This repository contains the codebase for "When Mitigating Bias is Unfair: A Comprehensive Study on the Impact of Bias Mitigation Algorithms" (on [Arxiv](https://arxiv.org/abs/2302.07185)).
1-1	0-1	#	_	_	
1-2	2-6	When	*[1]	PUBLICATION[1]	
1-3	7-17	Mitigating	*[1]	PUBLICATION[1]	
1-4	18-22	Bias	*[1]	PUBLICATION[1]	
1-5	23-25	is	*[1]	PUBLICATION[1]	
1-6	26-32	Unfair	*[1]	PUBLICATION[1]	
1-7	32-33	:	*[1]	PUBLICATION[1]	
1-8	34-35	A	*[1]	PUBLICATION[1]	
1-9	36-49	Comprehensive	*[1]	PUBLICATION[1]	
1-10	50-55	Study	*[1]	PUBLICATION[1]	
1-11	56-58	on	*[1]	PUBLICATION[1]	
1-12	59-62	the	*[1]	PUBLICATION[1]	
1-13	63-69	Impact	*[1]	PUBLICATION[1]	
1-14	70-72	of	*[1]	PUBLICATION[1]	
1-15	73-77	Bias	*[1]	PUBLICATION[1]	
1-16	78-88	Mitigation	*[1]	PUBLICATION[1]	
1-17	89-99	Algorithms	*[1]	PUBLICATION[1]	
1-18	101-105	This	_	_	
1-19	106-116	repository	_	_	
1-20	117-125	contains	_	_	
1-21	126-129	the	_	_	
1-22	130-138	codebase	_	_	
1-23	139-142	for	_	_	
1-24	143-144	"	_	_	
1-25	144-148	When	*[2]	PUBLICATION[2]	
1-26	149-159	Mitigating	*[2]	PUBLICATION[2]	
1-27	160-164	Bias	*[2]	PUBLICATION[2]	
1-28	165-167	is	*[2]	PUBLICATION[2]	
1-29	168-174	Unfair	*[2]	PUBLICATION[2]	
1-30	174-175	:	*[2]	PUBLICATION[2]	
1-31	176-177	A	*[2]	PUBLICATION[2]	
1-32	178-191	Comprehensive	*[2]	PUBLICATION[2]	
1-33	192-197	Study	*[2]	PUBLICATION[2]	
1-34	198-200	on	*[2]	PUBLICATION[2]	
1-35	201-204	the	*[2]	PUBLICATION[2]	
1-36	205-211	Impact	*[2]	PUBLICATION[2]	
1-37	212-214	of	*[2]	PUBLICATION[2]	
1-38	215-219	Bias	*[2]	PUBLICATION[2]	
1-39	220-230	Mitigation	*[2]	PUBLICATION[2]	
1-40	231-241	Algorithms	*[2]	PUBLICATION[2]	
1-41	241-242	"	_	_	
1-42	243-244	(	_	_	
1-43	244-246	on	_	_	
1-44	247-248	[	_	_	
1-45	248-253	Arxiv	_	_	
1-46	253-254	]	_	_	
1-47	254-255	(	_	_	
1-48	255-260	https	_	_	
1-49	260-261	:	_	_	
1-50	261-262	/	_	_	
1-51	262-263	/	_	_	
1-52	263-272	arxiv.org	_	_	
1-53	272-273	/	_	_	
1-54	273-276	abs	_	_	
1-55	276-277	/	_	_	
1-56	277-287	2302.07185	_	_	
1-57	287-288	)	_	_	
1-58	288-289	)	_	_	
1-59	289-290	.	_	_	

#Text=Most works on the fairness of machine learning systems focus on the blind optimization of common fairness metrics, such as Demographic Parity and Equalized Odds.
2-1	292-296	Most	_	_	
2-2	297-302	works	_	_	
2-3	303-305	on	_	_	
2-4	306-309	the	_	_	
2-5	310-318	fairness	_	_	
2-6	319-321	of	_	_	
2-7	322-329	machine	_	_	
2-8	330-338	learning	_	_	
2-9	339-346	systems	_	_	
2-10	347-352	focus	_	_	
2-11	353-355	on	_	_	
2-12	356-359	the	_	_	
2-13	360-365	blind	_	_	
2-14	366-378	optimization	_	_	
2-15	379-381	of	_	_	
2-16	382-388	common	_	_	
2-17	389-397	fairness	_	_	
2-18	398-405	metrics	_	_	
2-19	405-406	,	_	_	
2-20	407-411	such	_	_	
2-21	412-414	as	_	_	
