#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# [EC-GAN](https://ayaanzhaque.github.io/EC-GAN/)
#Text=This repository contains the implementation of the paper ["EC-GAN: Low-Sample Classification using Semi-Supervised Algorithms and GANs"](https://arxiv.org/abs/2012.15864) by Ayaan Haque from Saratoga High School.
1-1	0-1	#	_	_	
1-2	2-3	[	_	_	
1-3	3-9	EC-GAN	_	_	
1-4	9-10	]	_	_	
1-5	10-11	(	_	_	
1-6	11-16	https	_	_	
1-7	16-17	:	_	_	
1-8	17-18	/	_	_	
1-9	18-19	/	_	_	
1-10	19-40	ayaanzhaque.github.io	_	_	
1-11	40-41	/	_	_	
1-12	41-47	EC-GAN	_	_	
1-13	47-48	/	_	_	
1-14	48-49	)	_	_	
1-15	50-54	This	_	_	
1-16	55-65	repository	_	_	
1-17	66-74	contains	_	_	
1-18	75-78	the	_	_	
1-19	79-93	implementation	_	_	
1-20	94-96	of	_	_	
1-21	97-100	the	_	_	
1-22	101-106	paper	_	_	
1-23	107-108	[	_	_	
1-24	108-109	"	_	_	
1-25	109-115	EC-GAN	*[1]	PUBLICATION[1]	
1-26	115-116	:	*[1]	PUBLICATION[1]	
1-27	117-127	Low-Sample	*[1]	PUBLICATION[1]	
1-28	128-142	Classification	*[1]	PUBLICATION[1]	
1-29	143-148	using	*[1]	PUBLICATION[1]	
1-30	149-164	Semi-Supervised	*[1]	PUBLICATION[1]	
1-31	165-175	Algorithms	*[1]	PUBLICATION[1]	
1-32	176-179	and	*[1]	PUBLICATION[1]	
1-33	180-184	GANs	*[1]	PUBLICATION[1]	
1-34	184-185	"	_	_	
1-35	185-186	]	_	_	
1-36	186-187	(	_	_	
1-37	187-192	https	_	_	
1-38	192-193	:	_	_	
1-39	193-194	/	_	_	
1-40	194-195	/	_	_	
1-41	195-204	arxiv.org	_	_	
1-42	204-205	/	_	_	
1-43	205-208	abs	_	_	
1-44	208-209	/	_	_	
1-45	209-219	2012.15864	_	_	
1-46	219-220	)	_	_	
1-47	221-223	by	_	_	
1-48	224-229	Ayaan	_	_	
1-49	230-235	Haque	_	_	
1-50	236-240	from	_	_	
1-51	241-249	Saratoga	_	_	
1-52	250-254	High	_	_	
1-53	255-261	School	_	_	
1-54	261-262	.	_	_	

#Text=In [AAAI](https://aaai.org/Conferences/AAAI-21/), 2021.
2-1	263-265	In	_	_	
2-2	266-267	[	_	_	
2-3	267-271	AAAI	*	CONFERENCE	
2-4	271-272	]	_	_	
2-5	272-273	(	_	_	
2-6	273-278	https	_	_	
2-7	278-279	:	_	_	
2-8	279-280	/	_	_	
2-9	280-281	/	_	_	
2-10	281-289	aaai.org	_	_	
2-11	289-290	/	_	_	
2-12	290-301	Conferences	_	_	
2-13	301-302	/	_	_	
2-14	302-306	AAAI	*[2]	CONFERENCE[2]	
2-15	306-307	-	*[2]	CONFERENCE[2]	
2-16	307-309	21	*[2]	CONFERENCE[2]	
2-17	309-310	/	_	_	
2-18	310-311	)	_	_	
2-19	311-312	,	_	_	
2-20	313-317	2021	_	_	
2-21	317-318	.	_	_	

#Text=Our proposed model combines a Generative Adversarial Network with a classifier to leverage artifical GAN generations to increase the size of restricted, fully-supervised datasets in a semi-supervised method.
3-1	320-323	Our	_	_	
3-2	324-332	proposed	_	_	
3-3	333-338	model	_	_	
3-4	339-347	combines	_	_	
3-5	348-349	a	_	_	
3-6	350-360	Generative	_	_	
3-7	361-372	Adversarial	_	_	
3-8	373-380	Network	_	_	
3-9	381-385	with	_	_	
3-10	386-387	a	_	_	
3-11	388-398	classifier	_	_	
3-12	399-401	to	_	_	
3-13	402-410	leverage	_	_	
3-14	411-420	artifical	_	_	
3-15	421-424	GAN	_	_	
3-16	425-436	generations	_	_	
3-17	437-439	to	_	_	
3-18	440-448	increase	_	_	
3-19	449-452	the	_	_	
3-20	453-457	size	_	_	
3-21	458-460	of	_	_	
3-22	461-471	restricted	_	_	
3-23	471-472	,	_	_	
3-24	473-489	fully-supervised	_	_	
3-25	490-498	datasets	_	_	
3-26	499-501	in	_	_	
3-27	502-503	a	_	_	
3-28	504-519	semi-supervised	_	_	
3-29	520-526	method	_	_	
3-30	526-527	.	_	_	

#Text=<p align="center">
#Text=    <a href="https://slideslive.com/38951242/ecgan-lowsample-classification-using-semisupervised-algorithms-and-gans?
4-1	529-530	<	_	_	
4-2	530-531	p	_	_	
4-3	532-537	align	_	_	
4-4	537-538	=	_	_	
4-5	538-539	"	_	_	
4-6	539-545	center	_	_	
4-7	545-546	"	_	_	
4-8	546-547	>	_	_	
4-9	552-553	<	_	_	
4-10	553-554	a	_	_	
4-11	555-559	href	_	_	
4-12	559-560	=	_	_	
4-13	560-561	"	_	_	
4-14	561-566	https	_	_	
4-15	566-567	:	_	_	
4-16	567-568	/	_	_	
4-17	568-569	/	_	_	
4-18	569-583	slideslive.com	_	_	
4-19	583-584	/	_	_	
4-20	584-592	38951242	_	_	
4-21	592-593	/	_	_	
4-22	593-664	ecgan-lowsample-classification-using-semisupervised-algorithms-and-gans	_	_	
4-23	664-665	?	_	_	

#Text=ref=account-83491-history">
#Text=        <img src="https://github.com/ayaanzhaque/EC-GAN/blob/main/images/AAAI%20Finalist%20Presentation%20AH.png" alt="Thumbnail"/>
#Text=        <br />
#Text=        Watch Oral Presentation
#Text=    </a>
#Text=</p>
#Text=
#Text=## Abstract
#Text=Semi-supervised learning has been gaining attention as it allows for performing image analysis tasks such as classification with limited labeled data.
5-1	665-668	ref	_	_	
5-2	668-669	=	_	_	
5-3	669-676	account	_	_	
5-4	676-677	-	_	_	
5-5	677-682	83491	_	_	
5-6	682-683	-	_	_	
5-7	683-690	history	_	_	
5-8	690-691	"	_	_	
5-9	691-692	>	_	_	
5-10	701-702	<	_	_	
5-11	702-705	img	_	_	
5-12	706-709	src	_	_	
5-13	709-710	=	_	_	
5-14	710-711	"	_	_	
5-15	711-716	https	_	_	
5-16	716-717	:	_	_	
5-17	717-718	/	_	_	
5-18	718-719	/	_	_	
5-19	719-729	github.com	_	_	
5-20	729-730	/	_	_	
5-21	730-741	ayaanzhaque	_	_	
5-22	741-742	/	_	_	
5-23	742-748	EC-GAN	_	_	
5-24	748-749	/	_	_	
5-25	749-753	blob	_	_	
5-26	753-754	/	_	_	
5-27	754-758	main	_	_	
5-28	758-759	/	_	_	
5-29	759-765	images	_	_	
5-30	765-766	/	_	_	
5-31	766-770	AAAI	*	CONFERENCE	
5-32	770-771	%	_	_	
5-33	771-781	20Finalist	_	_	
5-34	781-782	%	_	_	
5-35	782-796	20Presentation	_	_	
5-36	796-797	%	_	_	
5-37	797-805	20AH.png	_	_	
5-38	805-806	"	_	_	
5-39	807-810	alt	_	_	
5-40	810-811	=	_	_	
5-41	811-812	"	_	_	
5-42	812-821	Thumbnail	_	_	
5-43	821-822	"	_	_	
5-44	822-823	/	_	_	
5-45	823-824	>	_	_	
5-46	833-834	<	_	_	
5-47	834-836	br	_	_	
5-48	837-838	/	_	_	
5-49	838-839	>	_	_	
5-50	848-853	Watch	_	_	
5-51	854-858	Oral	_	_	
5-52	859-871	Presentation	_	_	
5-53	876-877	<	_	_	
5-54	877-878	/	_	_	
5-55	878-879	a	_	_	
5-56	879-880	>	_	_	
5-57	881-882	<	_	_	
5-58	882-883	/	_	_	
5-59	883-884	p	_	_	
5-60	884-885	>	_	_	
5-61	887-888	#	_	_	
5-62	888-889	#	_	_	
5-63	890-898	Abstract	_	_	
5-64	899-914	Semi-supervised	_	_	
5-65	915-923	learning	_	_	
5-66	924-927	has	_	_	
5-67	928-932	been	_	_	
5-68	933-940	gaining	_	_	
5-69	941-950	attention	_	_	
5-70	951-953	as	_	_	
5-71	954-956	it	_	_	
5-72	957-963	allows	_	_	
5-73	964-967	for	_	_	
5-74	968-978	performing	_	_	
5-75	979-984	image	_	_	
5-76	985-993	analysis	_	_	
5-77	994-999	tasks	_	_	
5-78	1000-1004	such	_	_	
5-79	1005-1007	as	_	_	
5-80	1008-1022	classification	_	_	
5-81	1023-1027	with	_	_	
5-82	1028-1035	limited	_	_	
5-83	1036-1043	labeled	_	_	
5-84	1044-1048	data	_	_	
5-85	1048-1049	.	_	_	

#Text=Some popular algorithms using Generative Adversarial Networks (GANs) for semi-supervised classification share a single architecture for classification and discrimination.
6-1	1050-1054	Some	_	_	
6-2	1055-1062	popular	_	_	
6-3	1063-1073	algorithms	_	_	
6-4	1074-1079	using	_	_	
6-5	1080-1090	Generative	_	_	
6-6	1091-1102	Adversarial	_	_	
6-7	1103-1111	Networks	_	_	
6-8	1112-1113	(	_	_	
6-9	1113-1117	GANs	_	_	
6-10	1117-1118	)	_	_	
6-11	1119-1122	for	_	_	
6-12	1123-1138	semi-supervised	_	_	
6-13	1139-1153	classification	_	_	
6-14	1154-1159	share	_	_	
6-15	1160-1161	a	_	_	
6-16	1162-1168	single	_	_	
6-17	1169-1181	architecture	_	_	
6-18	1182-1185	for	_	_	
6-19	1186-1200	classification	_	_	
6-20	1201-1204	and	_	_	
6-21	1205-1219	discrimination	_	_	
6-22	1219-1220	.	_	_	

#Text=However, this may require a model to converge to a separate data distribution for each task, which may reduce overall performance.
7-1	1221-1228	However	_	_	
7-2	1228-1229	,	_	_	
7-3	1230-1234	this	_	_	
7-4	1235-1238	may	_	_	
7-5	1239-1246	require	_	_	
7-6	1247-1248	a	_	_	
7-7	1249-1254	model	_	_	
7-8	1255-1257	to	_	_	
7-9	1258-1266	converge	_	_	
7-10	1267-1269	to	_	_	
7-11	1270-1271	a	_	_	
7-12	1272-1280	separate	_	_	
7-13	1281-1285	data	_	_	
7-14	1286-1298	distribution	_	_	
7-15	1299-1302	for	_	_	
7-16	1303-1307	each	_	_	
7-17	1308-1312	task	_	_	
7-18	1312-1313	,	_	_	
7-19	1314-1319	which	_	_	
7-20	1320-1323	may	_	_	
7-21	1324-1330	reduce	_	_	
7-22	1331-1338	overall	_	_	
7-23	1339-1350	performance	_	_	
7-24	1350-1351	.	_	_	

#Text=While progress in semi-supervised learning has been made, less addressed are small-scale, fully-supervised tasks where even unlabeled data is unavailable and unattainable.
8-1	1352-1357	While	_	_	
8-2	1358-1366	progress	_	_	
8-3	1367-1369	in	_	_	
8-4	1370-1385	semi-supervised	_	_	
8-5	1386-1394	learning	_	_	
8-6	1395-1398	has	_	_	
8-7	1399-1403	been	_	_	
8-8	1404-1408	made	_	_	
8-9	1408-1409	,	_	_	
8-10	1410-1414	less	_	_	
8-11	1415-1424	addressed	_	_	
8-12	1425-1428	are	_	_	
8-13	1429-1440	small-scale	_	_	
8-14	1440-1441	,	_	_	
8-15	1442-1458	fully-supervised	_	_	
8-16	1459-1464	tasks	_	_	
8-17	1465-1470	where	_	_	
8-18	1471-1475	even	_	_	
8-19	1476-1485	unlabeled	_	_	
8-20	1486-1490	data	_	_	
8-21	1491-1493	is	_	_	
8-22	1494-1505	unavailable	_	_	
8-23	1506-1509	and	_	_	
8-24	1510-1522	unattainable	_	_	
8-25	1522-1523	.	_	_	

#Text=We therefore, propose a novel GAN model namely External Classifier GAN (EC-GAN), that utilizes GANs and semi-supervised algorithms to improve classification in fully-supervised regimes.
9-1	1524-1526	We	_	_	
9-2	1527-1536	therefore	_	_	
9-3	1536-1537	,	_	_	
9-4	1538-1545	propose	_	_	
9-5	1546-1547	a	_	_	
9-6	1548-1553	novel	_	_	
9-7	1554-1557	GAN	_	_	
9-8	1558-1563	model	_	_	
9-9	1564-1570	namely	_	_	
9-10	1571-1579	External	_	_	
9-11	1580-1590	Classifier	_	_	
9-12	1591-1594	GAN	_	_	
9-13	1595-1596	(	_	_	
9-14	1596-1602	EC-GAN	_	_	
9-15	1602-1603	)	_	_	
9-16	1603-1604	,	_	_	
9-17	1605-1609	that	_	_	
9-18	1610-1618	utilizes	_	_	
9-19	1619-1623	GANs	_	_	
9-20	1624-1627	and	_	_	
9-21	1628-1643	semi-supervised	_	_	
9-22	1644-1654	algorithms	_	_	
9-23	1655-1657	to	_	_	
9-24	1658-1665	improve	_	_	
9-25	1666-1680	classification	_	_	
9-26	1681-1683	in	_	_	
9-27	1684-1700	fully-supervised	_	_	
9-28	1701-1708	regimes	_	_	
9-29	1708-1709	.	_	_	

#Text=Our method leverages a GAN to generate artificial data used to supplement supervised classification.
10-1	1710-1713	Our	_	_	
10-2	1714-1720	method	_	_	
10-3	1721-1730	leverages	_	_	
10-4	1731-1732	a	_	_	
10-5	1733-1736	GAN	_	_	
10-6	1737-1739	to	_	_	
10-7	1740-1748	generate	_	_	
10-8	1749-1759	artificial	_	_	
10-9	1760-1764	data	_	_	
10-10	1765-1769	used	_	_	
10-11	1770-1772	to	_	_	
10-12	1773-1783	supplement	_	_	
10-13	1784-1794	supervised	_	_	
