#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=!
1-1	2-3	!	_	_	

#Text=[Version](https://badge.fury.io/py/karateclub.svg?
2-1	3-4	[	_	_	
2-2	4-11	Version	_	_	
2-3	11-12	]	_	_	
2-4	12-13	(	_	_	
2-5	13-18	https	_	_	
2-6	18-19	:	_	_	
2-7	19-20	/	_	_	
2-8	20-21	/	_	_	
2-9	21-34	badge.fury.io	_	_	
2-10	34-35	/	_	_	
2-11	35-37	py	_	_	
2-12	37-38	/	_	_	
2-13	38-52	karateclub.svg	_	_	
2-13.1	38-48	karateclub	*	SOFTWARE	
2-14	52-53	?	_	_	

#Text=style=plastic)
#Text= !
3-1	53-58	style	_	_	
3-2	58-59	=	_	_	
3-3	59-66	plastic	_	_	
3-4	66-67	)	_	_	
3-5	69-70	!	_	_	

#Text=[License](https://img.shields.io/github/license/benedekrozemberczki/karateclub.svg)
#Text=[!
4-1	70-71	[	_	_	
4-2	71-78	License	_	_	
4-3	78-79	]	_	_	
4-4	79-80	(	_	_	
4-5	80-85	https	_	_	
4-6	85-86	:	_	_	
4-7	86-87	/	_	_	
4-8	87-88	/	_	_	
4-9	88-102	img.shields.io	_	_	
4-10	102-103	/	_	_	
4-11	103-109	github	_	_	
4-12	109-110	/	_	_	
4-13	110-117	license	_	_	
4-14	117-118	/	_	_	
4-15	118-137	benedekrozemberczki	_	_	
4-16	137-138	/	_	_	
4-17	138-152	karateclub.svg	_	_	
4-17.1	138-148	karateclub	*	SOFTWARE	
4-18	152-153	)	_	_	
4-19	154-155	[	_	_	
4-20	155-156	!	_	_	

#Text=[repo size](https://img.shields.io/github/repo-size/benedekrozemberczki/karateclub.svg)](https://github.com/benedekrozemberczki/karateclub/archive/master.zip)
#Text= [!
5-1	156-157	[	_	_	
5-2	157-161	repo	_	_	
5-3	162-166	size	_	_	
5-4	166-167	]	_	_	
5-5	167-168	(	_	_	
5-6	168-173	https	_	_	
5-7	173-174	:	_	_	
5-8	174-175	/	_	_	
5-9	175-176	/	_	_	
5-10	176-190	img.shields.io	_	_	
5-11	190-191	/	_	_	
5-12	191-197	github	_	_	
5-13	197-198	/	_	_	
