#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Trainable Highly-expressive Activation Functions [ECCV 2024]
#Text=
#Text=[Irit Chelly*](https://irita42.wixsite.com/mysite), [Shahaf E.
1-1	0-1	#	_	_	
1-2	2-11	Trainable	*[1]	PUBLICATION[1]	
1-3	12-29	Highly-expressive	*[1]	PUBLICATION[1]	
1-4	30-40	Activation	*[1]	PUBLICATION[1]	
1-5	41-50	Functions	*[1]	PUBLICATION[1]	
1-6	51-52	[	_	_	
1-7	52-56	ECCV	*[2]	CONFERENCE[2]	
1-8	57-61	2024	*[2]	CONFERENCE[2]	
1-9	61-62	]	_	_	
1-10	64-65	[	_	_	
1-11	65-69	Irit	_	_	
1-12	70-76	Chelly	_	_	
1-13	76-77	*	_	_	
1-14	77-78	]	_	_	
1-15	78-79	(	_	_	
1-16	79-84	https	_	_	
1-17	84-85	:	_	_	
1-18	85-86	/	_	_	
1-19	86-87	/	_	_	
1-20	87-94	irita42	_	_	
1-21	94-95	.	_	_	
1-22	95-106	wixsite.com	_	_	
1-23	106-107	/	_	_	
1-24	107-113	mysite	_	_	
1-25	113-114	)	_	_	
1-26	114-115	,	_	_	
1-27	116-117	[	_	_	
1-28	117-123	Shahaf	_	_	
1-29	124-125	E	_	_	
1-30	125-126	.	_	_	

#Text=Finder*](https://shahaffind.github.io/), [Shira Ifergane](https://www.linkedin.com/in/shira-ifergane/), and [Oren Freifeld](https://www.cs.bgu.ac.il/~orenfr/)
2-1	127-133	Finder	_	_	
2-2	133-134	*	_	_	
2-3	134-135	]	_	_	
2-4	135-136	(	_	_	
2-5	136-141	https	_	_	
2-6	141-142	:	_	_	
2-7	142-143	/	_	_	
2-8	143-144	/	_	_	
2-9	144-164	shahaffind.github.io	_	_	
2-10	164-165	/	_	_	
2-11	165-166	)	_	_	
2-12	166-167	,	_	_	
2-13	168-169	[	_	_	
2-14	169-174	Shira	_	_	
2-15	175-183	Ifergane	_	_	
2-16	183-184	]	_	_	
2-17	184-185	(	_	_	
2-18	185-190	https	_	_	
2-19	190-191	:	_	_	
2-20	191-192	/	_	_	
2-21	192-193	/	_	_	
2-22	193-209	www.linkedin.com	_	_	
2-23	209-210	/	_	_	
2-24	210-212	in	_	_	
2-25	212-213	/	_	_	
2-26	213-227	shira-ifergane	_	_	
2-27	227-228	/	_	_	
2-28	228-229	)	_	_	
2-29	229-230	,	_	_	
2-30	231-234	and	_	_	
2-31	235-236	[	_	_	
2-32	236-240	Oren	_	_	
2-33	241-249	Freifeld	_	_	
2-34	249-250	]	_	_	
2-35	250-251	(	_	_	
2-36	251-256	https	_	_	
2-37	256-257	:	_	_	
2-38	257-258	/	_	_	
2-39	258-259	/	_	_	
2-40	259-275	www.cs.bgu.ac.il	_	_	
2-41	275-276	/	_	_	
2-42	276-277	~	_	_	
2-43	277-283	orenfr	_	_	
2-44	283-284	/	_	_	
2-45	284-285	)	_	_	

#Text=.
3-1	285-286	.	_	_	

#Text=[!
4-1	288-289	[	_	_	
4-2	289-290	!	_	_	

#Text=[arXiv](https://img.shields.io/badge/arXiv-2407.07564-b31b1b.svg?
5-1	290-291	[	_	_	
5-2	291-296	arXiv	_	_	
5-3	296-297	]	_	_	
5-4	297-298	(	_	_	
5-5	298-303	https	_	_	
5-6	303-304	:	_	_	
5-7	304-305	/	_	_	
5-8	305-306	/	_	_	
5-9	306-320	img.shields.io	_	_	
5-10	320-321	/	_	_	
5-11	321-326	badge	_	_	
5-12	326-327	/	_	_	
5-13	327-332	arXiv	_	_	
5-14	332-333	-	_	_	
5-15	333-343	2407.07564	_	_	
5-16	343-344	-	_	_	
5-17	344-354	b31b1b.svg	_	_	
5-18	354-355	?	_	_	

#Text=style=flat)](https://arxiv.org/abs/2407.07564)
#Text=
#Text=### Requirements
#Text=- python 3.12
#Text=- torch 2.2.2 
#Text=- difw 0.0.29
#Text=- scikit-learn 1.5.1
#Text=
#Text=`difw` can be fragile, make sure that it compiles successfully.
6-1	355-360	style	_	_	
6-2	360-361	=	_	_	
6-3	361-365	flat	_	_	
6-4	365-366	)	_	_	
6-5	366-367	]	_	_	
6-6	367-368	(	_	_	
6-7	368-373	https	_	_	
6-8	373-374	:	_	_	
6-9	374-375	/	_	_	
6-10	375-376	/	_	_	
6-11	376-385	arxiv.org	_	_	
6-12	385-386	/	_	_	
6-13	386-389	abs	_	_	
6-14	389-390	/	_	_	
6-15	390-400	2407.07564	_	_	
6-16	400-401	)	_	_	
6-17	403-404	#	_	_	
6-18	404-405	#	_	_	
6-19	405-406	#	_	_	
