#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# learning-generality
#Text=
#Text=Code for the paper 'Why Deep Learning Generalizes' which may be found [here](https://arxiv.org/abs/2211.09639).
1-1	0-1	#	_	_	
1-2	2-21	learning-generality	_	_	
1-3	23-27	Code	_	_	
1-4	28-31	for	_	_	
1-5	32-35	the	_	_	
1-6	36-41	paper	_	_	
1-7	42-43	'	_	_	
1-8	43-46	Why	*[1]	PUBLICATION[1]	
1-9	47-51	Deep	*[1]	PUBLICATION[1]	
1-10	52-60	Learning	*[1]	PUBLICATION[1]	
1-11	61-72	Generalizes	*[1]	PUBLICATION[1]	
1-12	72-73	'	_	_	
1-13	74-79	which	_	_	
1-14	80-83	may	_	_	
1-15	84-86	be	_	_	
1-16	87-92	found	_	_	
1-17	93-94	[	_	_	
1-18	94-98	here	_	_	
1-19	98-99	]	_	_	
1-20	99-100	(	_	_	
1-21	100-105	https	_	_	
1-22	105-106	:	_	_	
1-23	106-107	/	_	_	
1-24	107-108	/	_	_	
1-25	108-117	arxiv.org	_	_	
1-26	117-118	/	_	_	
1-27	118-121	abs	_	_	
1-28	121-122	/	_	_	
1-29	122-132	2211.09639	_	_	
1-30	132-133	)	_	_	
1-31	133-134	.	_	_	

#Text=Gradient splitting is fairly straightforward to implement as gradients are additive.
2-1	138-146	Gradient	_	_	
2-2	147-156	splitting	_	_	
2-3	157-159	is	_	_	
2-4	160-166	fairly	_	_	
2-5	167-182	straightforward	_	_	
2-6	183-185	to	_	_	
2-7	186-195	implement	_	_	
2-8	196-198	as	_	_	
2-9	199-208	gradients	_	_	
2-10	209-212	are	_	_	
2-11	213-221	additive	_	_	
2-12	221-222	.	_	_	

#Text=For implementation of equation (1) in the paper linked, see `cifar10_generalization.py` and for equations (4) and (5) see `objective_generalization.py`.
3-1	224-227	For	_	_	
3-2	228-242	implementation	_	_	
3-3	243-245	of	_	_	
3-4	246-254	equation	_	_	
3-5	255-256	(	_	_	
3-6	256-257	1	_	_	
3-7	257-258	)	_	_	
3-8	259-261	in	_	_	
3-9	262-265	the	_	_	
3-10	266-271	paper	_	_	
3-11	272-278	linked	_	_	
3-12	278-279	,	_	_	
3-13	280-283	see	_	_	
3-14	284-285	`	_	_	
3-15	285-292	cifar10	_	_	
3-16	292-293	_	_	_	
3-17	293-310	generalization.py	_	_	
3-18	310-311	`	_	_	
3-19	312-315	and	_	_	
3-20	316-319	for	_	_	
3-21	320-329	equations	_	_	
3-22	330-331	(	_	_	
3-23	331-332	4	_	_	
3-24	332-333	)	_	_	
3-25	334-337	and	_	_	
3-26	338-339	(	_	_	
3-27	339-340	5	_	_	
3-28	340-341	)	_	_	
3-29	342-345	see	_	_	
3-30	346-347	`	_	_	
3-31	347-374	objective_generalization.py	_	_	
3-32	374-375	`	_	_	
3-33	375-376	.	_	_	
