#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Medical AI for Early Detection of Lung Cancer: A Survey
#Text=
#Text=Authors: [Guohui Cai](https://github.com/CaiGuoHui123), [Ying Cai](https://ieeexplore.ieee.org/author/37087137422)*, [Zeyu Zhang](https://steve-zeyu-zhang.github.io/), [Yuanzhouhan Cao](https://scholar.google.com/citations?
1-1	0-1	#	_	_	
1-2	2-9	Medical	*[1]	PUBLICATION[1]	
1-3	10-12	AI	*[1]	PUBLICATION[1]	
1-4	13-16	for	*[1]	PUBLICATION[1]	
1-5	17-22	Early	*[1]	PUBLICATION[1]	
1-6	23-32	Detection	*[1]	PUBLICATION[1]	
1-7	33-35	of	*[1]	PUBLICATION[1]	
1-8	36-40	Lung	*[1]	PUBLICATION[1]	
1-9	41-47	Cancer	*[1]	PUBLICATION[1]	
1-10	47-48	:	*[1]	PUBLICATION[1]	
1-11	49-50	A	*[1]	PUBLICATION[1]	
1-12	51-57	Survey	*[1]	PUBLICATION[1]	
1-13	59-66	Authors	_	_	
1-14	66-67	:	_	_	
1-15	68-69	[	_	_	
1-16	69-75	Guohui	_	_	
1-17	76-79	Cai	_	_	
1-18	79-80	]	_	_	
1-19	80-81	(	_	_	
1-20	81-86	https	_	_	
1-21	86-87	:	_	_	
1-22	87-88	/	_	_	
1-23	88-89	/	_	_	
1-24	89-99	github.com	_	_	
1-25	99-100	/	_	_	
1-26	100-112	CaiGuoHui123	_	_	
1-27	112-113	)	_	_	
1-28	113-114	,	_	_	
1-29	115-116	[	_	_	
1-30	116-120	Ying	_	_	
1-31	121-124	Cai	_	_	
1-32	124-125	]	_	_	
1-33	125-126	(	_	_	
1-34	126-131	https	_	_	
1-35	131-132	:	_	_	
1-36	132-133	/	_	_	
1-37	133-134	/	_	_	
1-38	134-153	ieeexplore.ieee.org	_	_	
1-39	153-154	/	_	_	
1-40	154-160	author	_	_	
1-41	160-161	/	_	_	
1-42	161-172	37087137422	_	_	
1-43	172-173	)	_	_	
1-44	173-174	*	_	_	
1-45	174-175	,	_	_	
1-46	176-177	[	_	_	
1-47	177-181	Zeyu	_	_	
1-48	182-187	Zhang	_	_	
1-49	187-188	]	_	_	
1-50	188-189	(	_	_	
1-51	189-194	https	_	_	
1-52	194-195	:	_	_	
1-53	195-196	/	_	_	
1-54	196-197	/	_	_	
1-55	197-223	steve-zeyu-zhang.github.io	_	_	
1-56	223-224	/	_	_	
1-57	224-225	)	_	_	
1-58	225-226	,	_	_	
1-59	227-228	[	_	_	
1-60	228-239	Yuanzhouhan	_	_	
1-61	240-243	Cao	_	_	
1-62	243-244	]	_	_	
1-63	244-245	(	_	_	
1-64	245-250	https	_	_	
1-65	250-251	:	_	_	
1-66	251-252	/	_	_	
1-67	252-253	/	_	_	
1-68	253-271	scholar.google.com	_	_	
1-69	271-272	/	_	_	
1-70	272-281	citations	_	_	
1-71	281-282	?	_	_	

#Text=hl=en&user=-RBi2JcAAAAJ&view_op=list_works&sortby=pubdate), Lin Wu, [Daji Ergu](https://ieeexplore.ieee.org/author/37085795653), [Zhinbin Liao](https://researchers.adelaide.edu.au/profile/zhibin.liao#), [Yang Zhao](https://yangyangkiki.github.io/)
#Text=
#Text=*Corresponding author
#Text=
#Text=[[**Paper Link**](https://arxiv.org/abs/2410.14769)] [[Papers With Code]()]
#Text=
#Text=!
2-1	282-284	hl	_	_	
2-2	284-285	=	_	_	
2-3	285-287	en	_	_	
2-4	287-288	&	_	_	
2-5	288-292	user	_	_	
2-6	292-293	=	_	_	
2-7	293-294	-	_	_	
2-8	294-305	RBi2JcAAAAJ	_	_	
2-9	305-306	&	_	_	
2-10	306-313	view_op	_	_	
2-11	313-314	=	_	_	
2-12	314-324	list_works	_	_	
2-13	324-325	&	_	_	
2-14	325-331	sortby	_	_	
2-15	331-332	=	_	_	
2-16	332-339	pubdate	_	_	
2-17	339-340	)	_	_	
2-18	340-341	,	_	_	
2-19	342-345	Lin	_	_	
2-20	346-348	Wu	_	_	
2-21	348-349	,	_	_	
2-22	350-351	[	_	_	
2-23	351-355	Daji	_	_	
2-24	356-360	Ergu	_	_	
2-25	360-361	]	_	_	
2-26	361-362	(	_	_	
2-27	362-367	https	_	_	
2-28	367-368	:	_	_	
2-29	368-369	/	_	_	
2-30	369-370	/	_	_	
2-31	370-389	ieeexplore.ieee.org	_	_	
2-32	389-390	/	_	_	
2-33	390-396	author	_	_	
2-34	396-397	/	_	_	
2-35	397-408	37085795653	_	_	
2-36	408-409	)	_	_	
2-37	409-410	,	_	_	
2-38	411-412	[	_	_	
2-39	412-419	Zhinbin	_	_	
2-40	420-424	Liao	_	_	
2-41	424-425	]	_	_	
2-42	425-426	(	_	_	
2-43	426-431	https	_	_	
2-44	431-432	:	_	_	
2-45	432-433	/	_	_	
2-46	433-434	/	_	_	
2-47	434-461	researchers.adelaide.edu.au	_	_	
2-48	461-462	/	_	_	
2-49	462-469	profile	_	_	
2-50	469-470	/	_	_	
2-51	470-481	zhibin.liao	_	_	
2-52	481-482	#	_	_	
2-53	482-483	)	_	_	
2-54	483-484	,	_	_	
2-55	485-486	[	_	_	
2-56	486-490	Yang	_	_	
2-57	491-495	Zhao	_	_	
2-58	495-496	]	_	_	
2-59	496-497	(	_	_	
2-60	497-502	https	_	_	
2-61	502-503	:	_	_	
2-62	503-504	/	_	_	
2-63	504-505	/	_	_	
2-64	505-527	yangyangkiki.github.io	_	_	
2-65	527-528	/	_	_	
2-66	528-529	)	_	_	
2-67	531-532	*	_	_	
2-68	532-545	Corresponding	_	_	
2-69	546-552	author	_	_	
2-70	554-555	[	_	_	
2-71	555-556	[	_	_	
2-72	556-557	*	_	_	
2-73	557-558	*	_	_	
2-74	558-563	Paper	_	_	
2-75	564-568	Link	_	_	
2-76	568-569	*	_	_	
2-77	569-570	*	_	_	
2-78	570-571	]	_	_	
2-79	571-572	(	_	_	
2-80	572-577	https	_	_	
2-81	577-578	:	_	_	
2-82	578-579	/	_	_	
2-83	579-580	/	_	_	
2-84	580-589	arxiv.org	_	_	
2-85	589-590	/	_	_	
2-86	590-593	abs	_	_	
2-87	593-594	/	_	_	
2-88	594-604	2410.14769	_	_	
2-89	604-605	)	_	_	
2-90	605-606	]	_	_	
2-91	607-608	[	_	_	
2-92	608-609	[	_	_	
2-93	609-615	Papers	_	_	
2-94	616-620	With	_	_	
2-95	621-625	Code	_	_	
2-96	625-626	]	_	_	
2-97	626-627	(	_	_	
2-98	627-628	)	_	_	
2-99	628-629	]	_	_	
2-100	631-632	!	_	_	

#Text=[img](https://github.com/user-attachments/assets/584875dd-2db6-4b97-8b2d-245ef0b801a8)
#Text=
#Text=## Abstract
#Text=Lung cancer remains one of the leading causes of morbidity and mortality worldwide, making early diagnosis critical for improving therapeutic outcomes and patient prognosis.
3-1	632-633	[	_	_	
3-2	633-636	img	_	_	
3-3	636-637	]	_	_	
3-4	637-638	(	_	_	
3-5	638-643	https	_	_	
3-6	643-644	:	_	_	
3-7	644-645	/	_	_	
3-8	645-646	/	_	_	
3-9	646-656	github.com	_	_	
3-10	656-657	/	_	_	
3-11	657-673	user-attachments	_	_	
3-12	673-674	/	_	_	
3-13	674-680	assets	_	_	
3-14	680-681	/	_	_	
3-15	681-689	584875dd	_	_	
3-16	689-690	-	_	_	
3-17	690-694	2db6	_	_	
3-18	694-695	-	_	_	
3-19	695-699	4b97	_	_	
3-20	699-700	-	_	_	
3-21	700-704	8b2d	_	_	
3-22	704-705	-	_	_	
3-23	705-717	245ef0b801a8	_	_	
3-24	717-718	)	_	_	
3-25	720-721	#	_	_	
3-26	721-722	#	_	_	
3-27	723-731	Abstract	_	_	
3-28	732-736	Lung	_	_	
