#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# I²EBench\r
#Text=\r
#Text=[!
1-1	0-1	#	_	_	
1-2	2-10	I²EBench	_	_	
1-3	14-15	[	_	_	
1-4	15-16	!	_	_	

#Text=[Paper](https://img.shields.io/badge/cs.CV-Paper-b31b1b?
2-1	16-17	[	_	_	
2-2	17-22	Paper	_	_	
2-3	22-23	]	_	_	
2-4	23-24	(	_	_	
2-5	24-29	https	_	_	
2-6	29-30	:	_	_	
2-7	30-31	/	_	_	
2-8	31-32	/	_	_	
2-9	32-46	img.shields.io	_	_	
2-10	46-47	/	_	_	
2-11	47-52	badge	_	_	
2-12	52-53	/	_	_	
2-13	53-71	cs.CV-Paper-b31b1b	_	_	
2-14	71-72	?	_	_	

#Text=logo=arxiv&logoColor=red)](https://arxiv.org/abs/2408.14180)    [!
3-1	72-76	logo	_	_	
3-2	76-77	=	_	_	
3-3	77-82	arxiv	_	_	
3-4	82-83	&	_	_	
3-5	83-92	logoColor	_	_	
3-6	92-93	=	_	_	
3-7	93-96	red	_	_	
3-8	96-97	)	_	_	
3-9	97-98	]	_	_	
3-10	98-99	(	_	_	
3-11	99-104	https	_	_	
3-12	104-105	:	_	_	
3-13	105-106	/	_	_	
3-14	106-107	/	_	_	
3-15	107-116	arxiv.org	_	_	
3-16	116-117	/	_	_	
3-17	117-120	abs	_	_	
3-18	120-121	/	_	_	
3-19	121-131	2408.14180	_	_	
3-20	131-132	)	_	_	
3-21	136-137	[	_	_	
3-22	137-138	!	_	_	

#Text=[Dataset Download](https://img.shields.io/badge/Dataset-Download-green?
4-1	138-139	[	_	_	
4-2	139-146	Dataset	_	_	
4-3	147-155	Download	_	_	
4-4	155-156	]	_	_	
4-5	156-157	(	_	_	
4-6	157-162	https	_	_	
4-7	162-163	:	_	_	
4-8	163-164	/	_	_	
4-9	164-165	/	_	_	
4-10	165-179	img.shields.io	_	_	
4-11	179-180	/	_	_	
4-12	180-185	badge	_	_	
4-13	185-186	/	_	_	
4-14	186-208	Dataset-Download-green	_	_	
4-15	208-209	?	_	_	

#Text=logo=googlechrome&logoColor=green)](https://drive.google.com/drive/folders/1RzeIaWjVHAofZAXmEPm3XcrfSdQCO5-q?
5-1	209-213	logo	_	_	
5-2	213-214	=	_	_	
5-3	214-226	googlechrome	_	_	
5-4	226-227	&	_	_	
5-5	227-236	logoColor	_	_	
5-6	236-237	=	_	_	
5-7	237-242	green	_	_	
5-8	242-243	)	_	_	
5-9	243-244	]	_	_	
5-10	244-245	(	_	_	
5-11	245-250	https	_	_	
5-12	250-251	:	_	_	
5-13	251-252	/	_	_	
5-14	252-253	/	_	_	
5-15	253-269	drive.google.com	_	_	
5-16	269-270	/	_	_	
5-17	270-275	drive	_	_	
5-18	275-276	/	_	_	
5-19	276-283	folders	_	_	
5-20	283-284	/	_	_	
5-21	284-315	1RzeIaWjVHAofZAXmEPm3XcrfSdQCO5	_	_	
5-22	315-316	-	_	_	
5-23	316-317	q	_	_	
5-24	317-318	?	_	_	

#Text=usp=drive_link)\r
#Text=\r
#Text=> [**I²EBench: A Comprehensive Benchmark for Instruction-based Image Editing**](https://arxiv.org/abs/2408.14180)  \r
#Text=>\r
#Text=> Yiwei Ma, Jiayi Ji, Ke Ye, Weihuang Lin, Zhibin Wang, Yonghan Zheng, Qiang Zhou, Xiaoshuai Sun, Rongrong Ji\r
#Text=\r
#Text=## :mag:Overview\r
#Text=\r
#Text=!
6-1	318-321	usp	_	_	
6-2	321-322	=	_	_	
6-3	322-332	drive_link	_	_	
6-4	332-333	)	_	_	
6-5	337-338	>	_	_	
6-6	339-340	[	_	_	
6-7	340-341	*	_	_	
6-8	341-342	*	_	_	
6-9	342-350	I²EBench	*[1]	PUBLICATION[1]	
6-10	350-351	:	*[1]	PUBLICATION[1]	
6-11	352-353	A	*[1]	PUBLICATION[1]	
6-12	354-367	Comprehensive	*[1]	PUBLICATION[1]	
6-13	368-377	Benchmark	*[1]	PUBLICATION[1]	
6-14	378-381	for	*[1]	PUBLICATION[1]	
6-15	382-399	Instruction-based	*[1]	PUBLICATION[1]	
6-16	400-405	Image	*[1]	PUBLICATION[1]	
6-17	406-413	Editing	*[1]	PUBLICATION[1]	
6-18	413-414	*	_	_	
6-19	414-415	*	_	_	
6-20	415-416	]	_	_	
6-21	416-417	(	_	_	
6-22	417-422	https	_	_	
6-23	422-423	:	_	_	
6-24	423-424	/	_	_	
6-25	424-425	/	_	_	
6-26	425-434	arxiv.org	_	_	
6-27	434-435	/	_	_	
6-28	435-438	abs	_	_	
6-29	438-439	/	_	_	
6-30	439-449	2408.14180	_	_	
6-31	449-450	)	_	_	
6-32	454-455	>	_	_	
6-33	457-458	>	_	_	
6-34	459-464	Yiwei	_	_	
6-35	465-467	Ma	_	_	
6-36	467-468	,	_	_	
6-37	469-474	Jiayi	_	_	
6-38	475-477	Ji	_	_	
6-39	477-478	,	_	_	
6-40	479-481	Ke	_	_	
6-41	482-484	Ye	_	_	
6-42	484-485	,	_	_	
6-43	486-494	Weihuang	_	_	
6-44	495-498	Lin	_	_	
6-45	498-499	,	_	_	
6-46	500-506	Zhibin	_	_	
6-47	507-511	Wang	_	_	
6-48	511-512	,	_	_	
6-49	513-520	Yonghan	_	_	
6-50	521-526	Zheng	_	_	
6-51	526-527	,	_	_	
6-52	528-533	Qiang	_	_	
6-53	534-538	Zhou	_	_	
6-54	538-539	,	_	_	
6-55	540-549	Xiaoshuai	_	_	
6-56	550-553	Sun	_	_	
6-57	553-554	,	_	_	
6-58	555-563	Rongrong	_	_	
6-59	564-566	Ji	_	_	
6-60	570-571	#	_	_	
6-61	571-572	#	_	_	
6-62	573-574	:	_	_	
6-63	574-577	mag	_	_	
6-64	577-578	:	_	_	
6-65	578-586	Overview	_	_	
6-66	590-591	!	_	_	

#Text=[overview](asserts/overview.jpg)\r
#Text=\r
#Text=Overview of **I²EBench**, an automated system for evaluating the quality of editing results generated by instruction-based image editing (IIE) models.
7-1	591-592	[	_	_	
7-2	592-600	overview	_	_	
7-3	600-601	]	_	_	
7-4	601-602	(	_	_	
7-5	602-609	asserts	_	_	
7-6	609-610	/	_	_	
7-7	610-622	overview.jpg	_	_	
7-8	622-623	)	_	_	
7-9	627-635	Overview	_	_	
7-10	636-638	of	_	_	
7-11	639-640	*	_	_	
7-12	640-641	*	_	_	
7-13	641-649	I²EBench	_	_	
7-14	649-650	*	_	_	
7-15	650-651	*	_	_	
7-16	651-652	,	_	_	
7-17	653-655	an	_	_	
7-18	656-665	automated	_	_	
7-19	666-672	system	_	_	
7-20	673-676	for	_	_	
7-21	677-687	evaluating	_	_	
7-22	688-691	the	_	_	
7-23	692-699	quality	_	_	
7-24	700-702	of	_	_	
7-25	703-710	editing	_	_	
7-26	711-718	results	_	_	
7-27	719-728	generated	_	_	
7-28	729-731	by	_	_	
7-29	732-749	instruction-based	_	_	
7-30	750-755	image	_	_	
7-31	756-763	editing	_	_	
7-32	764-765	(	_	_	
7-33	765-768	IIE	_	_	
7-34	768-769	)	_	_	
7-35	770-776	models	_	_	
7-36	776-777	.	_	_	

#Text=We collected a dataset of over 2000+ images from public datasets and annotated them with corresponding original editing instructions.
8-1	778-780	We	_	_	
8-2	781-790	collected	_	_	
8-3	791-792	a	_	_	
8-4	793-800	dataset	_	_	
8-5	801-803	of	_	_	
8-6	804-808	over	_	_	
8-7	809-813	2000	_	_	
8-8	813-814	+	_	_	
8-9	815-821	images	_	_	
8-10	822-826	from	_	_	
8-11	827-833	public	_	_	
8-12	834-842	datasets	_	_	
8-13	843-846	and	_	_	
8-14	847-856	annotated	_	_	
8-15	857-861	them	_	_	
8-16	862-866	with	_	_	
8-17	867-880	corresponding	_	_	
8-18	881-889	original	_	_	
8-19	890-897	editing	_	_	
8-20	898-910	instructions	_	_	
8-21	910-911	.	_	_	

#Text=To diversify the instructions, we used ChatGPT to generate varied versions.
9-1	912-914	To	_	_	
9-2	915-924	diversify	_	_	
9-3	925-928	the	_	_	
9-4	929-941	instructions	_	_	
9-5	941-942	,	_	_	
9-6	943-945	we	_	_	
9-7	946-950	used	_	_	
9-8	951-958	ChatGPT	*	SOFTWARE	
9-9	959-961	to	_	_	
9-10	962-970	generate	_	_	
9-11	971-977	varied	_	_	
9-12	978-986	versions	_	_	
9-13	986-987	.	_	_	

#Text=With the collected images and the original/diverse editing instructions, we utilized existing IIE models to generate edited images.
10-1	988-992	With	_	_	
10-2	993-996	the	_	_	
10-3	997-1006	collected	_	_	
10-4	1007-1013	images	_	_	
10-5	1014-1017	and	_	_	
10-6	1018-1021	the	_	_	
10-7	1022-1030	original	_	_	
10-8	1030-1031	/	_	_	
10-9	1031-1038	diverse	_	_	
10-10	1039-1046	editing	_	_	
10-11	1047-1059	instructions	_	_	
10-12	1059-1060	,	_	_	
10-13	1061-1063	we	_	_	
10-14	1064-1072	utilized	_	_	
10-15	1073-1081	existing	_	_	
10-16	1082-1085	IIE	_	_	
10-17	1086-1092	models	_	_	
10-18	1093-1095	to	_	_	
10-19	1096-1104	generate	_	_	
10-20	1105-1111	edited	_	_	
10-21	1112-1118	images	_	_	
10-22	1118-1119	.	_	_	

#Text=Subsequently, we developed an evaluation methodology to automatically assess the adherence of edited images to the provided instructions under different dimensions.
11-1	1120-1132	Subsequently	_	_	
11-2	1132-1133	,	_	_	
11-3	1134-1136	we	_	_	
11-4	1137-1146	developed	_	_	
11-5	1147-1149	an	_	_	
11-6	1150-1160	evaluation	_	_	
11-7	1161-1172	methodology	_	_	
11-8	1173-1175	to	_	_	
11-9	1176-1189	automatically	_	_	
11-10	1190-1196	assess	_	_	
11-11	1197-1200	the	_	_	
11-12	1201-1210	adherence	_	_	
11-13	1211-1213	of	_	_	
11-14	1214-1220	edited	_	_	
11-15	1221-1227	images	_	_	
11-16	1228-1230	to	_	_	
11-17	1231-1234	the	_	_	
11-18	1235-1243	provided	_	_	
11-19	1244-1256	instructions	_	_	
11-20	1257-1262	under	_	_	
