#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=!
1-1	0-1	!	_	_	

#Text=[Header image](gfx/FALCON_header.jpg "FALCON")
#Text=
#Text=FALCON - Fast Analysis of LTE Control channels
#Text===============================================
#Text=
#Text=[!
2-1	1-2	[	_	_	
2-2	2-8	Header	_	_	
2-3	9-14	image	_	_	
2-4	14-15	]	_	_	
2-5	15-16	(	_	_	
2-6	16-19	gfx	_	_	
2-7	19-20	/	_	_	
2-8	20-37	FALCON_header.jpg	_	_	
2-9	38-39	"	_	_	
2-10	39-45	FALCON	_	_	
2-11	45-46	"	_	_	
2-12	46-47	)	_	_	
2-13	49-55	FALCON	_	_	
2-14	56-57	-	_	_	
2-15	58-62	Fast	_	_	
2-16	63-71	Analysis	_	_	
2-17	72-74	of	_	_	
2-18	75-78	LTE	_	_	
2-19	79-86	Control	_	_	
2-20	87-95	channels	_	_	
2-21	96-97	=	_	_	
2-22	97-98	=	_	_	
2-23	98-99	=	_	_	
2-24	99-100	=	_	_	
2-25	100-101	=	_	_	
2-26	101-102	=	_	_	
2-27	102-103	=	_	_	
2-28	103-104	=	_	_	
2-29	104-105	=	_	_	
2-30	105-106	=	_	_	
2-31	106-107	=	_	_	
2-32	107-108	=	_	_	
2-33	108-109	=	_	_	
2-34	109-110	=	_	_	
2-35	110-111	=	_	_	
2-36	111-112	=	_	_	
2-37	112-113	=	_	_	
2-38	113-114	=	_	_	
2-39	114-115	=	_	_	
2-40	115-116	=	_	_	
2-41	116-117	=	_	_	
2-42	117-118	=	_	_	
2-43	118-119	=	_	_	
2-44	119-120	=	_	_	
2-45	120-121	=	_	_	
2-46	121-122	=	_	_	
2-47	122-123	=	_	_	
2-48	123-124	=	_	_	
2-49	124-125	=	_	_	
2-50	125-126	=	_	_	
2-51	126-127	=	_	_	
2-52	127-128	=	_	_	
2-53	128-129	=	_	_	
2-54	129-130	=	_	_	
2-55	130-131	=	_	_	
2-56	131-132	=	_	_	
2-57	132-133	=	_	_	
2-58	133-134	=	_	_	
2-59	134-135	=	_	_	
2-60	135-136	=	_	_	
2-61	136-137	=	_	_	
2-62	137-138	=	_	_	
2-63	138-139	=	_	_	
2-64	139-140	=	_	_	
2-65	140-141	=	_	_	
2-66	141-142	=	_	_	
2-67	144-145	[	_	_	
2-68	145-146	!	_	_	

#Text=[Release](https://img.shields.io/github/release/falkenber9/falcon)](https://github.com/falkenber9/falcon/releases)
#Text=[!
3-1	146-147	[	_	_	
3-2	147-154	Release	_	_	
3-3	154-155	]	_	_	
3-4	155-156	(	_	_	
3-5	156-161	https	_	_	
3-6	161-162	:	_	_	
3-7	162-163	/	_	_	
3-8	163-164	/	_	_	
3-9	164-178	img.shields.io	_	_	
3-10	178-179	/	_	_	
3-11	179-185	github	_	_	
3-12	185-186	/	_	_	
3-13	186-193	release	_	_	
3-14	193-194	/	_	_	
3-15	194-204	falkenber9	_	_	
3-16	204-205	/	_	_	
3-17	205-211	falcon	*	PROJECT	
3-18	211-212	)	_	_	
3-19	212-213	]	_	_	
3-20	213-214	(	_	_	
3-21	214-219	https	_	_	
3-22	219-220	:	_	_	
3-23	220-221	/	_	_	
3-24	221-222	/	_	_	
3-25	222-232	github.com	_	_	
3-26	232-233	/	_	_	
3-27	233-243	falkenber9	_	_	
3-28	243-244	/	_	_	
3-29	244-250	falcon	*	PROJECT	
3-30	250-251	/	_	_	
3-31	251-259	releases	_	_	
3-32	259-260	)	_	_	
3-33	261-262	[	_	_	
3-34	262-263	!	_	_	

#Text=[AUR](https://img.shields.io/aur/version/tudo-falcon)](https://aur.archlinux.org/packages/tudo-falcon)
#Text=[!
4-1	263-264	[	_	_	
4-2	264-267	AUR	_	_	
4-3	267-268	]	_	_	
4-4	268-269	(	_	_	
4-5	269-274	https	_	_	
4-6	274-275	:	_	_	
4-7	275-276	/	_	_	
4-8	276-277	/	_	_	
4-9	277-291	img.shields.io	_	_	
4-10	291-292	/	_	_	
4-11	292-295	aur	_	_	
4-12	295-296	/	_	_	
4-13	296-303	version	_	_	
4-14	303-304	/	_	_	
4-15	304-315	tudo-falcon	_	_	
4-16	315-316	)	_	_	
4-17	316-317	]	_	_	
4-18	317-318	(	_	_	
4-19	318-323	https	_	_	
4-20	323-324	:	_	_	
4-21	324-325	/	_	_	
4-22	325-326	/	_	_	
4-23	326-343	aur.archlinux.org	_	_	
4-24	343-344	/	_	_	
4-25	344-352	packages	_	_	
4-26	352-353	/	_	_	
4-27	353-364	tudo-falcon	_	_	
4-28	364-365	)	_	_	
4-29	366-367	[	_	_	
4-30	367-368	!	_	_	

#Text=[DOI](https://img.shields.io/badge/DOI-10.1109/GLOBECOM38437.2019.9014096-fcb426.svg)](https://dx.doi.org/10.1109/GLOBECOM38437.2019.9014096)
#Text=[!
5-1	368-369	[	_	_	
5-2	369-372	DOI	_	_	
5-3	372-373	]	_	_	
5-4	373-374	(	_	_	
5-5	374-379	https	_	_	
5-6	379-380	:	_	_	
5-7	380-381	/	_	_	
