#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<div align="center">
#Text=<h2 align="center">
#Text=   <b>RuleAlign Dataset</b>
#Text=</h2>
#Text=<div>
#Text=<a target="_blank" href="https://scholar.google.com.sg/citations?
1-1	0-1	<	_	_	
1-2	1-4	div	_	_	
1-3	5-10	align	_	_	
1-4	10-11	=	_	_	
1-5	11-12	"	_	_	
1-6	12-18	center	_	_	
1-7	18-19	"	_	_	
1-8	19-20	>	_	_	
1-9	21-22	<	_	_	
1-10	22-24	h2	_	_	
1-11	25-30	align	_	_	
1-12	30-31	=	_	_	
1-13	31-32	"	_	_	
1-14	32-38	center	_	_	
1-15	38-39	"	_	_	
1-16	39-40	>	_	_	
1-17	44-45	<	_	_	
1-18	45-46	b	_	_	
1-19	46-47	>	_	_	
1-20	47-56	RuleAlign	*	DATASET	
1-21	57-64	Dataset	_	_	
1-22	64-65	<	_	_	
1-23	65-66	/	_	_	
1-24	66-67	b	_	_	
1-25	67-68	>	_	_	
1-26	69-70	<	_	_	
1-27	70-71	/	_	_	
1-28	71-73	h2	_	_	
1-29	73-74	>	_	_	
1-30	75-76	<	_	_	
1-31	76-79	div	_	_	
1-32	79-80	>	_	_	
1-33	81-82	<	_	_	
1-34	82-83	a	_	_	
1-35	84-90	target	_	_	
1-36	90-91	=	_	_	
1-37	91-92	"	_	_	
1-38	92-93	_	_	_	
1-39	93-98	blank	_	_	
1-40	98-99	"	_	_	
1-41	100-104	href	_	_	
1-42	104-105	=	_	_	
1-43	105-106	"	_	_	
1-44	106-111	https	_	_	
1-45	111-112	:	_	_	
1-46	112-113	/	_	_	
1-47	113-114	/	_	_	
1-48	114-135	scholar.google.com.sg	_	_	
1-49	135-136	/	_	_	
1-50	136-145	citations	_	_	
1-51	145-146	?	_	_	

#Text=user=GqZfs_IAAAAJ&hl=en">Fangyuan&#160;Yu</a><sup>1 2</sup>
#Text=</div>
#Text=<sup>1</sup>Temus&#160&#160&#160</span>
#Text=<sup>2</sup>Stanford University</span>
#Text=<br />
#Text=<sup>&#9993&#160;</sup>Corresponding author&#160;&#160;</span>
#Text=<br/>
#Text=<br/>
#Text=<div align="center">
#Text=    <a href="https://arxiv.org/abs/2408.16667" target="_blank">
#Text=</div>
#Text=</div>
#Text=<h3 align="center">
#Text=<b>:fire: Code will be released soon</b>
#Text=</h3>
#Text=
#Text=## :books: RuleEval Dataset
#Text=
#Text=RuleAlign is a dataset designed to evaluate rule-based alignment of language models.
2-1	146-150	user	_	_	
2-2	150-151	=	_	_	
2-3	151-163	GqZfs_IAAAAJ	_	_	
2-4	163-164	&	_	_	
2-5	164-166	hl	_	_	
2-6	166-167	=	_	_	
2-7	167-169	en	_	_	
2-8	169-170	"	_	_	
2-9	170-171	>	_	_	
2-10	171-179	Fangyuan	_	_	
2-11	179-180	&	_	_	
2-12	180-184	#160	_	_	
2-13	184-185	;	_	_	
2-14	185-187	Yu	_	_	
2-15	187-188	<	_	_	
2-16	188-189	/	_	_	
2-17	189-190	a	_	_	
2-18	190-191	>	_	_	
2-19	191-192	<	_	_	
2-20	192-195	sup	_	_	
2-21	195-196	>	_	_	
2-22	196-197	1	_	_	
2-23	198-199	2	_	_	
2-24	199-200	<	_	_	
2-25	200-201	/	_	_	
