#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# KV Cache Compression, But What Must We Give in Return?
1-1	0-1	#	_	_	
1-2	2-4	KV	*[1]	PUBLICATION[1]	
1-3	5-10	Cache	*[1]	PUBLICATION[1]	
1-4	11-22	Compression	*[1]	PUBLICATION[1]	
1-5	22-23	,	*[1]	PUBLICATION[1]	
1-6	24-27	But	*[1]	PUBLICATION[1]	
1-7	28-32	What	*[1]	PUBLICATION[1]	
1-8	33-37	Must	*[1]	PUBLICATION[1]	
1-9	38-40	We	*[1]	PUBLICATION[1]	
1-10	41-45	Give	*[1]	PUBLICATION[1]	
1-11	46-48	in	*[1]	PUBLICATION[1]	
1-12	49-55	Return	*[1]	PUBLICATION[1]	
1-13	55-56	?	*[1]	PUBLICATION[1]	

#Text=A Comprehensive Benchmark of Long Context Capable Approaches
#Text=
#Text=[!
2-1	57-58	A	*[1]	PUBLICATION[1]	
2-2	59-72	Comprehensive	*[1]	PUBLICATION[1]	
2-3	73-82	Benchmark	*[1]	PUBLICATION[1]	
2-4	83-85	of	*[1]	PUBLICATION[1]	
2-5	86-90	Long	*[1]	PUBLICATION[1]	
2-6	91-98	Context	*[1]	PUBLICATION[1]	
2-7	99-106	Capable	*[1]	PUBLICATION[1]	
2-8	107-117	Approaches	*[1]	PUBLICATION[1]	
2-9	119-120	[	_	_	
2-10	120-121	!	_	_	

#Text=[Gul'dan_everything](https://github.com/henryzhongsc/longctx_bench/blob/main/visualization/plotted/Gul'dan_everything.png)](https://www.youtube.com/watch?
3-1	121-122	[	_	_	
3-2	122-140	Gul'dan_everything	_	_	
3-3	140-141	]	_	_	
3-4	141-142	(	_	_	
3-5	142-147	https	_	_	
3-6	147-148	:	_	_	
3-7	148-149	/	_	_	
3-8	149-150	/	_	_	
3-9	150-160	github.com	_	_	
3-10	160-161	/	_	_	
3-11	161-173	henryzhongsc	_	_	
3-12	173-174	/	_	_	
