#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# SGDLibrary : Stochastic Optimization Algorithm Library in MATLAB/Octave
#Text=----------
#Text=
#Text=Authors: [Hiroyuki Kasai](http://kasai.comm.waseda.ac.jp/kasai/)
#Text=
#Text=Last page update: November 20, 2020
#Text=
#Text=Latest library version: 1.0.20 (see Release notes for more info)
#Text=
#Text=<br />
#Text=
#Text=Announcement
#Text=----------
#Text=We are very welcome to your contribution.
1-1	0-1	#	_	_	
1-2	2-12	SGDLibrary	*[1]|*[2]	PROJECT[1]|SOFTWARE[2]	
1-3	13-14	:	*[1]	PROJECT[1]	
1-4	15-25	Stochastic	*[1]	PROJECT[1]	
1-5	26-38	Optimization	*[1]	PROJECT[1]	
1-6	39-48	Algorithm	*[1]	PROJECT[1]	
1-7	49-56	Library	*[1]	PROJECT[1]	
1-8	57-59	in	*[1]	PROJECT[1]	
1-9	60-66	MATLAB	*[1]|*[3]	PROJECT[1]|SOFTWARE[3]	
1-10	66-67	/	*[1]	PROJECT[1]	
1-11	67-73	Octave	*[1]|*[4]	PROJECT[1]|SOFTWARE[4]	
1-12	74-75	-	_	_	
1-13	75-76	-	_	_	
1-14	76-77	-	_	_	
1-15	77-78	-	_	_	
1-16	78-79	-	_	_	
1-17	79-80	-	_	_	
1-18	80-81	-	_	_	
1-19	81-82	-	_	_	
1-20	82-83	-	_	_	
1-21	83-84	-	_	_	
1-22	86-93	Authors	_	_	
1-23	93-94	:	_	_	
1-24	95-96	[	_	_	
1-25	96-104	Hiroyuki	_	_	
1-26	105-110	Kasai	_	_	
1-27	110-111	]	_	_	
1-28	111-112	(	_	_	
1-29	112-116	http	_	_	
1-30	116-117	:	_	_	
1-31	117-118	/	_	_	
1-32	118-119	/	_	_	
1-33	119-142	kasai.comm.waseda.ac.jp	_	_	
1-34	142-143	/	_	_	
1-35	143-148	kasai	_	_	
1-36	148-149	/	_	_	
1-37	149-150	)	_	_	
1-38	152-156	Last	_	_	
1-39	157-161	page	_	_	
1-40	162-168	update	_	_	
1-41	168-169	:	_	_	
1-42	170-178	November	_	_	
1-43	179-181	20	_	_	
1-44	181-182	,	_	_	
1-45	183-187	2020	_	_	
1-46	189-195	Latest	_	_	
1-47	196-203	library	_	_	
1-48	204-211	version	_	_	
1-49	211-212	:	_	_	
1-50	213-219	1.0.20	_	_	
1-51	220-221	(	_	_	
1-52	221-224	see	_	_	
1-53	225-232	Release	_	_	
1-54	233-238	notes	_	_	
1-55	239-242	for	_	_	
1-56	243-247	more	_	_	
1-57	248-252	info	_	_	
1-58	252-253	)	_	_	
1-59	255-256	<	_	_	
1-60	256-258	br	_	_	
1-61	259-260	/	_	_	
1-62	260-261	>	_	_	
1-63	263-275	Announcement	_	_	
1-64	276-277	-	_	_	
1-65	277-278	-	_	_	
1-66	278-279	-	_	_	
1-67	279-280	-	_	_	
1-68	280-281	-	_	_	
1-69	281-282	-	_	_	
1-70	282-283	-	_	_	
1-71	283-284	-	_	_	
1-72	284-285	-	_	_	
1-73	285-286	-	_	_	
1-74	287-289	We	_	_	
1-75	290-293	are	_	_	
1-76	294-298	very	_	_	
1-77	299-306	welcome	_	_	
1-78	307-309	to	_	_	
1-79	310-314	your	_	_	
1-80	315-327	contribution	_	_	
1-81	327-328	.	_	_	

#Text=Please tell us 
#Text=- Stochastic optimization solvers written by MATLAB, and 
#Text=- your comments and suggestions.
2-1	329-335	Please	_	_	
2-2	336-340	tell	_	_	
2-3	341-343	us	_	_	
2-4	345-346	-	_	_	
2-5	347-357	Stochastic	_	_	
2-6	358-370	optimization	_	_	
2-7	371-378	solvers	_	_	
2-8	379-386	written	_	_	
2-9	387-389	by	_	_	
2-10	390-396	MATLAB	*	SOFTWARE	
2-11	396-397	,	_	_	
2-12	398-401	and	_	_	
2-13	403-404	-	_	_	
2-14	405-409	your	_	_	
2-15	410-418	comments	_	_	
2-16	419-422	and	_	_	
2-17	423-434	suggestions	_	_	
2-18	434-435	.	_	_	

#Text=<br />
#Text=
#Text=Introduction
#Text=----------
#Text=The SGDLibrary is a **pure-MATLAB** library or toolbox of a collection of **stochastic optimization algorithms**.
3-1	437-438	<	_	_	
3-2	438-440	br	_	_	
3-3	441-442	/	_	_	
3-4	442-443	>	_	_	
3-5	445-457	Introduction	_	_	
3-6	458-459	-	_	_	
3-7	459-460	-	_	_	
3-8	460-461	-	_	_	
3-9	461-462	-	_	_	
3-10	462-463	-	_	_	
3-11	463-464	-	_	_	
3-12	464-465	-	_	_	
3-13	465-466	-	_	_	
3-14	466-467	-	_	_	
3-15	467-468	-	_	_	
3-16	469-472	The	_	_	
3-17	473-483	SGDLibrary	_	_	
3-18	484-486	is	_	_	
3-19	487-488	a	_	_	
3-20	489-490	*	_	_	
3-21	490-491	*	_	_	
3-22	491-502	pure-MATLAB	_	_	
3-22.1	496-502	MATLAB	*	SOFTWARE	
3-23	502-503	*	_	_	
3-24	503-504	*	_	_	
3-25	505-512	library	_	_	
3-26	513-515	or	_	_	
3-27	516-523	toolbox	_	_	
3-28	524-526	of	_	_	
3-29	527-528	a	_	_	
3-30	529-539	collection	_	_	
3-31	540-542	of	_	_	
3-32	543-544	*	_	_	
3-33	544-545	*	_	_	
3-34	545-555	stochastic	_	_	
3-35	556-568	optimization	_	_	
3-36	569-579	algorithms	_	_	
3-37	579-580	*	_	_	
3-38	580-581	*	_	_	
3-39	581-582	.	_	_	

#Text=This solves an unconstrained minimization problem of the form, min f(x) = sum_i f_i(x).
4-1	583-587	This	_	_	
4-2	588-594	solves	_	_	
4-3	595-597	an	_	_	
4-4	598-611	unconstrained	_	_	
4-5	612-624	minimization	_	_	
4-6	625-632	problem	_	_	
4-7	633-635	of	_	_	
4-8	636-639	the	_	_	
4-9	640-644	form	_	_	
4-10	644-645	,	_	_	
4-11	646-649	min	_	_	
4-12	650-651	f	_	_	
4-13	651-652	(	_	_	
4-14	652-653	x	_	_	
4-15	653-654	)	_	_	
4-16	655-656	=	_	_	
4-17	657-662	sum_i	_	_	
4-18	663-666	f_i	_	_	
4-19	666-667	(	_	_	
4-20	667-668	x	_	_	
4-21	668-669	)	_	_	
4-22	669-670	.	_	_	

#Text=The SGDLibrary is also operable on [GNU Octave](https://www.gnu.org/software/octave/) (Free software compatible with many MATLAB scripts).
5-1	671-674	The	_	_	
5-2	675-685	SGDLibrary	_	_	
5-3	686-688	is	_	_	
5-4	689-693	also	_	_	
5-5	694-702	operable	_	_	
5-6	703-705	on	_	_	
5-7	706-707	[	_	_	
5-8	707-710	GNU	*[5]	SOFTWARE[5]	
5-9	711-717	Octave	*[5]	SOFTWARE[5]	
5-10	717-718	]	_	_	
5-11	718-719	(	_	_	
5-12	719-724	https	_	_	
5-13	724-725	:	_	_	
5-14	725-726	/	_	_	
5-15	726-727	/	_	_	
5-16	727-738	www.gnu.org	_	_	
5-17	738-739	/	_	_	
5-18	739-747	software	_	_	
5-19	747-748	/	_	_	
5-20	748-754	octave	_	_	
5-21	754-755	/	_	_	
5-22	755-756	)	_	_	
5-23	757-758	(	_	_	
5-24	758-762	Free	_	_	
5-25	763-771	software	_	_	
5-26	772-782	compatible	_	_	
5-27	783-787	with	_	_	
5-28	788-792	many	_	_	
5-29	793-799	MATLAB	*	SOFTWARE	
5-30	800-807	scripts	_	_	
5-31	807-808	)	_	_	
5-32	808-809	.	_	_	

#Text=Note that this SGDLibrary internally contains the [GDLibrary](https://github.com/hiroyuki-kasai/GDLibrary).
6-1	810-814	Note	_	_	
6-2	815-819	that	_	_	
6-3	820-824	this	_	_	
6-4	825-835	SGDLibrary	*	SOFTWARE	
6-5	836-846	internally	_	_	
6-6	847-855	contains	_	_	
6-7	856-859	the	_	_	
6-8	860-861	[	_	_	
6-9	861-870	GDLibrary	*	SOFTWARE	
6-10	870-871	]	_	_	
6-11	871-872	(	_	_	
6-12	872-877	https	_	_	
6-13	877-878	:	_	_	
6-14	878-879	/	_	_	
6-15	879-880	/	_	_	
6-16	880-890	github.com	_	_	
6-17	890-891	/	_	_	
6-18	891-905	hiroyuki-kasai	_	_	
6-19	905-906	/	_	_	
6-20	906-915	GDLibrary	*	PROJECT	
6-21	915-916	)	_	_	
6-22	916-917	.	_	_	

#Text=<br />
#Text=
#Text=Document
#Text=----------
#Text=The document of SGDLibrary can be obtained from below;
#Text=
#Text=- H.
7-1	919-920	<	_	_	
7-2	920-922	br	_	_	
7-3	923-924	/	_	_	
7-4	924-925	>	_	_	
7-5	927-935	Document	_	_	
7-6	936-937	-	_	_	
7-7	937-938	-	_	_	
7-8	938-939	-	_	_	
7-9	939-940	-	_	_	
7-10	940-941	-	_	_	
7-11	941-942	-	_	_	
7-12	942-943	-	_	_	
7-13	943-944	-	_	_	
7-14	944-945	-	_	_	
7-15	945-946	-	_	_	
7-16	947-950	The	_	_	
7-17	951-959	document	_	_	
7-18	960-962	of	_	_	
7-19	963-973	SGDLibrary	*	SOFTWARE	
7-20	974-977	can	_	_	
7-21	978-980	be	_	_	
7-22	981-989	obtained	_	_	
7-23	990-994	from	_	_	
7-24	995-1000	below	_	_	
7-25	1000-1001	;	_	_	
7-26	1003-1004	-	_	_	
7-27	1005-1006	H	_	_	
7-28	1006-1007	.	_	_	

#Text=Kasai, "[SGDLibrary: A MATLAB library for stochastic optimization algorithms](http://www.jmlr.org/papers/v18/17-632.html)," Journal of Machine Learning Research (JMLR), vol.18, no.215, 2018 (arXiv preprint [arXiv:1710.10951](https://arxiv.org/abs/1710.10951)).
8-1	1008-1013	Kasai	_	_	
8-2	1013-1014	,	_	_	
8-3	1015-1016	"	_	_	
8-4	1016-1017	[	_	_	
8-5	1017-1027	SGDLibrary	*[6]	PUBLICATION[6]	
8-6	1027-1028	:	*[6]	PUBLICATION[6]	
8-7	1029-1030	A	*[6]	PUBLICATION[6]	
8-8	1031-1037	MATLAB	*[6]	PUBLICATION[6]	
8-9	1038-1045	library	*[6]	PUBLICATION[6]	
8-10	1046-1049	for	*[6]	PUBLICATION[6]	
8-11	1050-1060	stochastic	*[6]	PUBLICATION[6]	
8-12	1061-1073	optimization	*[6]	PUBLICATION[6]	
8-13	1074-1084	algorithms	*[6]	PUBLICATION[6]	
8-14	1084-1085	]	_	_	
8-15	1085-1086	(	_	_	
8-16	1086-1090	http	_	_	
8-17	1090-1091	:	_	_	
8-18	1091-1092	/	_	_	
8-19	1092-1093	/	_	_	
8-20	1093-1105	www.jmlr.org	_	_	
8-21	1105-1106	/	_	_	
8-22	1106-1112	papers	_	_	
8-23	1112-1113	/	_	_	
8-24	1113-1116	v18	_	_	
8-25	1116-1117	/	_	_	
8-26	1117-1119	17	_	_	
8-27	1119-1120	-	_	_	
8-28	1120-1123	632	_	_	
8-29	1123-1124	.	_	_	
8-30	1124-1128	html	_	_	
8-31	1128-1129	)	_	_	
8-32	1129-1130	,	_	_	
8-33	1130-1131	"	_	_	
8-34	1132-1139	Journal	_	_	
8-35	1140-1142	of	_	_	
8-36	1143-1150	Machine	_	_	
8-37	1151-1159	Learning	_	_	
8-38	1160-1168	Research	_	_	
8-39	1169-1170	(	_	_	
8-40	1170-1174	JMLR	_	_	
8-41	1174-1175	)	_	_	
8-42	1175-1176	,	_	_	
8-43	1177-1180	vol	_	_	
8-44	1180-1183	.18	_	_	
8-45	1183-1184	,	_	_	
8-46	1185-1187	no	_	_	
8-47	1187-1191	.215	_	_	
8-48	1191-1192	,	_	_	
8-49	1193-1197	2018	_	_	
8-50	1198-1199	(	_	_	
8-51	1199-1204	arXiv	_	_	
8-52	1205-1213	preprint	_	_	
8-53	1214-1215	[	_	_	
8-54	1215-1220	arXiv	_	_	
8-55	1220-1221	:	_	_	
8-56	1221-1231	1710.10951	_	_	
8-57	1231-1232	]	_	_	
8-58	1232-1233	(	_	_	
8-59	1233-1238	https	_	_	
8-60	1238-1239	:	_	_	
8-61	1239-1240	/	_	_	
8-62	1240-1241	/	_	_	
8-63	1241-1250	arxiv.org	_	_	
8-64	1250-1251	/	_	_	
8-65	1251-1254	abs	_	_	
8-66	1254-1255	/	_	_	
8-67	1255-1265	1710.10951	_	_	
8-68	1265-1266	)	_	_	
8-69	1266-1267	)	_	_	
8-70	1267-1268	.	_	_	

#Text=<br />
#Text=
#Text=## <a name="supp_solver"> List of the algorithms available in SGDLibrary </a>
#Text=
#Text=
#Text=- **SGD variants** (stochastic gradient descent)
#Text=    - Vanila SGD
#Text=        - H.
9-1	1271-1272	<	_	_	
9-2	1272-1274	br	_	_	
9-3	1275-1276	/	_	_	
9-4	1276-1277	>	_	_	
9-5	1279-1280	#	_	_	
9-6	1280-1281	#	_	_	
9-7	1282-1283	<	_	_	
9-8	1283-1284	a	_	_	
9-9	1285-1289	name	_	_	
9-10	1289-1290	=	_	_	
9-11	1290-1291	"	_	_	
9-12	1291-1302	supp_solver	_	_	
9-13	1302-1303	"	_	_	
9-14	1303-1304	>	_	_	
9-15	1305-1309	List	_	_	
9-16	1310-1312	of	_	_	
9-17	1313-1316	the	_	_	
9-18	1317-1327	algorithms	_	_	
9-19	1328-1337	available	_	_	
9-20	1338-1340	in	_	_	
9-21	1341-1351	SGDLibrary	*	SOFTWARE	
9-22	1352-1353	<	_	_	
9-23	1353-1354	/	_	_	
9-24	1354-1355	a	_	_	
9-25	1355-1356	>	_	_	
9-26	1359-1360	-	_	_	
9-27	1361-1362	*	_	_	
9-28	1362-1363	*	_	_	
9-29	1363-1366	SGD	_	_	
9-30	1367-1375	variants	_	_	
9-31	1375-1376	*	_	_	
9-32	1376-1377	*	_	_	
9-33	1378-1379	(	_	_	
9-34	1379-1389	stochastic	_	_	
9-35	1390-1398	gradient	_	_	
9-36	1399-1406	descent	_	_	
9-37	1406-1407	)	_	_	
9-38	1412-1413	-	_	_	
9-39	1414-1420	Vanila	_	_	
9-40	1421-1424	SGD	_	_	
9-41	1433-1434	-	_	_	
9-42	1435-1436	H	_	_	
9-43	1436-1437	.	_	_	

#Text=Robbins and S.
10-1	1438-1445	Robbins	_	_	
10-2	1446-1449	and	_	_	
10-3	1450-1451	S	_	_	
10-4	1451-1452	.	_	_	

#Text=Monro, "[A stochastic approximation method](https://www.jstor.org/stable/pdf/2236626.pdf)," The annals of mathematical statistics, vol. 22, no. 3, pp. 400-407, 1951
11-1	1453-1458	Monro	_	_	
11-2	1458-1459	,	_	_	
