#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<!
1-1	0-1	<	_	_	
1-2	1-2	!	_	_	

#Text=-- 
#Text=beNNch - Unified execution, collection, analysis and
#Text=comparison of neural network simulation benchmarks.
2-1	2-3	-	_	_	
2-2	3-4	-	_	_	
2-3	6-12	beNNch	_	_	
2-4	13-14	-	_	_	
2-5	15-22	Unified	_	_	
2-6	23-32	execution	_	_	
2-7	32-33	,	_	_	
2-8	34-44	collection	_	_	
2-9	44-45	,	_	_	
2-10	46-54	analysis	_	_	
2-11	55-58	and	_	_	
2-12	59-69	comparison	_	_	
2-13	70-72	of	_	_	
2-14	73-79	neural	_	_	
2-15	80-87	network	_	_	
2-16	88-98	simulation	_	_	
2-17	99-109	benchmarks	_	_	
2-18	109-110	.	_	_	

#Text=Copyright (C) 2021 Forschungszentrum Juelich GmbH, INM-6
#Text=
#Text=This program is free software: you can redistribute it and/or modify it under
#Text=the terms of the GNU General Public License as published by the Free Software
#Text=Foundation, either version 3 of the License, or (at your option) any later
#Text=version.
3-1	111-120	Copyright	_	_	
3-2	121-122	(	_	_	
3-3	122-123	C	_	_	
3-4	123-124	)	_	_	
3-5	125-129	2021	_	_	
3-6	130-147	Forschungszentrum	_	_	
3-7	148-155	Juelich	_	_	
3-8	156-160	GmbH	_	_	
3-9	160-161	,	_	_	
3-10	162-165	INM	_	_	
3-11	165-166	-	_	_	
3-12	166-167	6	_	_	
3-13	169-173	This	_	_	
3-14	174-181	program	_	_	
3-15	182-184	is	_	_	
3-16	185-189	free	_	_	
3-17	190-198	software	_	_	
3-18	198-199	:	_	_	
3-19	200-203	you	_	_	
3-20	204-207	can	_	_	
3-21	208-220	redistribute	_	_	
3-22	221-223	it	_	_	
3-23	224-227	and	_	_	
3-24	227-228	/	_	_	
3-25	228-230	or	_	_	
3-26	231-237	modify	_	_	
3-27	238-240	it	_	_	
3-28	241-246	under	_	_	
3-29	247-250	the	_	_	
3-30	251-256	terms	_	_	
3-31	257-259	of	_	_	
3-32	260-263	the	_	_	
3-33	264-267	GNU	*[1]	LICENSE[1]	
3-34	268-275	General	*[1]	LICENSE[1]	
3-35	276-282	Public	*[1]	LICENSE[1]	
3-36	283-290	License	*[1]	LICENSE[1]	
3-37	291-293	as	_	_	
3-38	294-303	published	_	_	
3-39	304-306	by	_	_	
3-40	307-310	the	_	_	
3-41	311-315	Free	_	_	
3-42	316-324	Software	_	_	
3-43	325-335	Foundation	_	_	
3-44	335-336	,	_	_	
3-45	337-343	either	_	_	
3-46	344-351	version	_	_	
3-47	352-353	3	_	_	
3-48	354-356	of	_	_	
3-49	357-360	the	_	_	
3-50	361-368	License	_	_	
3-51	368-369	,	_	_	
3-52	370-372	or	_	_	
3-53	373-374	(	_	_	
3-54	374-376	at	_	_	
3-55	377-381	your	_	_	
3-56	382-388	option	_	_	
3-57	388-389	)	_	_	
3-58	390-393	any	_	_	
3-59	394-399	later	_	_	
3-60	400-407	version	_	_	
3-61	407-408	.	_	_	

#Text=This program is distributed in the hope that it will be useful, but WITHOUT ANY
#Text=WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A
#Text=PARTICULAR PURPOSE.
4-1	409-413	This	_	_	
4-2	414-421	program	_	_	
4-3	422-424	is	_	_	
4-4	425-436	distributed	_	_	
4-5	437-439	in	_	_	
4-6	440-443	the	_	_	
4-7	444-448	hope	_	_	
4-8	449-453	that	_	_	
4-9	454-456	it	_	_	
4-10	457-461	will	_	_	
4-11	462-464	be	_	_	
4-12	465-471	useful	_	_	
4-13	471-472	,	_	_	
4-14	473-476	but	_	_	
4-15	477-484	WITHOUT	_	_	
4-16	485-488	ANY	_	_	
4-17	489-497	WARRANTY	_	_	
4-18	497-498	;	_	_	
4-19	499-506	without	_	_	
4-20	507-511	even	_	_	
4-21	512-515	the	_	_	
4-22	516-523	implied	_	_	
4-23	524-532	warranty	_	_	
4-24	533-535	of	_	_	
4-25	536-551	MERCHANTABILITY	_	_	
4-26	552-554	or	_	_	
4-27	555-562	FITNESS	_	_	
4-28	563-566	FOR	_	_	
4-29	567-568	A	_	_	
4-30	569-579	PARTICULAR	_	_	
4-31	580-587	PURPOSE	_	_	
4-32	587-588	.	_	_	

#Text=See the GNU General Public License for more details.
5-1	589-592	See	_	_	
5-2	593-596	the	_	_	
5-3	597-600	GNU	*[2]	LICENSE[2]	
5-4	601-608	General	*[2]	LICENSE[2]	
5-5	609-615	Public	*[2]	LICENSE[2]	
5-6	616-623	License	*[2]	LICENSE[2]	
5-7	624-627	for	_	_	
5-8	628-632	more	_	_	
5-9	633-640	details	_	_	
5-10	640-641	.	_	_	

#Text=You should have received a copy of the GNU General Public License along with
#Text=this program.
6-1	642-645	You	_	_	
6-2	646-652	should	_	_	
6-3	653-657	have	_	_	
6-4	658-666	received	_	_	
6-5	667-668	a	_	_	
6-6	669-673	copy	_	_	
6-7	674-676	of	_	_	
6-8	677-680	the	_	_	
6-9	681-684	GNU	*[3]	LICENSE[3]	
6-10	685-692	General	*[3]	LICENSE[3]	
6-11	693-699	Public	*[3]	LICENSE[3]	
6-12	700-707	License	*[3]	LICENSE[3]	
6-13	708-713	along	_	_	
6-14	714-718	with	_	_	
6-15	719-723	this	_	_	
6-16	724-731	program	_	_	
6-17	731-732	.	_	_	

#Text=If not, see <https://www.gnu.org/licenses/>.
7-1	733-735	If	_	_	
7-2	736-739	not	_	_	
7-3	739-740	,	_	_	
7-4	741-744	see	_	_	
7-5	745-746	<	_	_	
7-6	746-751	https	_	_	
7-7	751-752	:	_	_	
7-8	752-753	/	_	_	
7-9	753-754	/	_	_	
7-10	754-765	www.gnu.org	_	_	
7-11	765-766	/	_	_	
7-12	766-774	licenses	_	_	
7-13	774-775	/	_	_	
7-14	775-776	>	_	_	
7-15	776-777	.	_	_	

#Text=SPDX-License-Identifier: GPL-3.0-or-later
#Text=-->
#Text=
#Text=# beNNch
#Text=
#Text=Computational efficiency is essential to simulate complex neuronal networks and study long-term effects such as learning.
8-1	779-802	SPDX-License-Identifier	_	_	
8-2	802-803	:	_	_	
8-3	804-807	GPL	*[4]	LICENSE[4]	
8-4	807-808	-	*[4]	LICENSE[4]	
8-5	808-811	3.0	*[4]	LICENSE[4]	
8-6	811-812	-	_	_	
8-7	812-820	or-later	_	_	
8-8	821-822	-	_	_	
8-9	822-823	-	_	_	
8-10	823-824	>	_	_	
8-11	826-827	#	_	_	
8-12	828-834	beNNch	_	_	
8-13	836-849	Computational	_	_	
8-14	850-860	efficiency	_	_	
8-15	861-863	is	_	_	
8-16	864-873	essential	_	_	
8-17	874-876	to	_	_	
8-18	877-885	simulate	_	_	
8-19	886-893	complex	_	_	
8-20	894-902	neuronal	_	_	
8-21	903-911	networks	_	_	
8-22	912-915	and	_	_	
8-23	916-921	study	_	_	
8-24	922-931	long-term	_	_	
8-25	932-939	effects	_	_	
8-26	940-944	such	_	_	
8-27	945-947	as	_	_	
8-28	948-956	learning	_	_	
8-29	956-957	.	_	_	

#Text=The scaling performance of neuronal network simulators on high-performance computing systems can be assessed with benchmark simulations.
9-1	958-961	The	_	_	
9-2	962-969	scaling	_	_	
9-3	970-981	performance	_	_	
9-4	982-984	of	_	_	
9-5	985-993	neuronal	_	_	
9-6	994-1001	network	_	_	
9-7	1002-1012	simulators	_	_	
9-8	1013-1015	on	_	_	
9-9	1016-1032	high-performance	_	_	
9-10	1033-1042	computing	_	_	
9-11	1043-1050	systems	_	_	
9-12	1051-1054	can	_	_	
9-13	1055-1057	be	_	_	
9-14	1058-1066	assessed	_	_	
9-15	1067-1071	with	_	_	
9-16	1072-1081	benchmark	_	_	
9-17	1082-1093	simulations	_	_	
9-18	1093-1094	.	_	_	

#Text=However, maintaining comparability of benchmark results across different systems, software environments, network models, and researchers from potentially different labs poses a challenge.
10-1	1095-1102	However	_	_	
10-2	1102-1103	,	_	_	
10-3	1104-1115	maintaining	_	_	
10-4	1116-1129	comparability	_	_	
10-5	1130-1132	of	_	_	
10-6	1133-1142	benchmark	_	_	
10-7	1143-1150	results	_	_	
10-8	1151-1157	across	_	_	
10-9	1158-1167	different	_	_	
10-10	1168-1175	systems	_	_	
10-11	1175-1176	,	_	_	
10-12	1177-1185	software	_	_	
10-13	1186-1198	environments	_	_	
10-14	1198-1199	,	_	_	
10-15	1200-1207	network	_	_	
10-16	1208-1214	models	_	_	
10-17	1214-1215	,	_	_	
10-18	1216-1219	and	_	_	
10-19	1220-1231	researchers	_	_	
10-20	1232-1236	from	_	_	
10-21	1237-1248	potentially	_	_	
10-22	1249-1258	different	_	_	
10-23	1259-1263	labs	_	_	
10-24	1264-1269	poses	_	_	
10-25	1270-1271	a	_	_	
10-26	1272-1281	challenge	_	_	
10-27	1281-1282	.	_	_	

#Text=**`beNNch` tackles this challenge by implementing a unified, modular workflow for configuring, executing, and analyzing such benchmarks.**  
#Text=The software framework builds around the [JUBE Benchmarking Environment](https://www.fz-juelich.de/ias/jsc/EN/Expertise/Support/Software/JUBE/_node.html), installs simulation software, provides an interface to benchmark models, automates data and metadata annotation, and accounts for storage and presentation of results.
11-1	1285-1286	*	_	_	
11-2	1286-1287	*	_	_	
11-3	1287-1288	`	_	_	
11-4	1288-1294	beNNch	_	_	
11-5	1294-1295	`	_	_	
11-6	1296-1303	tackles	_	_	
11-7	1304-1308	this	_	_	
11-8	1309-1318	challenge	_	_	
11-9	1319-1321	by	_	_	
11-10	1322-1334	implementing	_	_	
11-11	1335-1336	a	_	_	
11-12	1337-1344	unified	_	_	
11-13	1344-1345	,	_	_	
11-14	1346-1353	modular	_	_	
11-15	1354-1362	workflow	_	_	
11-16	1363-1366	for	_	_	
11-17	1367-1378	configuring	_	_	
11-18	1378-1379	,	_	_	
11-19	1380-1389	executing	_	_	
11-20	1389-1390	,	_	_	
11-21	1391-1394	and	_	_	
11-22	1395-1404	analyzing	_	_	
11-23	1405-1409	such	_	_	
11-24	1410-1420	benchmarks	_	_	
11-25	1420-1421	.	_	_	
11-26	1421-1422	*	_	_	
11-27	1422-1423	*	_	_	
11-28	1426-1429	The	_	_	
11-29	1430-1438	software	_	_	
11-30	1439-1448	framework	_	_	
11-31	1449-1455	builds	_	_	
11-32	1456-1462	around	_	_	
11-33	1463-1466	the	_	_	
11-34	1467-1468	[	_	_	
11-35	1468-1472	JUBE	*	SOFTWARE	
11-36	1473-1485	Benchmarking	_	_	
11-37	1486-1497	Environment	_	_	
11-38	1497-1498	]	_	_	
11-39	1498-1499	(	_	_	
11-40	1499-1504	https	_	_	
11-41	1504-1505	:	_	_	
11-42	1505-1506	/	_	_	
11-43	1506-1507	/	_	_	
11-44	1507-1524	www.fz-juelich.de	_	_	
11-45	1524-1525	/	_	_	
11-46	1525-1528	ias	_	_	
11-47	1528-1529	/	_	_	
11-48	1529-1532	jsc	_	_	
11-49	1532-1533	/	_	_	
11-50	1533-1535	EN	_	_	
11-51	1535-1536	/	_	_	
11-52	1536-1545	Expertise	_	_	
11-53	1545-1546	/	_	_	
11-54	1546-1553	Support	_	_	
11-55	1553-1554	/	_	_	
11-56	1554-1562	Software	_	_	
11-57	1562-1563	/	_	_	
11-58	1563-1567	JUBE	*	SOFTWARE	
11-59	1567-1568	/	_	_	
11-60	1568-1569	_	_	_	
11-61	1569-1578	node.html	_	_	
11-62	1578-1579	)	_	_	
11-63	1579-1580	,	_	_	
11-64	1581-1589	installs	_	_	
11-65	1590-1600	simulation	_	_	
11-66	1601-1609	software	_	_	
11-67	1609-1610	,	_	_	
11-68	1611-1619	provides	_	_	
11-69	1620-1622	an	_	_	
11-70	1623-1632	interface	_	_	
11-71	1633-1635	to	_	_	
11-72	1636-1645	benchmark	_	_	
11-73	1646-1652	models	_	_	
11-74	1652-1653	,	_	_	
11-75	1654-1663	automates	_	_	
11-76	1664-1668	data	_	_	
11-77	1669-1672	and	_	_	
11-78	1673-1681	metadata	_	_	
11-79	1682-1692	annotation	_	_	
11-80	1692-1693	,	_	_	
11-81	1694-1697	and	_	_	
11-82	1698-1706	accounts	_	_	
11-83	1707-1710	for	_	_	
11-84	1711-1718	storage	_	_	
11-85	1719-1722	and	_	_	
11-86	1723-1735	presentation	_	_	
11-87	1736-1738	of	_	_	
11-88	1739-1746	results	_	_	
11-89	1746-1747	.	_	_	

#Text=For more details on the conceptual ideas behind `beNNch`, refer to our paper:  
#Text=> Albers J, Pronold J, Kurth AC, Vennemo SB, Haghighi Mood K, Patronis A, Terhorst D, Jordan J, Kunkel S, Tetzlaff T, Diesmann M and Senk J (2022) A Modular Workflow for Performance Benchmarking of Neuronal Network Simulations.
12-1	1749-1752	For	_	_	
12-2	1753-1757	more	_	_	
12-3	1758-1765	details	_	_	
12-4	1766-1768	on	_	_	
12-5	1769-1772	the	_	_	
12-6	1773-1783	conceptual	_	_	
12-7	1784-1789	ideas	_	_	
12-8	1790-1796	behind	_	_	
12-9	1797-1798	`	_	_	
12-10	1798-1804	beNNch	_	_	
12-11	1804-1805	`	_	_	
12-12	1805-1806	,	_	_	
12-13	1807-1812	refer	_	_	
12-14	1813-1815	to	_	_	
12-15	1816-1819	our	_	_	
12-16	1820-1825	paper	_	_	
12-17	1825-1826	:	_	_	
12-18	1829-1830	>	_	_	
12-19	1831-1837	Albers	_	_	
12-20	1838-1839	J	_	_	
12-21	1839-1840	,	_	_	
12-22	1841-1848	Pronold	_	_	
12-23	1849-1850	J	_	_	
12-24	1850-1851	,	_	_	
12-25	1852-1857	Kurth	_	_	
12-26	1858-1860	AC	_	_	
12-27	1860-1861	,	_	_	
12-28	1862-1869	Vennemo	_	_	
12-29	1870-1872	SB	_	_	
12-30	1872-1873	,	_	_	
12-31	1874-1882	Haghighi	_	_	
12-32	1883-1887	Mood	_	_	
12-33	1888-1889	K	_	_	
12-34	1889-1890	,	_	_	
12-35	1891-1899	Patronis	_	_	
12-36	1900-1901	A	_	_	
12-37	1901-1902	,	_	_	
12-38	1903-1911	Terhorst	_	_	
12-39	1912-1913	D	_	_	
12-40	1913-1914	,	_	_	
12-41	1915-1921	Jordan	_	_	
12-42	1922-1923	J	_	_	
12-43	1923-1924	,	_	_	
12-44	1925-1931	Kunkel	_	_	
12-45	1932-1933	S	_	_	
12-46	1933-1934	,	_	_	
12-47	1935-1943	Tetzlaff	_	_	
12-48	1944-1945	T	_	_	
12-49	1945-1946	,	_	_	
12-50	1947-1955	Diesmann	_	_	
12-51	1956-1957	M	_	_	
12-52	1958-1961	and	_	_	
12-53	1962-1966	Senk	_	_	
12-54	1967-1968	J	_	_	
12-55	1969-1970	(	_	_	
12-56	1970-1974	2022	_	_	
12-57	1974-1975	)	_	_	
12-58	1976-1977	A	*[5]	PUBLICATION[5]	
12-59	1978-1985	Modular	*[5]	PUBLICATION[5]	
12-60	1986-1994	Workflow	*[5]	PUBLICATION[5]	
12-61	1995-1998	for	*[5]	PUBLICATION[5]	
12-62	1999-2010	Performance	*[5]	PUBLICATION[5]	
12-63	2011-2023	Benchmarking	*[5]	PUBLICATION[5]	
12-64	2024-2026	of	*[5]	PUBLICATION[5]	
12-65	2027-2035	Neuronal	*[5]	PUBLICATION[5]	
12-66	2036-2043	Network	*[5]	PUBLICATION[5]	
12-67	2044-2055	Simulations	*[5]	PUBLICATION[5]	
12-68	2055-2056	.	_	_	

#Text=Front.
13-1	2057-2062	Front	_	_	
13-2	2062-2063	.	_	_	

#Text=Neuroinform. 16:837549. doi: [10.3389/fninf.2022.837549](https://doi.org/10.3389/fninf.2022.837549)  
#Text=
#Text=!
14-1	2064-2075	Neuroinform	_	_	
