#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# XPert: Peripheral Circuit & Neural Architecture Co-search for Area and Energy-efficient Xbar-based Computing (Design & Automation Conference, 2023)
#Text=The hardware-efficiency and accuracy of Deep Neural Networks (DNNs) implemented on In-memory Computing (IMC) architectures primarily depend on the DNN architecture and the peripheral circuit parameters.
1-1	0-1	#	_	_	
1-2	2-7	XPert	*[1]	PUBLICATION[1]	
1-3	7-8	:	*[1]	PUBLICATION[1]	
1-4	9-19	Peripheral	*[1]	PUBLICATION[1]	
1-5	20-27	Circuit	*[1]	PUBLICATION[1]	
1-6	28-29	&	*[1]	PUBLICATION[1]	
1-7	30-36	Neural	*[1]	PUBLICATION[1]	
1-8	37-49	Architecture	*[1]	PUBLICATION[1]	
1-9	50-59	Co-search	*[1]	PUBLICATION[1]	
1-10	60-63	for	*[1]	PUBLICATION[1]	
1-11	64-68	Area	*[1]	PUBLICATION[1]	
1-12	69-72	and	*[1]	PUBLICATION[1]	
1-13	73-89	Energy-efficient	*[1]	PUBLICATION[1]	
1-14	90-100	Xbar-based	*[1]	PUBLICATION[1]	
1-15	101-110	Computing	*[1]	PUBLICATION[1]	
1-16	111-112	(	_	_	
1-17	112-118	Design	*[2]	CONFERENCE[2]	
1-18	119-120	&	*[2]	CONFERENCE[2]	
1-19	121-131	Automation	*[2]	CONFERENCE[2]	
1-20	132-142	Conference	*[2]	CONFERENCE[2]	
1-21	142-143	,	_	_	
1-22	144-148	2023	_	_	
1-23	148-149	)	_	_	
1-24	150-153	The	_	_	
1-25	154-173	hardware-efficiency	_	_	
1-26	174-177	and	_	_	
1-27	178-186	accuracy	_	_	
1-28	187-189	of	_	_	
1-29	190-194	Deep	_	_	
1-30	195-201	Neural	_	_	
1-31	202-210	Networks	_	_	
1-32	211-212	(	_	_	
1-33	212-216	DNNs	_	_	
1-34	216-217	)	_	_	
1-35	218-229	implemented	_	_	
1-36	230-232	on	_	_	
1-37	233-242	In-memory	_	_	
1-38	243-252	Computing	_	_	
1-39	253-254	(	_	_	
1-40	254-257	IMC	_	_	
1-41	257-258	)	_	_	
1-42	259-272	architectures	_	_	
1-43	273-282	primarily	_	_	
1-44	283-289	depend	_	_	
1-45	290-292	on	_	_	
1-46	293-296	the	_	_	
1-47	297-300	DNN	_	_	
1-48	301-313	architecture	_	_	
1-49	314-317	and	_	_	
1-50	318-321	the	_	_	
