#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<p align="center">
#Text=<img src="etc/img/fig_samples.png" width="800">
#Text=</p>
#Text=
#Text=This repository contains the official implementation of the paper: 
#Text=
#Text=*"Y-Autoencoders: disentangling latent representations via sequential-encoding"*, Massimiliano Patacchiola, Patrick Fox-Roberts, Edward Rosten.
1-1	1-2	<	_	_	
1-2	2-3	p	_	_	
1-3	4-9	align	_	_	
1-4	9-10	=	_	_	
1-5	10-11	"	_	_	
1-6	11-17	center	_	_	
1-7	17-18	"	_	_	
1-8	18-19	>	_	_	
1-9	20-21	<	_	_	
1-10	21-24	img	_	_	
1-11	25-28	src	_	_	
1-12	28-29	=	_	_	
1-13	29-30	"	_	_	
1-14	30-33	etc	_	_	
1-15	33-34	/	_	_	
1-16	34-37	img	_	_	
1-17	37-38	/	_	_	
1-18	38-53	fig_samples.png	_	_	
1-19	53-54	"	_	_	
1-20	55-60	width	_	_	
1-21	60-61	=	_	_	
1-22	61-62	"	_	_	
1-23	62-65	800	_	_	
1-24	65-66	"	_	_	
1-25	66-67	>	_	_	
1-26	68-69	<	_	_	
1-27	69-70	/	_	_	
1-28	70-71	p	_	_	
1-29	71-72	>	_	_	
1-30	74-78	This	_	_	
1-31	79-89	repository	_	_	
1-32	90-98	contains	_	_	
1-33	99-102	the	_	_	
1-34	103-111	official	_	_	
1-35	112-126	implementation	_	_	
1-36	127-129	of	_	_	
1-37	130-133	the	_	_	
1-38	134-139	paper	_	_	
1-39	139-140	:	_	_	
1-40	143-144	*	_	_	
1-41	144-145	"	_	_	
1-42	145-159	Y-Autoencoders	*[1]	PUBLICATION[1]	
1-43	159-160	:	*[1]	PUBLICATION[1]	
1-44	161-174	disentangling	*[1]	PUBLICATION[1]	
1-45	175-181	latent	*[1]	PUBLICATION[1]	
1-46	182-197	representations	*[1]	PUBLICATION[1]	
1-47	198-201	via	*[1]	PUBLICATION[1]	
1-48	202-221	sequential-encoding	*[1]	PUBLICATION[1]	
1-49	221-222	"	_	_	
1-50	222-223	*	_	_	
1-51	223-224	,	_	_	
1-52	225-237	Massimiliano	_	_	
1-53	238-249	Patacchiola	_	_	
1-54	249-250	,	_	_	
1-55	251-258	Patrick	_	_	
1-56	259-270	Fox-Roberts	_	_	
1-57	270-271	,	_	_	
1-58	272-278	Edward	_	_	
1-59	279-285	Rosten	_	_	
1-60	285-286	.	_	_	

#Text=Pattern Recognition Letters, vol. 140, pp. 59-65.
2-1	287-294	Pattern	_	_	
2-2	295-306	Recognition	_	_	
2-3	307-314	Letters	_	_	
2-4	314-315	,	_	_	
2-5	316-319	vol	_	_	
2-6	319-320	.	_	_	
2-7	321-324	140	_	_	
2-8	324-325	,	_	_	
2-9	326-328	pp	_	_	
2-10	328-329	.	_	_	
2-11	330-332	59	_	_	
2-12	332-333	-	_	_	
2-13	333-335	65	_	_	
2-14	335-336	.	_	_	

#Text=[[download paper from arxiv]](https://arxiv.org/pdf/1907.10949.pdf)
#Text=
#Text=Please, cite this paper if you use the code in this repository as part of a published research project:
#Text=
#Text=```
#Text=@article{patacchiola2020yautoencoders,
#Text=  title={Y-Autoencoders: disentangling latent representations via sequential-encoding},
#Text=  author={Patacchiola, Massimiliano and Fox-Roberts, Patrick and Rosten, Edward},
#Text=  journal={Pattern Recognition Letters},
#Text=  volume={140},
#Text=  pages={59--65},
#Text=  year={2020}
#Text=}
#Text=```
#Text=
#Text=This code allows reproducing the quantitative results reported in the paper.
3-1	337-338	[	_	_	
3-2	338-339	[	_	_	
3-3	339-347	download	_	_	
3-4	348-353	paper	_	_	
3-5	354-358	from	_	_	
3-6	359-364	arxiv	_	_	
3-7	364-365	]	_	_	
3-8	365-366	]	_	_	
3-9	366-367	(	_	_	
3-10	367-372	https	_	_	
3-11	372-373	:	_	_	
3-12	373-374	/	_	_	
3-13	374-375	/	_	_	
3-14	375-384	arxiv.org	_	_	
3-15	384-385	/	_	_	
3-16	385-388	pdf	_	_	
3-17	388-389	/	_	_	
3-18	389-399	1907.10949	_	_	
3-19	399-400	.	_	_	
3-20	400-403	pdf	_	_	
3-21	403-404	)	_	_	
3-22	406-412	Please	_	_	
3-23	412-413	,	_	_	
3-24	414-418	cite	_	_	
3-25	419-423	this	_	_	
3-26	424-429	paper	_	_	
3-27	430-432	if	_	_	
3-28	433-436	you	_	_	
3-29	437-440	use	_	_	
3-30	441-444	the	_	_	
3-31	445-449	code	_	_	
3-32	450-452	in	_	_	
3-33	453-457	this	_	_	
3-34	458-468	repository	_	_	
3-35	469-471	as	_	_	
3-36	472-476	part	_	_	
3-37	477-479	of	_	_	
