#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Parametric PDE discovery using UBIC 
#Text=Using the uncertainty-penalized Bayesian information criterion (UBIC) originally proposed in [Adaptive Uncertainty-Penalized Model Selection for Data-Driven PDE Discovery](https://ieeexplore.ieee.org/document/10401233) to discover parametric PDEs automatically
1-1	0-1	#	_	_	
1-2	2-12	Parametric	_	_	
1-3	13-16	PDE	_	_	
1-4	17-26	discovery	_	_	
1-5	27-32	using	_	_	
1-6	33-37	UBIC	_	_	
1-7	39-44	Using	_	_	
1-8	45-48	the	_	_	
1-9	49-70	uncertainty-penalized	_	_	
1-10	71-79	Bayesian	_	_	
1-11	80-91	information	_	_	
1-12	92-101	criterion	_	_	
1-13	102-103	(	_	_	
1-14	103-107	UBIC	_	_	
1-15	107-108	)	_	_	
1-16	109-119	originally	_	_	
1-17	120-128	proposed	_	_	
1-18	129-131	in	_	_	
1-19	132-133	[	_	_	
1-20	133-141	Adaptive	*[1]	PUBLICATION[1]	
1-21	142-163	Uncertainty-Penalized	*[1]	PUBLICATION[1]	
1-22	164-169	Model	*[1]	PUBLICATION[1]	
1-23	170-179	Selection	*[1]	PUBLICATION[1]	
1-24	180-183	for	*[1]	PUBLICATION[1]	
1-25	184-195	Data-Driven	*[1]	PUBLICATION[1]	
1-26	196-199	PDE	*[1]	PUBLICATION[1]	
1-27	200-209	Discovery	*[1]	PUBLICATION[1]	
1-28	209-210	]	_	_	
1-29	210-211	(	_	_	
1-30	211-216	https	_	_	
1-31	216-217	:	_	_	
1-32	217-218	/	_	_	
1-33	218-219	/	_	_	
1-34	219-238	ieeexplore.ieee.org	_	_	
1-35	238-239	/	_	_	
1-36	239-247	document	_	_	
1-37	247-248	/	_	_	
1-38	248-256	10401233	_	_	
1-39	256-257	)	_	_	
1-40	258-260	to	_	_	
1-41	261-269	discover	_	_	
1-42	270-280	parametric	_	_	
1-43	281-285	PDEs	_	_	
1-44	286-299	automatically	_	_	

#Text=.
2-1	299-300	.	_	_	

#Text=- Please first install our modified pysindy package archived at [this OneDrive link](https://1drv.ms/u/c/39cecf604f8b30de/Ed4wi09gz84ggDl7AAAAAAABgZ89ebMdSRESd2a8jiF01w?
3-1	302-303	-	_	_	
3-2	304-310	Please	_	_	
3-3	311-316	first	_	_	
3-4	317-324	install	_	_	
3-5	325-328	our	_	_	
3-6	329-337	modified	_	_	
3-7	338-345	pysindy	*	SOFTWARE	
3-8	346-353	package	_	_	
3-9	354-362	archived	_	_	
3-10	363-365	at	_	_	
3-11	366-367	[	_	_	
3-12	367-371	this	_	_	
