#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Systematic-Generalization-via-Meaningful-Learning
#Text=This repository is for the paper [Revisit Systematic Generalization via Meaningful Learning](https://aclanthology.org/2022.blackboxnlp-1.6).
1-1	0-1	#	_	_	
1-2	2-51	Systematic-Generalization-via-Meaningful-Learning	_	_	
1-3	52-56	This	_	_	
1-4	57-67	repository	_	_	
1-5	68-70	is	_	_	
1-6	71-74	for	_	_	
1-7	75-78	the	_	_	
1-8	79-84	paper	_	_	
1-9	85-86	[	_	_	
1-10	86-93	Revisit	*[1]	PUBLICATION[1]	
1-11	94-104	Systematic	*[1]	PUBLICATION[1]	
1-12	105-119	Generalization	*[1]	PUBLICATION[1]	
1-13	120-123	via	*[1]	PUBLICATION[1]	
1-14	124-134	Meaningful	*[1]	PUBLICATION[1]	
1-15	135-143	Learning	*[1]	PUBLICATION[1]	
1-16	143-144	]	_	_	
1-17	144-145	(	_	_	
1-18	145-150	https	_	_	
1-19	150-151	:	_	_	
1-20	151-152	/	_	_	
1-21	152-153	/	_	_	
1-22	153-169	aclanthology.org	_	_	
1-23	169-170	/	_	_	
1-24	170-174	2022	_	_	
1-25	174-175	.	_	_	
1-26	175-186	blackboxnlp	_	_	
1-27	186-187	-	_	_	
1-28	187-190	1.6	_	_	
1-29	190-191	)	_	_	
1-30	191-192	.	_	_	

#Text=*In Proceedings of the Fifth BlackboxNLP Workshop on Analyzing and Interpreting Neural Networks for NLP*, pages 62–79, Abu Dhabi, United Arab Emirates (Hybrid).
2-1	193-194	*	_	_	
2-2	194-196	In	_	_	
2-3	197-208	Proceedings	*[2]	PUBLICATION[2]	
2-4	209-211	of	*[2]	PUBLICATION[2]	
2-5	212-215	the	*[2]	PUBLICATION[2]	
2-6	216-221	Fifth	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-7	222-233	BlackboxNLP	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-8	234-242	Workshop	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-9	243-245	on	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-10	246-255	Analyzing	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-11	256-259	and	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-12	260-272	Interpreting	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-13	273-279	Neural	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-14	280-288	Networks	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-15	289-292	for	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-16	293-296	NLP	*[2]|*[3]	PUBLICATION[2]|WORKSHOP[3]	
2-17	296-297	*	_	_	
2-18	297-298	,	_	_	
2-19	299-304	pages	_	_	
2-20	305-307	62	_	_	
2-21	307-308	–	_	_	
2-22	308-310	79	_	_	
2-23	310-311	,	_	_	
2-24	312-315	Abu	_	_	
