#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# NetCov
#Text=NetCov is an open-source tool that can be used with [Batfish](https://github.com/batfish/batfish) to analyze test coverage for network configurations.
1-1	0-1	#	_	_	
1-2	2-8	NetCov	*	SOFTWARE	
1-3	9-15	NetCov	*	SOFTWARE	
1-4	16-18	is	_	_	
1-5	19-21	an	_	_	
1-6	22-33	open-source	_	_	
1-7	34-38	tool	_	_	
1-8	39-43	that	_	_	
1-9	44-47	can	_	_	
1-10	48-50	be	_	_	
1-11	51-55	used	_	_	
1-12	56-60	with	_	_	
1-13	61-62	[	_	_	
1-14	62-69	Batfish	*	SOFTWARE	
1-15	69-70	]	_	_	
1-16	70-71	(	_	_	
1-17	71-76	https	_	_	
1-18	76-77	:	_	_	
1-19	77-78	/	_	_	
1-20	78-79	/	_	_	
1-21	79-89	github.com	_	_	
1-22	89-90	/	_	_	
1-23	90-97	batfish	_	_	
1-24	97-98	/	_	_	
1-25	98-105	batfish	*	SOFTWARE	
1-26	105-106	)	_	_	
1-27	107-109	to	_	_	
1-28	110-117	analyze	_	_	
1-29	118-122	test	_	_	
1-30	123-131	coverage	_	_	
1-31	132-135	for	_	_	
1-32	136-143	network	_	_	
1-33	144-158	configurations	_	_	
1-34	158-159	.	_	_	

#Text=Given a set of Batfish queries, it analyzes which lines of configurations has/has not been covered.
2-1	160-165	Given	_	_	
2-2	166-167	a	_	_	
2-3	168-171	set	_	_	
2-4	172-174	of	_	_	
2-5	175-182	Batfish	*	SOFTWARE	
2-6	183-190	queries	_	_	
2-7	190-191	,	_	_	
2-8	192-194	it	_	_	
2-9	195-203	analyzes	_	_	
2-10	204-209	which	_	_	
2-11	210-215	lines	_	_	
2-12	216-218	of	_	_	
2-13	219-233	configurations	_	_	
2-14	234-237	has	_	_	
2-15	237-238	/	_	_	
2-16	238-241	has	_	_	
2-17	242-245	not	_	_	
2-18	246-250	been	_	_	
2-19	251-258	covered	_	_	
2-20	258-259	.	_	_	

#Text=The result can be used to assess the rigorousness of the test suite and help discover the blind spots.
3-1	260-263	The	_	_	
3-2	264-270	result	_	_	
3-3	271-274	can	_	_	
3-4	275-277	be	_	_	
3-5	278-282	used	_	_	
3-6	283-285	to	_	_	
3-7	286-292	assess	_	_	
3-8	293-296	the	_	_	
3-9	297-309	rigorousness	_	_	
3-10	310-312	of	_	_	
3-11	313-316	the	_	_	
3-12	317-321	test	_	_	
3-13	322-327	suite	_	_	
3-14	328-331	and	_	_	
3-15	332-336	help	_	_	
3-16	337-345	discover	_	_	
3-17	346-349	the	_	_	
3-18	350-355	blind	_	_	
3-19	356-361	spots	_	_	
3-20	361-362	.	_	_	

#Text=Please refer to our [paper](https://www.usenix.org/conference/nsdi23/presentation/xu) for technical details.
4-1	363-369	Please	_	_	
4-2	370-375	refer	_	_	
4-3	376-378	to	_	_	
4-4	379-382	our	_	_	
4-5	383-384	[	_	_	
4-6	384-389	paper	_	_	
4-7	389-390	]	_	_	
4-8	390-391	(	_	_	
4-9	391-396	https	_	_	
4-10	396-397	:	_	_	
4-11	397-398	/	_	_	
4-12	398-399	/	_	_	
4-13	399-413	www.usenix.org	_	_	
4-14	413-414	/	_	_	
4-15	414-424	conference	_	_	
4-16	424-425	/	_	_	
4-17	425-431	nsdi23	_	_	
4-18	431-432	/	_	_	
4-19	432-444	presentation	_	_	
4-20	444-445	/	_	_	
4-21	445-447	xu	_	_	
4-22	447-448	)	_	_	
4-23	449-452	for	_	_	
4-24	453-462	technical	_	_	
4-25	463-470	details	_	_	
4-26	470-471	.	_	_	

#Text=NetCov is written in Python and can be used in concert with [pybatfish](https://pybatfish.readthedocs.io/en/latest/notebooks/interacting.html), Batfish's Python API.
5-1	474-480	NetCov	*	SOFTWARE	
5-2	481-483	is	_	_	
5-3	484-491	written	_	_	
5-4	492-494	in	_	_	
5-5	495-501	Python	*	PROGLANG	
5-6	502-505	and	_	_	
5-7	506-509	can	_	_	
5-8	510-512	be	_	_	
5-9	513-517	used	_	_	
5-10	518-520	in	_	_	
5-11	521-528	concert	_	_	
5-12	529-533	with	_	_	
5-13	534-535	[	_	_	
5-14	535-544	pybatfish	*	SOFTWARE	
5-15	544-545	]	_	_	
5-16	545-546	(	_	_	
5-17	546-551	https	_	_	
5-18	551-552	:	_	_	
5-19	552-553	/	_	_	
5-20	553-554	/	_	_	
5-21	554-578	pybatfish.readthedocs.io	_	_	
5-21.1	554-563	pybatfish	*	SOFTWARE	
5-22	578-579	/	_	_	
5-23	579-581	en	_	_	
5-24	581-582	/	_	_	
5-25	582-588	latest	_	_	
5-26	588-589	/	_	_	
5-27	589-598	notebooks	_	_	
5-28	598-599	/	_	_	
5-29	599-615	interacting.html	_	_	
5-30	615-616	)	_	_	
5-31	616-617	,	_	_	
5-32	618-627	Batfish's	_	_	
5-32.1	618-625	Batfish	*	SOFTWARE	
5-33	628-634	Python	*	PROGLANG	
5-34	635-638	API	_	_	
5-35	638-639	.	_	_	

#Text=[<img src="screenshot_demo_video.png"  width="500">](https://youtube.com/video/FcBD2LhxqOQ)
#Text=
#Text=## Features
#Text=
#Text=NetCov supports coverage tracking for the following [Batfish questions](https://pybatfish.readthedocs.io/en/latest/questions.html):
#Text=
#Text=- Reachability test via [traceroute](https://pybatfish.readthedocs.io/en/latest/notebooks/forwarding.html#Traceroute) question
#Text=- Routing policy evaluation via [testRoutePolicies](https://pybatfish.readthedocs.io/en/latest/notebooks/routingProtocols.html#Test-Route-Policies) question
#Text=- Direct inspection of routing tables via [routes](https://pybatfish.readthedocs.io/en/latest/notebooks/routingTables.html#Routes) and [bgpRib](https://pybatfish.readthedocs.io/en/latest/notebooks/routingTables.html#BGP-RIB) questions
#Text=- Querying interfaces via [interfaceProperties](https://pybatfish.readthedocs.io/en/latest/notebooks/configProperties.html#Interface-Properties) question
#Text=
#Text=
#Text=NetCov supports configuration syntax of the following vendors:
#Text=
#Text=|                    | Interface          | BGP neighbor       | Routing Policy     | Prefix list        | Community list     | As-path list       |
#Text=|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
#Text=| Cisco              | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: |
#Text=| Juniper            | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: |
#Text=| Arista             | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: |
#Text=| Palo Alto Networks | :heavy_check_mark: |                    |                    |                    |                    |                    |
#Text=| SONiC              |                    | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: | :heavy_check_mark: |
#Text=
#Text=
#Text=If you’d like support for additional [vendors](https://pybatfish.readthedocs.io/en/latest/supported_devices.html) (which are supported by Batfish but unsupported by NetCov) or currently-unsupported configuration features, let us know via [GitHub issue](https://github.com/UWNetworksLab/netcov/issues).
6-1	641-642	[	_	_	
6-2	642-643	<	_	_	
6-3	643-646	img	_	_	
6-4	647-650	src	_	_	
6-5	650-651	=	_	_	
6-6	651-652	"	_	_	
6-7	652-677	screenshot_demo_video.png	_	_	
6-8	677-678	"	_	_	
6-9	680-685	width	_	_	
6-10	685-686	=	_	_	
6-11	686-687	"	_	_	
6-12	687-690	500	_	_	
6-13	690-691	"	_	_	
6-14	691-692	>	_	_	
6-15	692-693	]	_	_	
6-16	693-694	(	_	_	
6-17	694-699	https	_	_	
6-18	699-700	:	_	_	
6-19	700-701	/	_	_	
6-20	701-702	/	_	_	
6-21	702-713	youtube.com	_	_	
6-22	713-714	/	_	_	
6-23	714-719	video	_	_	
6-24	719-720	/	_	_	
6-25	720-731	FcBD2LhxqOQ	_	_	
6-26	731-732	)	_	_	
6-27	734-735	#	_	_	
6-28	735-736	#	_	_	
6-29	737-745	Features	_	_	
6-30	747-753	NetCov	*	SOFTWARE	
6-31	754-762	supports	_	_	
6-32	763-771	coverage	_	_	
6-33	772-780	tracking	_	_	
6-34	781-784	for	_	_	
6-35	785-788	the	_	_	
6-36	789-798	following	_	_	
6-37	799-800	[	_	_	
6-38	800-807	Batfish	*	SOFTWARE	
6-39	808-817	questions	_	_	
6-40	817-818	]	_	_	
6-41	818-819	(	_	_	
6-42	819-824	https	_	_	
6-43	824-825	:	_	_	
6-44	825-826	/	_	_	
6-45	826-827	/	_	_	
6-46	827-851	pybatfish.readthedocs.io	_	_	
6-46.1	827-836	pybatfish	*	SOFTWARE	
6-47	851-852	/	_	_	
6-48	852-854	en	_	_	
6-49	854-855	/	_	_	
6-50	855-861	latest	_	_	
6-51	861-862	/	_	_	
6-52	862-876	questions.html	_	_	
6-53	876-877	)	_	_	
6-54	877-878	:	_	_	
6-55	880-881	-	_	_	
6-56	882-894	Reachability	_	_	
6-57	895-899	test	_	_	
6-58	900-903	via	_	_	
6-59	904-905	[	_	_	
6-60	905-915	traceroute	_	_	
6-61	915-916	]	_	_	
6-62	916-917	(	_	_	
6-63	917-922	https	_	_	
6-64	922-923	:	_	_	
6-65	923-924	/	_	_	
6-66	924-925	/	_	_	
6-67	925-949	pybatfish.readthedocs.io	_	_	
6-67.1	925-934	pybatfish	*	SOFTWARE	
6-68	949-950	/	_	_	
6-69	950-952	en	_	_	
6-70	952-953	/	_	_	
6-71	953-959	latest	_	_	
6-72	959-960	/	_	_	
6-73	960-969	notebooks	_	_	
6-74	969-970	/	_	_	
6-75	970-985	forwarding.html	_	_	
6-76	985-986	#	_	_	
6-77	986-996	Traceroute	_	_	
6-78	996-997	)	_	_	
6-79	998-1006	question	_	_	
6-80	1007-1008	-	_	_	
6-81	1009-1016	Routing	_	_	
6-82	1017-1023	policy	_	_	
6-83	1024-1034	evaluation	_	_	
6-84	1035-1038	via	_	_	
6-85	1039-1040	[	_	_	
6-86	1040-1057	testRoutePolicies	_	_	
6-87	1057-1058	]	_	_	
6-88	1058-1059	(	_	_	
6-89	1059-1064	https	_	_	
6-90	1064-1065	:	_	_	
6-91	1065-1066	/	_	_	
6-92	1066-1067	/	_	_	
6-93	1067-1091	pybatfish.readthedocs.io	_	_	
6-93.1	1067-1076	pybatfish	*	SOFTWARE	
6-94	1091-1092	/	_	_	
6-95	1092-1094	en	_	_	
6-96	1094-1095	/	_	_	
6-97	1095-1101	latest	_	_	
6-98	1101-1102	/	_	_	
6-99	1102-1111	notebooks	_	_	
6-100	1111-1112	/	_	_	
6-101	1112-1133	routingProtocols.html	_	_	
6-102	1133-1134	#	_	_	
6-103	1134-1153	Test-Route-Policies	_	_	
6-104	1153-1154	)	_	_	
6-105	1155-1163	question	_	_	
6-106	1164-1165	-	_	_	
6-107	1166-1172	Direct	_	_	
6-108	1173-1183	inspection	_	_	
6-109	1184-1186	of	_	_	
6-110	1187-1194	routing	_	_	
6-111	1195-1201	tables	_	_	
6-112	1202-1205	via	_	_	
6-113	1206-1207	[	_	_	
6-114	1207-1213	routes	_	_	
6-115	1213-1214	]	_	_	
6-116	1214-1215	(	_	_	
6-117	1215-1220	https	_	_	
6-118	1220-1221	:	_	_	
6-119	1221-1222	/	_	_	
6-120	1222-1223	/	_	_	
6-121	1223-1247	pybatfish.readthedocs.io	_	_	
6-121.1	1223-1232	pybatfish	*	SOFTWARE	
6-122	1247-1248	/	_	_	
6-123	1248-1250	en	_	_	
6-124	1250-1251	/	_	_	
6-125	1251-1257	latest	_	_	
6-126	1257-1258	/	_	_	
6-127	1258-1267	notebooks	_	_	
6-128	1267-1268	/	_	_	
6-129	1268-1286	routingTables.html	_	_	
6-130	1286-1287	#	_	_	
6-131	1287-1293	Routes	_	_	
6-132	1293-1294	)	_	_	
6-133	1295-1298	and	_	_	
6-134	1299-1300	[	_	_	
6-135	1300-1306	bgpRib	_	_	
6-136	1306-1307	]	_	_	
6-137	1307-1308	(	_	_	
6-138	1308-1313	https	_	_	
6-139	1313-1314	:	_	_	
6-140	1314-1315	/	_	_	
6-141	1315-1316	/	_	_	
6-142	1316-1340	pybatfish.readthedocs.io	_	_	
6-142.1	1316-1325	pybatfish	*	SOFTWARE	
6-143	1340-1341	/	_	_	
6-144	1341-1343	en	_	_	
6-145	1343-1344	/	_	_	
6-146	1344-1350	latest	_	_	
6-147	1350-1351	/	_	_	
6-148	1351-1360	notebooks	_	_	
6-149	1360-1361	/	_	_	
6-150	1361-1379	routingTables.html	_	_	
6-151	1379-1380	#	_	_	
6-152	1380-1387	BGP-RIB	_	_	
6-153	1387-1388	)	_	_	
6-154	1389-1398	questions	_	_	
6-155	1399-1400	-	_	_	
6-156	1401-1409	Querying	_	_	
6-157	1410-1420	interfaces	_	_	
6-158	1421-1424	via	_	_	
6-159	1425-1426	[	_	_	
6-160	1426-1445	interfaceProperties	_	_	
6-161	1445-1446	]	_	_	
6-162	1446-1447	(	_	_	
6-163	1447-1452	https	_	_	
6-164	1452-1453	:	_	_	
6-165	1453-1454	/	_	_	
6-166	1454-1455	/	_	_	
6-167	1455-1479	pybatfish.readthedocs.io	_	_	
6-167.1	1455-1464	pybatfish	*	SOFTWARE	
6-168	1479-1480	/	_	_	
6-169	1480-1482	en	_	_	
6-170	1482-1483	/	_	_	
6-171	1483-1489	latest	_	_	
6-172	1489-1490	/	_	_	
6-173	1490-1499	notebooks	_	_	
6-174	1499-1500	/	_	_	
6-175	1500-1521	configProperties.html	_	_	
6-176	1521-1522	#	_	_	
6-177	1522-1542	Interface-Properties	_	_	
6-178	1542-1543	)	_	_	
6-179	1544-1552	question	_	_	
6-180	1555-1561	NetCov	*	SOFTWARE	
6-181	1562-1570	supports	_	_	
6-182	1571-1584	configuration	_	_	
6-183	1585-1591	syntax	_	_	
6-184	1592-1594	of	_	_	
6-185	1595-1598	the	_	_	
6-186	1599-1608	following	_	_	
6-187	1609-1616	vendors	_	_	
6-188	1616-1617	:	_	_	
6-189	1619-1620	|	_	_	
6-190	1640-1641	|	_	_	
6-191	1642-1651	Interface	_	_	
6-192	1661-1662	|	_	_	
6-193	1663-1666	BGP	_	_	
6-194	1667-1675	neighbor	_	_	
6-195	1682-1683	|	_	_	
6-196	1684-1691	Routing	_	_	
6-197	1692-1698	Policy	_	_	
6-198	1703-1704	|	_	_	
6-199	1705-1711	Prefix	_	_	
6-200	1712-1716	list	_	_	
6-201	1724-1725	|	_	_	
6-202	1726-1735	Community	_	_	
6-203	1736-1740	list	_	_	
6-204	1745-1746	|	_	_	
6-205	1747-1754	As-path	_	_	
6-206	1755-1759	list	_	_	
6-207	1766-1767	|	_	_	
6-208	1768-1769	|	_	_	
6-209	1769-1770	-	_	_	
6-210	1770-1771	-	_	_	
