#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# OntoProtein
#Text=
#Text=This is the implement of the ICLR2022 paper "[OntoProtein: Protein Pretraining With Ontology Embedding](https://arxiv.org/pdf/2201.11147.pdf)".
1-1	0-1	#	_	_	
1-2	2-13	OntoProtein	*	SOFTWARE	
1-3	15-19	This	_	_	
1-4	20-22	is	_	_	
1-5	23-26	the	_	_	
1-6	27-36	implement	_	_	
1-7	37-39	of	_	_	
1-8	40-43	the	_	_	
1-9	44-52	ICLR2022	*	CONFERENCE	
1-10	53-58	paper	_	_	
1-11	59-60	"	_	_	
1-12	60-61	[	_	_	
1-13	61-72	OntoProtein	*[1]	PUBLICATION[1]	
1-14	72-73	:	*[1]	PUBLICATION[1]	
1-15	74-81	Protein	*[1]	PUBLICATION[1]	
1-16	82-93	Pretraining	*[1]	PUBLICATION[1]	
1-17	94-98	With	*[1]	PUBLICATION[1]	
1-18	99-107	Ontology	*[1]	PUBLICATION[1]	
1-19	108-117	Embedding	*[1]	PUBLICATION[1]	
1-20	117-118	]	_	_	
1-21	118-119	(	_	_	
1-22	119-124	https	_	_	
1-23	124-125	:	_	_	
1-24	125-126	/	_	_	
1-25	126-127	/	_	_	
1-26	127-136	arxiv.org	_	_	
1-27	136-137	/	_	_	
1-28	137-140	pdf	_	_	
1-29	140-141	/	_	_	
1-30	141-151	2201.11147	_	_	
1-31	151-152	.	_	_	
1-32	152-155	pdf	_	_	
1-33	155-156	)	_	_	
1-34	156-157	"	_	_	
1-35	157-158	.	_	_	

#Text=OntoProtein is an effective method that make use of structure in GO (Gene Ontology) into text-enhanced protein pre-training model.
#Text=- ❗NOTE: We provide a NLP for science paper-list at [https://github.com/zjunlp/NLP4Science_Papers](https://github.com/zjunlp/NLP4Science_Papers).
2-1	159-170	OntoProtein	*	SOFTWARE	
2-2	171-173	is	_	_	
2-3	174-176	an	_	_	
2-4	177-186	effective	_	_	
2-5	187-193	method	_	_	
2-6	194-198	that	_	_	
2-7	199-203	make	_	_	
2-8	204-207	use	_	_	
2-9	208-210	of	_	_	
2-10	211-220	structure	_	_	
2-11	221-223	in	_	_	
2-12	224-226	GO	*	ONTOLOGY	
2-13	227-228	(	_	_	
2-14	228-232	Gene	*[2]	ONTOLOGY[2]	
2-15	233-241	Ontology	*[2]	ONTOLOGY[2]	
2-16	241-242	)	_	_	
2-17	243-247	into	_	_	
2-18	248-261	text-enhanced	_	_	
2-19	262-269	protein	_	_	
2-20	270-282	pre-training	_	_	
2-21	283-288	model	_	_	
2-22	288-289	.	_	_	
2-23	290-291	-	_	_	
2-24	292-293	❗	_	_	
2-25	293-297	NOTE	_	_	
2-26	297-298	:	_	_	
2-27	299-301	We	_	_	
2-28	302-309	provide	_	_	
2-29	310-311	a	_	_	
2-30	312-315	NLP	_	_	
2-31	316-319	for	_	_	
2-32	320-327	science	_	_	
2-33	328-338	paper-list	_	_	
2-34	339-341	at	_	_	
2-35	342-343	[	_	_	
2-36	343-348	https	_	_	
2-37	348-349	:	_	_	
2-38	349-350	/	_	_	
2-39	350-351	/	_	_	
2-40	351-361	github.com	_	_	
2-41	361-362	/	_	_	
2-42	362-368	zjunlp	_	_	
2-43	368-369	/	_	_	
2-44	369-387	NLP4Science_Papers	_	_	
2-45	387-388	]	_	_	
2-46	388-389	(	_	_	
2-47	389-394	https	_	_	
2-48	394-395	:	_	_	
2-49	395-396	/	_	_	
2-50	396-397	/	_	_	
2-51	397-407	github.com	_	_	
2-52	407-408	/	_	_	
2-53	408-414	zjunlp	_	_	
2-54	414-415	/	_	_	
2-55	415-433	NLP4Science_Papers	_	_	
2-56	433-434	)	_	_	
2-57	434-435	.	_	_	

#Text=<div align=center><img src="resources/img/model.png" width="80%" height="80%" /></div>
#Text=
#Text=## Quick links
#Text=
#Text=* [Overview](#overview)
#Text=* [Requirements](#requirements)
#Text=  * [Environment for pre-training data generation](#environment-for-pre-training-data-generation)
#Text=  * [Environmen for OntoProtein pre-training](#environment-for-ontoprotein-pre-training)
#Text=  * [Environment for protein-related tasks](#environment-for-protein-related-tasks)
#Text=* [Data preparation](#data-preparation)
#Text=  * [Pre-training data](#pre-training-data)
#Text=  * [Downstream task data](#downstream-task-data)
#Text=* [Protein pre-training model](#protein-pre-training-model)
#Text=* [Usage for protein-related tasks](#usage-for-protein-related-tasks)
#Text=* [Citation](#citation)
#Text=
#Text=## Overview
#Text=<span id="overview"></span>
#Text=
#Text=In this work we present OntoProtein, a knowledge-enhanced protein language model that jointly optimize the KE and MLM objectives, which bring excellent improvements to a wide range of protein tasks.
3-1	437-438	<	_	_	
3-2	438-441	div	_	_	
3-3	442-447	align	_	_	
3-4	447-448	=	_	_	
3-5	448-454	center	_	_	
3-6	454-455	>	_	_	
3-7	455-456	<	_	_	
3-8	456-459	img	_	_	
3-9	460-463	src	_	_	
3-10	463-464	=	_	_	
3-11	464-465	"	_	_	
3-12	465-474	resources	_	_	
3-13	474-475	/	_	_	
3-14	475-478	img	_	_	
3-15	478-479	/	_	_	
3-16	479-488	model.png	_	_	
3-17	488-489	"	_	_	
3-18	490-495	width	_	_	
3-19	495-496	=	_	_	
3-20	496-497	"	_	_	
3-21	497-500	80%	_	_	
3-22	500-501	"	_	_	
3-23	502-508	height	_	_	
3-24	508-509	=	_	_	
3-25	509-510	"	_	_	
3-26	510-513	80%	_	_	
3-27	513-514	"	_	_	
3-28	515-516	/	_	_	
3-29	516-517	>	_	_	
3-30	517-518	<	_	_	
3-31	518-519	/	_	_	
3-32	519-522	div	_	_	
3-33	522-523	>	_	_	
3-34	525-526	#	_	_	
3-35	526-527	#	_	_	
3-36	528-533	Quick	_	_	
3-37	534-539	links	_	_	
3-38	541-542	*	_	_	
3-39	543-544	[	_	_	
3-40	544-552	Overview	_	_	
3-41	552-553	]	_	_	
3-42	553-554	(	_	_	
3-43	554-555	#	_	_	
3-44	555-563	overview	_	_	
3-45	563-564	)	_	_	
3-46	565-566	*	_	_	
3-47	567-568	[	_	_	
3-48	568-580	Requirements	_	_	
3-49	580-581	]	_	_	
3-50	581-582	(	_	_	
3-51	582-583	#	_	_	
3-52	583-595	requirements	_	_	
3-53	595-596	)	_	_	
3-54	599-600	*	_	_	
3-55	601-602	[	_	_	
3-56	602-613	Environment	_	_	
3-57	614-617	for	_	_	
3-58	618-630	pre-training	_	_	
3-59	631-635	data	_	_	
3-60	636-646	generation	_	_	
3-61	646-647	]	_	_	
3-62	647-648	(	_	_	
3-63	648-649	#	_	_	
3-64	649-693	environment-for-pre-training-data-generation	_	_	
3-65	693-694	)	_	_	
3-66	697-698	*	_	_	
3-67	699-700	[	_	_	
3-68	700-710	Environmen	_	_	
3-69	711-714	for	_	_	
3-70	715-726	OntoProtein	*	SOFTWARE	
3-71	727-739	pre-training	_	_	
3-72	739-740	]	_	_	
3-73	740-741	(	_	_	
3-74	741-742	#	_	_	
3-75	742-782	environment-for-ontoprotein-pre-training	_	_	
3-76	782-783	)	_	_	
3-77	786-787	*	_	_	
3-78	788-789	[	_	_	
3-79	789-800	Environment	_	_	
3-80	801-804	for	_	_	
3-81	805-820	protein-related	_	_	
3-82	821-826	tasks	_	_	
3-83	826-827	]	_	_	
3-84	827-828	(	_	_	
3-85	828-829	#	_	_	
3-86	829-866	environment-for-protein-related-tasks	_	_	
3-87	866-867	)	_	_	
3-88	868-869	*	_	_	
3-89	870-871	[	_	_	
3-90	871-875	Data	_	_	
3-91	876-887	preparation	_	_	
3-92	887-888	]	_	_	
3-93	888-889	(	_	_	
3-94	889-890	#	_	_	
3-95	890-906	data-preparation	_	_	
3-96	906-907	)	_	_	
3-97	910-911	*	_	_	
3-98	912-913	[	_	_	
3-99	913-925	Pre-training	_	_	
3-100	926-930	data	_	_	
3-101	930-931	]	_	_	
3-102	931-932	(	_	_	
3-103	932-933	#	_	_	
3-104	933-950	pre-training-data	_	_	
3-105	950-951	)	_	_	
3-106	954-955	*	_	_	
3-107	956-957	[	_	_	
3-108	957-967	Downstream	_	_	
3-109	968-972	task	_	_	
3-110	973-977	data	_	_	
3-111	977-978	]	_	_	
3-112	978-979	(	_	_	
3-113	979-980	#	_	_	
3-114	980-1000	downstream-task-data	_	_	
3-115	1000-1001	)	_	_	
3-116	1002-1003	*	_	_	
3-117	1004-1005	[	_	_	
3-118	1005-1012	Protein	_	_	
3-119	1013-1025	pre-training	_	_	
3-120	1026-1031	model	_	_	
3-121	1031-1032	]	_	_	
3-122	1032-1033	(	_	_	
3-123	1033-1034	#	_	_	
3-124	1034-1060	protein-pre-training-model	_	_	
3-125	1060-1061	)	_	_	
3-126	1062-1063	*	_	_	
3-127	1064-1065	[	_	_	
3-128	1065-1070	Usage	_	_	
3-129	1071-1074	for	_	_	
3-130	1075-1090	protein-related	_	_	
3-131	1091-1096	tasks	_	_	
3-132	1096-1097	]	_	_	
3-133	1097-1098	(	_	_	
3-134	1098-1099	#	_	_	
3-135	1099-1130	usage-for-protein-related-tasks	_	_	
3-136	1130-1131	)	_	_	
3-137	1132-1133	*	_	_	
3-138	1134-1135	[	_	_	
3-139	1135-1143	Citation	_	_	
3-140	1143-1144	]	_	_	
3-141	1144-1145	(	_	_	
3-142	1145-1146	#	_	_	
