#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Code search
#Text=
#Text=This project contains the code to reproduce the experiments in the paper [Neural Code Search Revisited: Enhancing Code Snippet Retrieval through Natural Language Intent](https://arxiv.org/abs/2008.12193).
1-1	0-1	#	_	_	
1-2	2-6	Code	*[1]	PROJECT[1]	
1-3	7-13	search	*[1]	PROJECT[1]	
1-4	15-19	This	_	_	
1-5	20-27	project	_	_	
1-6	28-36	contains	_	_	
1-7	37-40	the	_	_	
1-8	41-45	code	_	_	
1-9	46-48	to	_	_	
1-10	49-58	reproduce	_	_	
1-11	59-62	the	_	_	
1-12	63-74	experiments	_	_	
1-13	75-77	in	_	_	
1-14	78-81	the	_	_	
1-15	82-87	paper	_	_	
1-16	88-89	[	_	_	
1-17	89-95	Neural	*[2]	PUBLICATION[2]	
1-18	96-100	Code	*[2]	PUBLICATION[2]	
1-19	101-107	Search	*[2]	PUBLICATION[2]	
1-20	108-117	Revisited	*[2]	PUBLICATION[2]	
1-21	117-118	:	*[2]	PUBLICATION[2]	
1-22	119-128	Enhancing	*[2]	PUBLICATION[2]	
1-23	129-133	Code	*[2]	PUBLICATION[2]	
1-24	134-141	Snippet	*[2]	PUBLICATION[2]	
1-25	142-151	Retrieval	*[2]	PUBLICATION[2]	
1-26	152-159	through	*[2]	PUBLICATION[2]	
1-27	160-167	Natural	*[2]	PUBLICATION[2]	
1-28	168-176	Language	*[2]	PUBLICATION[2]	
1-29	177-183	Intent	*[2]	PUBLICATION[2]	
1-30	183-184	]	_	_	
1-31	184-185	(	_	_	
1-32	185-190	https	_	_	
1-33	190-191	:	_	_	
1-34	191-192	/	_	_	
1-35	192-193	/	_	_	
1-36	193-202	arxiv.org	_	_	
1-37	202-203	/	_	_	
1-38	203-206	abs	_	_	
1-39	206-207	/	_	_	
1-40	207-217	2008.12193	_	_	
1-41	217-218	)	_	_	
1-42	218-219	.	_	_	

#Text=It implements retrieval systems for annotated code snippets: pairs of a code snippet and a short natural language description.
2-1	220-222	It	_	_	
2-2	223-233	implements	_	_	
2-3	234-243	retrieval	_	_	
2-4	244-251	systems	_	_	
2-5	252-255	for	_	_	
2-6	256-265	annotated	_	_	
2-7	266-270	code	_	_	
2-8	271-279	snippets	_	_	
2-9	279-280	:	_	_	
2-10	281-286	pairs	_	_	
2-11	287-289	of	_	_	
2-12	290-291	a	_	_	
2-13	292-296	code	_	_	
2-14	297-304	snippet	_	_	
2-15	305-308	and	_	_	
2-16	309-310	a	_	_	
2-17	311-316	short	_	_	
