#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=## Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set ##  <p align="center">  <img src="/images/example.gif"> </p>  ### \*\*\_\\\*\\\*\\\*07/20/2021: A \[PyTorch implementation\](https://github.com/sicxu/Deep3DFaceRecon\_pytorch) which has much better performance and is much easier to use is available now.
1-1	0-1	#	*[523]|*[785]	SOFTWARE[523]|SOFTWARE[785]
1-2	1-2	#	*[785]	SOFTWARE[785]
1-3	3-11	Accurate	*[785]	SOFTWARE[785]
1-4	12-14	3D	*[785]	SOFTWARE[785]
1-5	15-19	Face	*[785]	SOFTWARE[785]
1-6	20-34	Reconstruction	*[785]	SOFTWARE[785]
1-7	35-39	with	*[785]	SOFTWARE[785]
1-8	40-57	Weakly-Supervised	*[785]	SOFTWARE[785]
1-9	58-66	Learning	*[785]	SOFTWARE[785]
1-10	66-67	:	*[785]	SOFTWARE[785]
1-11	68-72	From	*[785]	SOFTWARE[785]
1-12	73-79	Single	*[785]	SOFTWARE[785]
1-13	80-85	Image	*[785]	SOFTWARE[785]
1-14	86-88	to	*[785]	SOFTWARE[785]
1-15	89-94	Image	*[785]	SOFTWARE[785]
1-16	95-98	Set	*[785]	SOFTWARE[785]
1-17	99-100	#	*[785]	SOFTWARE[785]
1-18	100-101	#	*[785]	SOFTWARE[785]
1-19	103-104	<	*[785]	SOFTWARE[785]
1-20	104-105	p	*[785]	SOFTWARE[785]
1-21	106-111	align	*[785]	SOFTWARE[785]
1-22	111-112	=	*[785]	SOFTWARE[785]
1-23	112-113	"	*[785]	SOFTWARE[785]
1-24	113-119	center	*[785]	SOFTWARE[785]
1-25	119-120	"	*[785]	SOFTWARE[785]
1-26	120-121	>	*[785]	SOFTWARE[785]
1-27	123-124	<	*[785]	SOFTWARE[785]
1-28	124-127	img	*[785]	SOFTWARE[785]
1-29	128-131	src	*[785]	SOFTWARE[785]
1-30	131-132	=	*[785]	SOFTWARE[785]
1-31	132-133	"	*[785]	SOFTWARE[785]
1-32	133-134	/	*[785]	SOFTWARE[785]
1-33	134-140	images	*[785]	SOFTWARE[785]
1-34	140-141	/	*[785]	SOFTWARE[785]
1-35	141-152	example.gif	*[785]	SOFTWARE[785]
1-36	152-153	"	*[785]	SOFTWARE[785]
1-37	153-154	>	*[785]	SOFTWARE[785]
1-38	155-156	<	*[785]	SOFTWARE[785]
1-39	156-157	/	*[785]	SOFTWARE[785]
1-40	157-158	p	*[785]	SOFTWARE[785]
1-41	158-159	>	*[785]	SOFTWARE[785]
1-42	161-162	#	*[785]	SOFTWARE[785]
1-43	162-163	#	*[785]	SOFTWARE[785]
1-44	163-164	#	*[785]	SOFTWARE[785]
1-45	165-166	\*	*[785]	SOFTWARE[785]
1-46	166-167	\*	*[785]	SOFTWARE[785]
1-47	167-168	\_	*[785]	SOFTWARE[785]
1-48	168-169	\\	*[785]	SOFTWARE[785]
1-49	169-170	\*	*[785]	SOFTWARE[785]
1-50	170-171	\\	*[785]	SOFTWARE[785]
1-51	171-172	\*	*[785]	SOFTWARE[785]
1-52	172-173	\\	*[785]	SOFTWARE[785]
1-53	173-174	\*	*[785]	SOFTWARE[785]
1-54	174-176	07	*[785]	SOFTWARE[785]
1-55	176-177	/	*[785]	SOFTWARE[785]
1-56	177-179	20	*[785]	SOFTWARE[785]
1-57	179-180	/	*[785]	SOFTWARE[785]
1-58	180-184	2021	*[785]	SOFTWARE[785]
1-59	184-185	:	*[785]	SOFTWARE[785]
1-60	186-187	A	*[785]	SOFTWARE[785]
1-61	188-189	\[	*[785]	SOFTWARE[785]
1-62	189-196	PyTorch	*[785]	SOFTWARE[785]
1-63	197-211	implementation	*[785]	SOFTWARE[785]
1-64	211-212	\]	*[785]	SOFTWARE[785]
1-65	212-213	(	*[785]	SOFTWARE[785]
1-66	213-218	https	*[785]	SOFTWARE[785]
1-67	218-219	:	*[785]	SOFTWARE[785]
1-68	219-220	/	*[785]	SOFTWARE[785]
1-69	220-221	/	*[785]	SOFTWARE[785]
1-70	221-231	github.com	*[785]	SOFTWARE[785]
1-71	231-232	/	*[785]	SOFTWARE[785]
1-72	232-237	sicxu	*[785]	SOFTWARE[785]
1-73	237-238	/	*[785]	SOFTWARE[785]
1-74	238-261	Deep3DFaceRecon\_pytorch	*[785]	SOFTWARE[785]
1-74	238-253	Deep3DFaceRecon	*[785]	SOFTWARE[785]
1-74	254-261	pytorch	*[785]	SOFTWARE[785]
1-75	261-262	)	*[785]	SOFTWARE[785]
1-76	263-268	which	*[785]	SOFTWARE[785]
1-77	269-272	has	*[785]	SOFTWARE[785]
1-78	273-277	much	*[785]	SOFTWARE[785]
1-79	278-284	better	*[785]	SOFTWARE[785]
1-80	285-296	performance	*[785]	SOFTWARE[785]
1-81	297-300	and	*[785]	SOFTWARE[785]
1-82	301-303	is	*[785]	SOFTWARE[785]
1-83	304-308	much	*[785]	SOFTWARE[785]
1-84	309-315	easier	*[785]	SOFTWARE[785]
1-85	316-318	to	*[785]	SOFTWARE[785]
1-86	319-322	use	*[785]	SOFTWARE[785]
1-87	323-325	is	*[785]	SOFTWARE[785]
1-88	326-335	available	*[785]	SOFTWARE[785]
1-89	336-339	now	*[785]	SOFTWARE[785]
1-90	339-340	.	*[785]	SOFTWARE[785]

#Text=This repo will not be maintained in future. \\\*\\\*\\\*\_\*\*   This is a tensorflow implementation of the following paper:  Y.
2-1	341-345	This	*[785]	SOFTWARE[785]
2-2	346-350	repo	*[785]	SOFTWARE[785]
2-3	351-355	will	*[785]	SOFTWARE[785]
2-4	356-359	not	*[785]	SOFTWARE[785]
2-5	360-362	be	*[785]	SOFTWARE[785]
2-6	363-373	maintained	*[785]	SOFTWARE[785]
2-7	374-376	in	*[785]	SOFTWARE[785]
2-8	377-383	future	*[785]	SOFTWARE[785]
2-9	383-384	.	*[785]	SOFTWARE[785]
2-10	385-386	\\	*[785]	SOFTWARE[785]
2-11	386-387	\*	*[785]	SOFTWARE[785]
2-12	387-388	\\	*[785]	SOFTWARE[785]
2-13	388-389	\*	*[785]	SOFTWARE[785]
2-14	389-390	\\	*[785]	SOFTWARE[785]
2-15	390-391	\*	*[785]	SOFTWARE[785]
2-16	391-392	\_	*[785]	SOFTWARE[785]
2-17	392-393	\*	*[785]	SOFTWARE[785]
2-18	393-394	\*	*[785]	SOFTWARE[785]
2-19	397-401	This	*[785]	SOFTWARE[785]
2-20	402-404	is	*[785]	SOFTWARE[785]
2-21	405-406	a	*[785]	SOFTWARE[785]
2-22	407-417	tensorflow	*[785]	SOFTWARE[785]
2-23	418-432	implementation	*[785]	SOFTWARE[785]
2-24	433-435	of	*[785]	SOFTWARE[785]
2-25	436-439	the	*[785]	SOFTWARE[785]
2-26	440-449	following	*[785]	SOFTWARE[785]
2-27	450-455	paper	*[785]	SOFTWARE[785]
2-28	455-456	:	*[785]	SOFTWARE[785]
2-29	458-459	Y	*[785]	SOFTWARE[785]
2-30	459-460	.	*[785]	SOFTWARE[785]

#Text=Deng, J.
3-1	461-465	Deng	*[785]	SOFTWARE[785]
3-2	465-466	,	*[785]	SOFTWARE[785]
3-3	467-468	J	*[785]	SOFTWARE[785]
3-4	468-469	.	*[785]	SOFTWARE[785]

#Text=Yang, S.
4-1	470-474	Yang	*[785]	SOFTWARE[785]
4-2	474-475	,	*[785]	SOFTWARE[785]
4-3	476-477	S	*[785]	SOFTWARE[785]
4-4	477-478	.	*[785]	SOFTWARE[785]

#Text=Xu, D.
5-1	479-481	Xu	*[785]	SOFTWARE[785]
5-2	481-482	,	*[785]	SOFTWARE[785]
5-3	483-484	D	*[785]	SOFTWARE[785]
5-4	484-485	.	*[785]	SOFTWARE[785]

#Text=Chen, Y.
6-1	486-490	Chen	*[785]	SOFTWARE[785]
6-2	490-491	,	*[785]	SOFTWARE[785]
6-3	492-493	Y	*[785]	SOFTWARE[785]
6-4	493-494	.	*[785]	SOFTWARE[785]

#Text=Jia, and X.
7-1	495-498	Jia	*[785]	SOFTWARE[785]
7-2	498-499	,	*[785]	SOFTWARE[785]
7-3	500-503	and	*[785]	SOFTWARE[785]
7-4	504-505	X	*[785]	SOFTWARE[785]
7-5	505-506	.	*[785]	SOFTWARE[785]

#Text=Tong, \[Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set\](https://arxiv.org/abs/1903.08527), IEEE Computer Vision and Pattern Recognition Workshop (CVPRW) on Analysis and Modeling of Faces and Gestures (AMFG), 2019.
8-1	507-511	Tong	*[785]	SOFTWARE[785]
8-2	511-512	,	*[785]	SOFTWARE[785]
8-3	513-514	\[	*[785]	SOFTWARE[785]
8-4	514-522	Accurate	*[785]	SOFTWARE[785]
8-5	523-525	3D	*[785]	SOFTWARE[785]
8-6	526-530	Face	*[785]	SOFTWARE[785]
8-7	531-545	Reconstruction	*[785]	SOFTWARE[785]
8-8	546-550	with	*[785]	SOFTWARE[785]
8-9	551-568	Weakly-Supervised	*[785]	SOFTWARE[785]
8-10	569-577	Learning	*[785]	SOFTWARE[785]
8-11	577-578	:	*[785]	SOFTWARE[785]
8-12	579-583	From	*[785]	SOFTWARE[785]
8-13	584-590	Single	*[785]	SOFTWARE[785]
8-14	591-596	Image	*[785]	SOFTWARE[785]
8-15	597-599	to	*[785]	SOFTWARE[785]
8-16	600-605	Image	*[785]	SOFTWARE[785]
8-17	606-609	Set	*[785]	SOFTWARE[785]
8-18	609-610	\]	*[785]	SOFTWARE[785]
8-19	610-611	(	*[785]	SOFTWARE[785]
8-20	611-616	https	*[785]	SOFTWARE[785]
8-21	616-617	:	*[785]	SOFTWARE[785]
8-22	617-618	/	*[785]	SOFTWARE[785]
8-23	618-619	/	*[785]	SOFTWARE[785]
8-24	619-628	arxiv.org	*[785]	SOFTWARE[785]
8-25	628-629	/	*[785]	SOFTWARE[785]
8-26	629-632	abs	*[785]	SOFTWARE[785]
8-27	632-633	/	*[785]	SOFTWARE[785]
8-28	633-643	1903.08527	*[785]	SOFTWARE[785]
8-29	643-644	)	*[785]	SOFTWARE[785]
8-30	644-645	,	*[785]	SOFTWARE[785]
8-31	646-650	IEEE	*[785]	SOFTWARE[785]
8-32	651-659	Computer	*[785]	SOFTWARE[785]
8-33	660-666	Vision	*[785]	SOFTWARE[785]
8-34	667-670	and	*[785]	SOFTWARE[785]
8-35	671-678	Pattern	*[785]	SOFTWARE[785]
8-36	679-690	Recognition	*[785]	SOFTWARE[785]
8-37	691-699	Workshop	*[785]	SOFTWARE[785]
8-38	700-701	(	*[785]	SOFTWARE[785]
8-39	701-706	CVPRW	*[785]	SOFTWARE[785]
8-40	706-707	)	*[785]	SOFTWARE[785]
8-41	708-710	on	*[785]	SOFTWARE[785]
8-42	711-719	Analysis	*[785]	SOFTWARE[785]
8-43	720-723	and	*[785]	SOFTWARE[785]
8-44	724-732	Modeling	*[785]	SOFTWARE[785]
8-45	733-735	of	*[785]	SOFTWARE[785]
8-46	736-741	Faces	*[785]	SOFTWARE[785]
8-47	742-745	and	*[785]	SOFTWARE[785]
8-48	746-754	Gestures	*[785]	SOFTWARE[785]
8-49	755-756	(	*[785]	SOFTWARE[785]
8-50	756-760	AMFG	*[785]	SOFTWARE[785]
8-51	760-761	)	*[785]	SOFTWARE[785]
8-52	761-762	,	*[785]	SOFTWARE[785]
8-53	763-767	2019	*[785]	SOFTWARE[785]
8-54	767-768	.	*[785]	SOFTWARE[785]

#Text=(\*\*\_Best Paper Award!
9-1	769-770	(	*[785]	SOFTWARE[785]
9-2	770-771	\*	*[785]	SOFTWARE[785]
9-3	771-772	\*	*[785]	SOFTWARE[785]
9-4	772-773	\_	*[785]	SOFTWARE[785]
9-5	773-777	Best	*[785]	SOFTWARE[785]
9-6	778-783	Paper	*[785]	SOFTWARE[785]
9-7	784-789	Award	*[785]	SOFTWARE[785]
9-8	789-790	!	*[785]	SOFTWARE[785]

#Text=\_\*\*)  The method enforces a hybrid-level weakly-supervised training for CNN-based 3D face reconstruction.
10-1	790-791	\_	*[785]	SOFTWARE[785]
10-2	791-792	\*	*[785]	SOFTWARE[785]
10-3	792-793	\*	*[785]	SOFTWARE[785]
10-4	793-794	)	*[785]	SOFTWARE[785]
10-5	796-799	The	*[785]	SOFTWARE[785]
10-6	800-806	method	*[785]	SOFTWARE[785]
10-7	807-815	enforces	*[785]	SOFTWARE[785]
10-8	816-817	a	*[785]	SOFTWARE[785]
10-9	818-830	hybrid-level	*[785]	SOFTWARE[785]
10-10	831-848	weakly-supervised	*[785]	SOFTWARE[785]
10-11	849-857	training	*[785]	SOFTWARE[785]
10-12	858-861	for	*[785]	SOFTWARE[785]
10-13	862-871	CNN-based	*[785]	SOFTWARE[785]
10-14	872-874	3D	*[785]	SOFTWARE[785]
10-15	875-879	face	*[785]	SOFTWARE[785]
10-16	880-894	reconstruction	*[785]	SOFTWARE[785]
10-17	894-895	.	*[785]	SOFTWARE[785]

#Text=It is fast, accurate, and robust to pose and occlussions.
11-1	896-898	It	*[785]	SOFTWARE[785]
11-2	899-901	is	*[785]	SOFTWARE[785]
11-3	902-906	fast	*[785]	SOFTWARE[785]
11-4	906-907	,	*[785]	SOFTWARE[785]
11-5	908-916	accurate	*[785]	SOFTWARE[785]
11-6	916-917	,	*[785]	SOFTWARE[785]
11-7	918-921	and	*[785]	SOFTWARE[785]
11-8	922-928	robust	*[785]	SOFTWARE[785]
