#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# A Glitch in the Matrix?
1-1	0-1	#	*[523]|*[774]	SOFTWARE[523]|SOFTWARE[774]
1-2	2-3	A	*[774]	SOFTWARE[774]
1-3	4-10	Glitch	*[774]	SOFTWARE[774]
1-4	11-13	in	*[774]	SOFTWARE[774]
1-5	14-17	the	*[774]	SOFTWARE[774]
1-6	18-24	Matrix	*[774]	SOFTWARE[774]
1-7	24-25	?	*[774]	SOFTWARE[774]

#Text=Locating and Detecting Language Model Grounding with Fakepedia  This repository contains the data and code to reproduce the results of our paper: https://arxiv.org/abs/2312.02073  Please use the following citation:  ``` @misc{monea2023glitch,       title={A Glitch in the Matrix?
2-1	26-34	Locating	*[774]	SOFTWARE[774]
2-2	35-38	and	*[774]	SOFTWARE[774]
2-3	39-48	Detecting	*[774]	SOFTWARE[774]
2-4	49-57	Language	*[774]	SOFTWARE[774]
2-5	58-63	Model	*[774]	SOFTWARE[774]
2-6	64-73	Grounding	*[774]	SOFTWARE[774]
2-7	74-78	with	*[774]	SOFTWARE[774]
2-8	79-88	Fakepedia	*[774]	SOFTWARE[774]
2-9	90-94	This	*[774]	SOFTWARE[774]
2-10	95-105	repository	*[774]	SOFTWARE[774]
2-11	106-114	contains	*[774]	SOFTWARE[774]
2-12	115-118	the	*[774]	SOFTWARE[774]
2-13	119-123	data	*[774]	SOFTWARE[774]
2-14	124-127	and	*[774]	SOFTWARE[774]
2-15	128-132	code	*[774]	SOFTWARE[774]
2-16	133-135	to	*[774]	SOFTWARE[774]
2-17	136-145	reproduce	*[774]	SOFTWARE[774]
2-18	146-149	the	*[774]	SOFTWARE[774]
2-19	150-157	results	*[774]	SOFTWARE[774]
2-20	158-160	of	*[774]	SOFTWARE[774]
2-21	161-164	our	*[774]	SOFTWARE[774]
2-22	165-170	paper	*[774]	SOFTWARE[774]
2-23	170-171	:	*[774]	SOFTWARE[774]
2-24	172-177	https	*[774]	SOFTWARE[774]
2-25	177-178	:	*[774]	SOFTWARE[774]
2-26	178-179	/	*[774]	SOFTWARE[774]
2-27	179-180	/	*[774]	SOFTWARE[774]
2-28	180-189	arxiv.org	*[774]	SOFTWARE[774]
2-29	189-190	/	*[774]	SOFTWARE[774]
2-30	190-193	abs	*[774]	SOFTWARE[774]
2-31	193-194	/	*[774]	SOFTWARE[774]
2-32	194-204	2312.02073	*[774]	SOFTWARE[774]
2-33	206-212	Please	*[774]	SOFTWARE[774]
2-34	213-216	use	*[774]	SOFTWARE[774]
2-35	217-220	the	*[774]	SOFTWARE[774]
2-36	221-230	following	*[774]	SOFTWARE[774]
2-37	231-239	citation	*[774]	SOFTWARE[774]
2-38	239-240	:	*[774]	SOFTWARE[774]
2-39	242-243	`	*[774]	SOFTWARE[774]
2-40	243-244	`	*[774]	SOFTWARE[774]
2-41	244-245	`	*[774]	SOFTWARE[774]
2-42	246-247	@	*[774]	SOFTWARE[774]
2-43	247-251	misc	*[774]	SOFTWARE[774]
2-44	251-252	{	*[774]	SOFTWARE[774]
2-45	252-267	monea2023glitch	*[774]	SOFTWARE[774]
2-46	267-268	,	*[774]	SOFTWARE[774]
2-47	275-280	title	*[774]	SOFTWARE[774]
2-48	280-281	=	*[774]	SOFTWARE[774]
2-49	281-282	{	*[774]	SOFTWARE[774]
2-50	282-283	A	*[774]	SOFTWARE[774]
2-51	284-290	Glitch	*[774]	SOFTWARE[774]
2-52	291-293	in	*[774]	SOFTWARE[774]
2-53	294-297	the	*[774]	SOFTWARE[774]
2-54	298-304	Matrix	*[774]	SOFTWARE[774]
2-55	304-305	?	*[774]	SOFTWARE[774]

#Text=Locating and Detecting Language Model Grounding with Fakepedia},        author={Giovanni Monea and Maxime Peyrard and Martin Josifoski and Vishrav Chaudhary and Jason Eisner and Emre Kıcıman and Hamid Palangi and Barun Patra and Robert West},       year={2023},       eprint={2312.02073},       archivePrefix={arXiv},       primaryClass={cs.CL} } ```  > \*\*Abstract:\*\* Large language models (LLMs) have an impressive ability to draw on novel information supplied in their context.
3-1	306-314	Locating	*[774]	SOFTWARE[774]
3-2	315-318	and	*[774]	SOFTWARE[774]
3-3	319-328	Detecting	*[774]	SOFTWARE[774]
3-4	329-337	Language	*[774]	SOFTWARE[774]
3-5	338-343	Model	*[774]	SOFTWARE[774]
3-6	344-353	Grounding	*[774]	SOFTWARE[774]
3-7	354-358	with	*[774]	SOFTWARE[774]
3-8	359-368	Fakepedia	*[774]	SOFTWARE[774]
3-9	368-369	}	*[774]	SOFTWARE[774]
3-10	369-370	,	*[774]	SOFTWARE[774]
3-11	378-384	author	*[774]	SOFTWARE[774]
3-12	384-385	=	*[774]	SOFTWARE[774]
3-13	385-386	{	*[774]	SOFTWARE[774]
3-14	386-394	Giovanni	*[774]	SOFTWARE[774]
3-15	395-400	Monea	*[774]	SOFTWARE[774]
3-16	401-404	and	*[774]	SOFTWARE[774]
3-17	405-411	Maxime	*[774]	SOFTWARE[774]
3-18	412-419	Peyrard	*[774]	SOFTWARE[774]
3-19	420-423	and	*[774]	SOFTWARE[774]
3-20	424-430	Martin	*[774]	SOFTWARE[774]
3-21	431-440	Josifoski	*[774]	SOFTWARE[774]
3-22	441-444	and	*[774]	SOFTWARE[774]
3-23	445-452	Vishrav	*[774]	SOFTWARE[774]
3-24	453-462	Chaudhary	*[774]	SOFTWARE[774]
3-25	463-466	and	*[774]	SOFTWARE[774]
3-26	467-472	Jason	*[774]	SOFTWARE[774]
3-27	473-479	Eisner	*[774]	SOFTWARE[774]
3-28	480-483	and	*[774]	SOFTWARE[774]
3-29	484-488	Emre	*[774]	SOFTWARE[774]
3-30	489-496	Kıcıman	*[774]	SOFTWARE[774]
3-31	497-500	and	*[774]	SOFTWARE[774]
3-32	501-506	Hamid	*[774]	SOFTWARE[774]
3-33	507-514	Palangi	*[774]	SOFTWARE[774]
3-34	515-518	and	*[774]	SOFTWARE[774]
3-35	519-524	Barun	*[774]	SOFTWARE[774]
3-36	525-530	Patra	*[774]	SOFTWARE[774]
3-37	531-534	and	*[774]	SOFTWARE[774]
3-38	535-541	Robert	*[774]	SOFTWARE[774]
3-39	542-546	West	*[774]	SOFTWARE[774]
3-40	546-547	}	*[774]	SOFTWARE[774]
3-41	547-548	,	*[774]	SOFTWARE[774]
3-42	555-559	year	*[774]	SOFTWARE[774]
3-43	559-560	=	*[774]	SOFTWARE[774]
3-44	560-561	{	*[774]	SOFTWARE[774]
3-45	561-565	2023	*[774]	SOFTWARE[774]
3-46	565-566	}	*[774]	SOFTWARE[774]
3-47	566-567	,	*[774]	SOFTWARE[774]
3-48	574-580	eprint	*[774]	SOFTWARE[774]
3-49	580-581	=	*[774]	SOFTWARE[774]
3-50	581-582	{	*[774]	SOFTWARE[774]
3-51	582-592	2312.02073	*[774]	SOFTWARE[774]
3-52	592-593	}	*[774]	SOFTWARE[774]
3-53	593-594	,	*[774]	SOFTWARE[774]
3-54	601-614	archivePrefix	*[774]	SOFTWARE[774]
3-55	614-615	=	*[774]	SOFTWARE[774]
3-56	615-616	{	*[774]	SOFTWARE[774]
3-57	616-621	arXiv	*[774]	SOFTWARE[774]
3-58	621-622	}	*[774]	SOFTWARE[774]
3-59	622-623	,	*[774]	SOFTWARE[774]
3-60	630-642	primaryClass	*[774]	SOFTWARE[774]
3-61	642-643	=	*[774]	SOFTWARE[774]
3-62	643-644	{	*[774]	SOFTWARE[774]
3-63	644-649	cs.CL	*[774]	SOFTWARE[774]
3-64	649-650	}	*[774]	SOFTWARE[774]
3-65	651-652	}	*[774]	SOFTWARE[774]
3-66	653-654	`	*[774]	SOFTWARE[774]
3-67	654-655	`	*[774]	SOFTWARE[774]
3-68	655-656	`	*[774]	SOFTWARE[774]
3-69	658-659	>	*[774]	SOFTWARE[774]
3-70	660-661	\*	*[774]	SOFTWARE[774]
3-71	661-662	\*	*[774]	SOFTWARE[774]
3-72	662-670	Abstract	*[774]	SOFTWARE[774]
3-73	670-671	:	*[774]	SOFTWARE[774]
3-74	671-672	\*	*[774]	SOFTWARE[774]
