#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Thermometer: Towards Universal Calibration for Large Language Models #### This repository contains official implementation of the paper \[Thermometer: Towards Universal Calibration for Large Language Models\](https://arxiv.org/abs/2403.08819).  ## Requirements ```bash pip install torch==2.2.1 transformers==4.28.1 evaluate==0.4.1 tqdm pandas ``` ## File Structure #### \*src\* folder includes all the source code for the experiments. - ### \*configs\* folder:      includes all the information of training configurations and model hyper-parameter. - ### \*data\* folder:     includes the dataloader to load and process the datasets. - ### other code files:   - \*process\_mrqa.py\* pre-process the raw data in free-form QA datasets MRQA\;    - \*extract\_features.py\* aims to extract labels, features, and logits from pretrained LLMs\;   - \*train\_thermometer.py\* and \*eval\_thermometer.py\* contain the main function to train Thermometer,   and the functions to evaluate calibration performance of trained Thermometer, respectively.   ## Usage #### We provide the scripts to help reproduce the results of our paper. - ### Step-1: extract the features and logits from pre-trained LLMs,     ```     exract.sh     ``` - ### Step-2: train Thermometer model,     ```     train.sh     ``` - ### Step-3: evaluate calibration of trained Thermometer model,     ```     eval.sh     ``` - ### Free-form QA task requires an additional step to pre-process the raw data, i.e., append the LLM's response to the prompts,     ```     mrqa.sh     ``` - ### Choose different types of LLMs,     ```     --model\_type decoder\_only --model\_name Llama-2-7b-chat-hf     --model\_type encoder\_decoder --model\_name flan-t5-xl     ```  ## Citation #### If you find this repository helpful for your research, please consider citing our paper,  ``` @InProceedings{pmlr-v235-shen24c,   title = {Thermometer: Towards Universal Calibration for Large Language Models},   author =  {Shen, Maohao and Das, Subhro and Greenewald, Kristjan and Sattigeri, Prasanna and Wornell, Gregory W. and Ghosh, Soumya},   booktitle = {Proceedings of the 41st International Conference on Machine Learning},   pages = {44687--44711},   year =  {2024},   editor =  {Salakhutdinov, Ruslan and Kolter, Zico and Heller, Katherine and Weller, Adrian and Oliver, Nuria and Scarlett, Jonathan and Berkenkamp, Felix},   volume =  {235},   series =  {Proceedings of Machine Learning Research},   month = {21--27 Jul},   publisher = {PMLR} } ```
1-1	0-1	#	*[523]|*[534]	SOFTWARE[523]|SOFTWARE[534]
1-2	2-13	Thermometer	*[534]	SOFTWARE[534]
1-3	13-14	:	*[534]	SOFTWARE[534]
1-4	15-22	Towards	*[534]	SOFTWARE[534]
1-5	23-32	Universal	*[534]	SOFTWARE[534]
1-6	33-44	Calibration	*[534]	SOFTWARE[534]
1-7	45-48	for	*[534]	SOFTWARE[534]
1-8	49-54	Large	*[534]	SOFTWARE[534]
1-9	55-63	Language	*[534]	SOFTWARE[534]
1-10	64-70	Models	*[534]	SOFTWARE[534]
1-11	71-72	#	*[534]	SOFTWARE[534]
1-12	72-73	#	*[534]	SOFTWARE[534]
1-13	73-74	#	*[534]	SOFTWARE[534]
1-14	74-75	#	*[534]	SOFTWARE[534]
1-15	76-80	This	*[534]	SOFTWARE[534]
1-16	81-91	repository	*[534]	SOFTWARE[534]
1-17	92-100	contains	*[534]	SOFTWARE[534]
1-18	101-109	official	*[534]	SOFTWARE[534]
1-19	110-124	implementation	*[534]	SOFTWARE[534]
1-20	125-127	of	*[534]	SOFTWARE[534]
1-21	128-131	the	*[534]	SOFTWARE[534]
1-22	132-137	paper	*[534]	SOFTWARE[534]
1-23	138-139	\[	*[534]	SOFTWARE[534]
1-24	139-150	Thermometer	*[534]	SOFTWARE[534]
1-25	150-151	:	*[534]	SOFTWARE[534]
1-26	152-159	Towards	*[534]	SOFTWARE[534]
1-27	160-169	Universal	*[534]	SOFTWARE[534]
1-28	170-181	Calibration	*[534]	SOFTWARE[534]
1-29	182-185	for	*[534]	SOFTWARE[534]
1-30	186-191	Large	*[534]	SOFTWARE[534]
1-31	192-200	Language	*[534]	SOFTWARE[534]
1-32	201-207	Models	*[534]	SOFTWARE[534]
1-33	207-208	\]	*[534]	SOFTWARE[534]
1-34	208-209	(	*[534]	SOFTWARE[534]
1-35	209-214	https	*[534]	SOFTWARE[534]
1-36	214-215	:	*[534]	SOFTWARE[534]
1-37	215-216	/	*[534]	SOFTWARE[534]
1-38	216-217	/	*[534]	SOFTWARE[534]
1-39	217-226	arxiv.org	*[534]	SOFTWARE[534]
1-40	226-227	/	*[534]	SOFTWARE[534]
1-41	227-230	abs	*[534]	SOFTWARE[534]
1-42	230-231	/	*[534]	SOFTWARE[534]
1-43	231-241	2403.08819	*[534]	SOFTWARE[534]
1-44	241-242	)	*[534]	SOFTWARE[534]
1-45	242-243	.	*[534]	SOFTWARE[534]
1-46	245-246	#	*[534]	SOFTWARE[534]
1-47	246-247	#	*[534]	SOFTWARE[534]
1-48	248-260	Requirements	*[534]	SOFTWARE[534]
1-49	261-262	`	*[534]	SOFTWARE[534]
1-50	262-263	`	*[534]	SOFTWARE[534]
1-51	263-264	`	*[534]	SOFTWARE[534]
1-52	264-268	bash	*[534]	SOFTWARE[534]
1-53	269-272	pip	*[534]	SOFTWARE[534]
1-54	273-280	install	*[534]	SOFTWARE[534]
1-55	281-286	torch	*[534]	SOFTWARE[534]
1-56	286-287	=	*[534]	SOFTWARE[534]
1-57	287-288	=	*[534]	SOFTWARE[534]
1-58	288-293	2.2.1	*[534]	SOFTWARE[534]
1-59	294-306	transformers	*[534]	SOFTWARE[534]
1-60	306-307	=	*[534]	SOFTWARE[534]
1-61	307-308	=	*[534]	SOFTWARE[534]
1-62	308-314	4.28.1	*[534]	SOFTWARE[534]
1-63	315-323	evaluate	*[534]	SOFTWARE[534]
1-64	323-324	=	*[534]	SOFTWARE[534]
1-65	324-325	=	*[534]	SOFTWARE[534]
1-66	325-330	0.4.1	*[534]	SOFTWARE[534]
1-67	331-335	tqdm	*[534]	SOFTWARE[534]
1-68	336-342	pandas	*[534]	SOFTWARE[534]
1-69	343-344	`	*[534]	SOFTWARE[534]
1-70	344-345	`	*[534]	SOFTWARE[534]
1-71	345-346	`	*[534]	SOFTWARE[534]
1-72	347-348	#	*[534]	SOFTWARE[534]
1-73	348-349	#	*[534]	SOFTWARE[534]
1-74	350-354	File	*[534]	SOFTWARE[534]
1-75	355-364	Structure	*[534]	SOFTWARE[534]
1-76	365-366	#	*[534]	SOFTWARE[534]
1-77	366-367	#	*[534]	SOFTWARE[534]
1-78	367-368	#	*[534]	SOFTWARE[534]
1-79	368-369	#	*[534]	SOFTWARE[534]
1-80	370-371	\*	*[534]	SOFTWARE[534]
1-81	371-374	src	*[534]	SOFTWARE[534]
1-82	374-375	\*	*[534]	SOFTWARE[534]
1-83	376-382	folder	*[534]	SOFTWARE[534]
1-84	383-391	includes	*[534]	SOFTWARE[534]
1-85	392-395	all	*[534]	SOFTWARE[534]
1-86	396-399	the	*[534]	SOFTWARE[534]
1-87	400-406	source	*[534]	SOFTWARE[534]
1-88	407-411	code	*[534]	SOFTWARE[534]
1-89	412-415	for	*[534]	SOFTWARE[534]
1-90	416-419	the	*[534]	SOFTWARE[534]
1-91	420-431	experiments	*[534]	SOFTWARE[534]
1-92	431-432	.	*[534]	SOFTWARE[534]
1-93	433-434	-	*[534]	SOFTWARE[534]
1-94	435-436	#	*[534]	SOFTWARE[534]
1-95	436-437	#	*[534]	SOFTWARE[534]
1-96	437-438	#	*[534]	SOFTWARE[534]
1-97	439-440	\*	*[534]	SOFTWARE[534]
1-98	440-447	configs	*[534]	SOFTWARE[534]
1-99	447-448	\*	*[534]	SOFTWARE[534]
1-100	449-455	folder	*[534]	SOFTWARE[534]
1-101	455-456	:	*[534]	SOFTWARE[534]
1-102	462-470	includes	*[534]	SOFTWARE[534]
1-103	471-474	all	*[534]	SOFTWARE[534]
1-104	475-478	the	*[534]	SOFTWARE[534]
1-105	479-490	information	*[534]	SOFTWARE[534]
1-106	491-493	of	*[534]	SOFTWARE[534]
1-107	494-502	training	*[534]	SOFTWARE[534]
1-108	503-517	configurations	*[534]	SOFTWARE[534]
1-109	518-521	and	*[534]	SOFTWARE[534]
