#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Cross-lingual analysis  This repository contains the translation codes used in the paper \[A cost-benefit analysis of cross-lingual transfer methods\](https://arxiv.org/abs/2105.06813).
1-1	0-1	#	*[523]|*[779]	SOFTWARE[523]|SOFTWARE[779]
1-2	2-15	Cross-lingual	*[779]	SOFTWARE[779]
1-3	16-24	analysis	*[779]	SOFTWARE[779]
1-4	26-30	This	*[779]	SOFTWARE[779]
1-5	31-41	repository	*[779]	SOFTWARE[779]
1-6	42-50	contains	*[779]	SOFTWARE[779]
1-7	51-54	the	*[779]	SOFTWARE[779]
1-8	55-66	translation	*[779]	SOFTWARE[779]
1-9	67-72	codes	*[779]	SOFTWARE[779]
1-10	73-77	used	*[779]	SOFTWARE[779]
1-11	78-80	in	*[779]	SOFTWARE[779]
1-12	81-84	the	*[779]	SOFTWARE[779]
1-13	85-90	paper	*[779]	SOFTWARE[779]
1-14	91-92	\[	*[779]	SOFTWARE[779]
1-15	92-93	A	*[779]	SOFTWARE[779]
1-16	94-106	cost-benefit	*[779]	SOFTWARE[779]
1-17	107-115	analysis	*[779]	SOFTWARE[779]
1-18	116-118	of	*[779]	SOFTWARE[779]
1-19	119-132	cross-lingual	*[779]	SOFTWARE[779]
1-20	133-141	transfer	*[779]	SOFTWARE[779]
1-21	142-149	methods	*[779]	SOFTWARE[779]
1-22	149-150	\]	*[779]	SOFTWARE[779]
1-23	150-151	(	*[779]	SOFTWARE[779]
1-24	151-156	https	*[779]	SOFTWARE[779]
1-25	156-157	:	*[779]	SOFTWARE[779]
1-26	157-158	/	*[779]	SOFTWARE[779]
1-27	158-159	/	*[779]	SOFTWARE[779]
1-28	159-168	arxiv.org	*[779]	SOFTWARE[779]
1-29	168-169	/	*[779]	SOFTWARE[779]
1-30	169-172	abs	*[779]	SOFTWARE[779]
1-31	172-173	/	*[779]	SOFTWARE[779]
1-32	173-183	2105.06813	*[779]	SOFTWARE[779]
1-33	183-184	)	*[779]	SOFTWARE[779]
1-34	184-185	.	*[779]	SOFTWARE[779]

#Text=In this work, we analyze cross-lingual methods on three tasks in terms of their effectiveness (e.g., accuracy), development and deployment costs, as well as their latencies at inference time.
2-1	186-188	In	*[779]	SOFTWARE[779]
2-2	189-193	this	*[779]	SOFTWARE[779]
2-3	194-198	work	*[779]	SOFTWARE[779]
2-4	198-199	,	*[779]	SOFTWARE[779]
2-5	200-202	we	*[779]	SOFTWARE[779]
2-6	203-210	analyze	*[779]	SOFTWARE[779]
2-7	211-224	cross-lingual	*[779]	SOFTWARE[779]
2-8	225-232	methods	*[779]	SOFTWARE[779]
2-9	233-235	on	*[779]	SOFTWARE[779]
2-10	236-241	three	*[779]	SOFTWARE[779]
2-11	242-247	tasks	*[779]	SOFTWARE[779]
2-12	248-250	in	*[779]	SOFTWARE[779]
2-13	251-256	terms	*[779]	SOFTWARE[779]
2-14	257-259	of	*[779]	SOFTWARE[779]
2-15	260-265	their	*[779]	SOFTWARE[779]
2-16	266-279	effectiveness	*[779]	SOFTWARE[779]
