#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[507]|*[523]|*[534]	DATASET[507]|ONTOLOGY[507]|WORKSHOP[507]|PROJECT[507]|LICENSE[507]|PUBLICATION[507]|EVALMETRIC[507]|PROGLANG[507]|SOFTWARE[523]|CONFERENCE[534]

#Text=# ImGAGN: Imbalanced Networks Embedding via Generative Adversarial Graph Networks  This is our Pytorch implementation for the \[paper\](https://arxiv.org/abs/2106.02817):  > Liang Qu, Huaisheng Zhu, Ruiqi Zheng, Yuhui Shi, and Hongzhi Yin. 2021.
1-1	1-2	#	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-2	3-9	ImGAGN	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-3	9-10	:	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-4	11-21	Imbalanced	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-5	22-30	Networks	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-6	31-40	Embedding	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-7	41-44	via	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-8	45-55	Generative	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-9	56-67	Adversarial	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-10	68-73	Graph	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-11	74-82	Networks	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-12	84-88	This	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-13	89-91	is	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-14	92-95	our	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
1-15	96-103	Pytorch	*[508]|*[524]	ONTOLOGY[508]|PUBLICATION[508]|WORKSHOP[508]|PROJECT[508]|LICENSE[508]|EVALMETRIC[508]|DATASET[508]|PROGLANG[508]|CONFERENCE[508]|SOFTWARE[524]
