#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Are you tough enough?
1-1	0-1	#	*[144]|*[161]|*[167]	PROGLANG[144]|ONTOLOGY[144]|WORKSHOP[144]|LICENSE[144]|PUBLICATION[144]|EVALMETRIC[144]|PROJECT[144]|DATASET[144]|SOFTWARE[161]|CONFERENCE[167]
1-2	2-5	Are	*[144]|*[161]|*[167]	PROGLANG[144]|ONTOLOGY[144]|WORKSHOP[144]|LICENSE[144]|PUBLICATION[144]|EVALMETRIC[144]|PROJECT[144]|DATASET[144]|SOFTWARE[161]|CONFERENCE[167]
1-3	6-9	you	*[144]|*[161]|*[167]	PROGLANG[144]|ONTOLOGY[144]|WORKSHOP[144]|LICENSE[144]|PUBLICATION[144]|EVALMETRIC[144]|PROJECT[144]|DATASET[144]|SOFTWARE[161]|CONFERENCE[167]
1-4	10-15	tough	*[144]|*[161]|*[167]	PROGLANG[144]|ONTOLOGY[144]|WORKSHOP[144]|LICENSE[144]|PUBLICATION[144]|EVALMETRIC[144]|PROJECT[144]|DATASET[144]|SOFTWARE[161]|CONFERENCE[167]
1-5	16-22	enough	*[144]|*[161]|*[167]	PROGLANG[144]|ONTOLOGY[144]|WORKSHOP[144]|LICENSE[144]|PUBLICATION[144]|EVALMETRIC[144]|PROJECT[144]|DATASET[144]|SOFTWARE[161]|CONFERENCE[167]
1-6	22-23	?	*[144]|*[161]|*[167]	PROGLANG[144]|ONTOLOGY[144]|WORKSHOP[144]|LICENSE[144]|PUBLICATION[144]|EVALMETRIC[144]|PROJECT[144]|DATASET[144]|SOFTWARE[161]|CONFERENCE[167]

#Text=Framework for Robustness Validation of Machine Comprehension Systems  This repository contains dataset for robustness validation of machine comprehension systems trained on SQuAD dataset.
2-1	24-33	Framework	*[145]|*[162]	WORKSHOP[145]|PROJECT[145]|CONFERENCE[145]|LICENSE[145]|PUBLICATION[145]|EVALMETRIC[145]|PROGLANG[145]|DATASET[145]|ONTOLOGY[145]|SOFTWARE[162]
2-2	34-37	for	*[145]|*[162]	WORKSHOP[145]|PROJECT[145]|CONFERENCE[145]|LICENSE[145]|PUBLICATION[145]|EVALMETRIC[145]|PROGLANG[145]|DATASET[145]|ONTOLOGY[145]|SOFTWARE[162]
