#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# A Glitch in the Matrix?
1-1	0-1	#	*[29]|*[46]|*[56]	ONTOLOGY[29]|WORKSHOP[29]|PROJECT[29]|LICENSE[29]|PUBLICATION[29]|EVALMETRIC[29]|PROGLANG[29]|DATASET[29]|SOFTWARE[46]|CONFERENCE[56]
1-2	2-3	A	*[29]|*[46]|*[56]	ONTOLOGY[29]|WORKSHOP[29]|PROJECT[29]|LICENSE[29]|PUBLICATION[29]|EVALMETRIC[29]|PROGLANG[29]|DATASET[29]|SOFTWARE[46]|CONFERENCE[56]
1-3	4-10	Glitch	*[29]|*[46]|*[56]	ONTOLOGY[29]|WORKSHOP[29]|PROJECT[29]|LICENSE[29]|PUBLICATION[29]|EVALMETRIC[29]|PROGLANG[29]|DATASET[29]|SOFTWARE[46]|CONFERENCE[56]
1-4	11-13	in	*[29]|*[46]|*[56]	ONTOLOGY[29]|WORKSHOP[29]|PROJECT[29]|LICENSE[29]|PUBLICATION[29]|EVALMETRIC[29]|PROGLANG[29]|DATASET[29]|SOFTWARE[46]|CONFERENCE[56]
1-5	14-17	the	*[29]|*[46]|*[56]	ONTOLOGY[29]|WORKSHOP[29]|PROJECT[29]|LICENSE[29]|PUBLICATION[29]|EVALMETRIC[29]|PROGLANG[29]|DATASET[29]|SOFTWARE[46]|CONFERENCE[56]
1-6	18-24	Matrix	*[29]|*[46]|*[56]	ONTOLOGY[29]|WORKSHOP[29]|PROJECT[29]|LICENSE[29]|PUBLICATION[29]|EVALMETRIC[29]|PROGLANG[29]|DATASET[29]|SOFTWARE[46]|CONFERENCE[56]
1-7	24-25	?	*[29]|*[46]|*[56]	ONTOLOGY[29]|WORKSHOP[29]|PROJECT[29]|LICENSE[29]|PUBLICATION[29]|EVALMETRIC[29]|PROGLANG[29]|DATASET[29]|SOFTWARE[46]|CONFERENCE[56]

#Text=Locating and Detecting Language Model Grounding with Fakepedia  This repository contains the data and code to reproduce the results of our paper: https://arxiv.org/abs/2312.02073  Please use the following citation:  ``` @misc{monea2023glitch,       title={A Glitch in the Matrix?
2-1	26-34	Locating	*[30]|*[47]	EVALMETRIC[30]|DATASET[30]|PROGLANG[30]|CONFERENCE[30]|ONTOLOGY[30]|WORKSHOP[30]|LICENSE[30]|PUBLICATION[30]|PROJECT[30]|SOFTWARE[47]
