#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# EvPSNet: Evidential Panoptic Segmentation Network for Uncertainy-aware Panoptic Segmentation  EvPSNet is the first approach to tackle the task of uncertainty-aware panoptic segmentation, with an aim to provide per-pixel semantic and instance label together with per-pixel panoptic uncertainty estimation.  !
1-1	0-1	#	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-2	2-9	EvPSNet	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-3	9-10	:	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-4	11-21	Evidential	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-5	22-30	Panoptic	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-6	31-43	Segmentation	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-7	44-51	Network	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-8	52-55	for	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-9	56-72	Uncertainy-aware	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-10	73-81	Panoptic	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-11	82-94	Segmentation	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-12	96-103	EvPSNet	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-13	104-106	is	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
1-14	107-110	the	*[172]|*[189]|*[213]	DATASET[172]|PROGLANG[172]|ONTOLOGY[172]|WORKSHOP[172]|PUBLICATION[172]|PROJECT[172]|LICENSE[172]|EVALMETRIC[172]|SOFTWARE[189]|CONFERENCE[213]
