#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<img src="docs/img/icon.png" width=125 height=125 align="right">  \[!
1-1	0-1	<	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-2	1-4	img	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-3	5-8	src	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-4	8-9	=	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-5	9-10	"	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-6	10-14	docs	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-7	14-15	/	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-8	15-18	img	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-9	18-19	/	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-10	19-27	icon.png	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-11	27-28	"	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-12	29-34	width	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-13	34-35	=	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-14	35-38	125	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-15	39-45	height	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-16	45-46	=	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-17	46-49	125	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-18	50-55	align	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-19	55-56	=	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-20	56-57	"	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-21	57-62	right	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-22	62-63	"	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-23	63-64	>	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-24	66-67	\[	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]
1-25	67-68	!	*[87]|*[104]|*[118]	LICENSE[87]|PUBLICATION[87]|PROJECT[87]|EVALMETRIC[87]|DATASET[87]|PROGLANG[87]|ONTOLOGY[87]|WORKSHOP[87]|SOFTWARE[104]|CONFERENCE[118]

#Text=\[License: MIT\](https://img.shields.io/badge/License-MIT-yellow.svg)\](https://opensource.org/licenses/MIT) \[!
2-1	68-69	\[	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-2	69-76	License	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-3	76-77	:	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-4	78-81	MIT	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-5	81-82	\]	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-6	82-83	(	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-7	83-88	https	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-8	88-89	:	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-9	89-90	/	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
2-10	90-91	/	*[88]|*[105]	PROGLANG[88]|DATASET[88]|ONTOLOGY[88]|CONFERENCE[88]|WORKSHOP[88]|PROJECT[88]|LICENSE[88]|PUBLICATION[88]|EVALMETRIC[88]|SOFTWARE[105]
