#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<h1 align="center">PFHedge: Deep Hedging in PyTorch</h1>  \[!
1-1	0-1	<	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-2	1-3	h1	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-3	4-9	align	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-4	9-10	=	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-5	10-11	"	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-6	11-17	center	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-7	17-18	"	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-8	18-19	>	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-9	19-26	PFHedge	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-10	26-27	:	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-11	28-32	Deep	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
1-12	33-40	Hedging	*[592]|*[608]|*[689]	LICENSE[592]|PUBLICATION[592]|EVALMETRIC[592]|PROJECT[592]|DATASET[592]|PROGLANG[592]|ONTOLOGY[592]|WORKSHOP[592]|SOFTWARE[608]|CONFERENCE[689]
