#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# HAGRID: A Human-LLM Collaborative Dataset for Generative Information-seeking with Attribution  <p align="center"><img src="https://github.com/project-miracl/hagrid/blob/main/assets/icon.png?
1-1	0-1	#	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-2	2-8	HAGRID	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-3	8-9	:	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-4	10-11	A	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-5	12-21	Human-LLM	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-6	22-35	Collaborative	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-7	36-43	Dataset	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-8	44-47	for	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-9	48-58	Generative	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-10	59-78	Information-seeking	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-11	79-83	with	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-12	84-95	Attribution	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-13	97-98	<	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-14	98-99	p	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-15	100-105	align	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-16	105-106	=	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-17	106-107	"	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-18	107-113	center	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-19	113-114	"	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-20	114-115	>	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-21	115-116	<	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-22	116-119	img	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-23	120-123	src	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-24	123-124	=	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-25	124-125	"	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-26	125-130	https	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-27	130-131	:	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-28	131-132	/	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-29	132-133	/	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-30	133-143	github.com	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-31	143-144	/	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-32	144-158	project-miracl	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-33	158-159	/	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-34	159-165	hagrid	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
1-35	165-166	/	*[716]|*[732]|*[749]	PROGLANG[716]|DATASET[716]|ONTOLOGY[716]|PUBLICATION[716]|WORKSHOP[716]|PROJECT[716]|LICENSE[716]|EVALMETRIC[716]|SOFTWARE[732]|CONFERENCE[749]
