#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# Cross-lingual analysis  This repository contains the translation codes used in the paper \[A cost-benefit analysis of cross-lingual transfer methods\](https://arxiv.org/abs/2105.06813).
1-1	0-1	#	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-2	2-15	Cross-lingual	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-3	16-24	analysis	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-4	26-30	This	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-5	31-41	repository	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-6	42-50	contains	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-7	51-54	the	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-8	55-66	translation	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-9	67-72	codes	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
1-10	73-77	used	*[150]|*[167]|*[189]	PROGLANG[150]|DATASET[150]|ONTOLOGY[150]|PUBLICATION[150]|WORKSHOP[150]|PROJECT[150]|LICENSE[150]|EVALMETRIC[150]|SOFTWARE[167]|CONFERENCE[189]
